,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
510,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.0, 0.41564273834228516]","[4.0, 4.0]","[0.5989868640899658, 0.41564273834228516]","[1.0, 1.0]",1.0,1.0,5.849679946899414,1630858284.826672,0,-1,1,-1,0.5333333333333333,0.0,15,8,0,511,"[0, 0]","[0, 0]","[0, 0]","[12, 10]","[12, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[11, 10]","[0, 10]","[11, 0]",1NR,1NR,1.0,5
511,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.715116024017334, 0.9641909599304199]","[4.0, 3.0]","[0.9153411388397217, 1.0318012237548828]","[1.0, 1.0]",1.0,1.0,5.58207106590271,1630858292.843285,1,-1,0,-1,0.8,0.0,15,12,0,512,"[0, 0]","[0, 0]","[0, 0]","[11, 9]","[11, 9]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[10, 9]","[0, 9]","[10, 0]",2NR,2NR,2.0,6
512,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.21598005294799805, 0.8993158340454102]","[4.0, 1.0]","[0.31600403785705566, 1.682455062866211]","[1.0, 1.0]",1.0,1.0,5.849717855453491,1630858301.093086,0,-1,1,-1,0.5333333333333333,0.0,15,8,0,513,"[0, 0]","[0, 0]","[0, 0]","[10, 8]","[10, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 8]","[0, 8]","[9, 0]",3NR,3NR,3.0,7
513,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.2163069248199463, 0.2163069248199463]","[4.0, 1.0]","[0.3154597282409668, 0.3154597282409668]","[1.0, 1.0]",1.0,1.0,3.483635902404785,1630858308.308915,0,-1,1,-1,1.0,1.0,5,5,0,514,"[0, 0]","[0, 0]","[0, 0]","[9, 7]","[9, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 7]","[0, 7]","[8, 0]",1R,1R,4.0,8
514,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.1326007843017578, 0.3990967273712158]","[4.0, 4.0]","[0.33220887184143066, 0.3990967273712158]","[1.0, 1.0]",1.0,1.0,3.3328182697296143,1630858312.959602,1,-1,0,-1,0.75,1.0,4,3,0,515,"[0, 0]","[0, 0]","[0, 0]","[8, 6]","[8, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 6]","[0, 6]","[7, 0]",1R,1R,5.0,9
515,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.0487360954284668, 0.28228116035461426]","[4.0, 4.0]","[0.36600303649902344, 0.28228116035461426]","[1.0, 1.0]",1.0,1.0,3.4826109409332275,1630858317.526443,1,-1,0,-1,0.8,1.0,5,4,0,516,"[0, 0]","[0, 0]","[0, 0]","[7, 5]","[7, 5]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 5]","[0, 5]","[6, 0]",1R,1R,6.0,10
516,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.11592793464660645, 0.2989349365234375]","[4.0, 4.0]","[0.4822731018066406, 0.2989349365234375]","[1.0, 1.0]",1.0,1.0,5.333081007003784,1630858322.209376,0,-1,1,-1,0.9285714285714286,1.0,14,13,0,517,"[0, 0]","[0, 0]","[0, 0]","[6, 4]","[6, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5, 4]","[0, 4]","[5, 0]",1R,1R,7.0,11
517,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.1987321376800537, 0.3317282199859619]","[4.0, 4.0]","[0.34926795959472656, 0.3317282199859619]","[1.0, 1.0]",1.0,1.0,3.483152151107788,1630858328.659304,0,-1,1,-1,0.8,1.0,5,4,0,518,"[0, 0]","[0, 0]","[0, 0]","[5, 3]","[5, 3]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[4, 3]","[0, 3]","[4, 0]",1R,1R,8.0,12
518,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.20049691200256348, 0.33363890647888184]","[4.0, 4.0]","[0.4671590328216553, 0.36719274520874023]","[1.0, 1.0]",1.0,1.0,5.848707914352417,1630858333.359311,0,-1,1,-1,0.7333333333333333,0.0,15,11,0,519,"[0, 0]","[0, 0]","[0, 0]","[4, 2]","[4, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 2]","[0, 2]","[3, 0]",1NR,1NR,9.0,13
519,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.050154924392700195, 0.2826371192932129]","[4.0, 1.0]","[0.1996898651123047, 0.2826371192932129]","[0.0, 0.0]",0.0,0.0,5.850185871124268,1630858340.2584052,0,-1,1,-1,0.8666666666666667,0.0,15,13,0,520,"[0, 1]","[0, 1]","[0, 0]","[3, 1]","[3, 1]","[0, 0]","[0, 1]","[0, 1]","[0, 0]","[2, 1]","[0, 1]","[2, 0]",2NR,2NR,10.0,1
520,"[-1.0, 1.0]",-1.0,1.0,1.0,"[0.5330319404602051, 0.26633596420288086]","[4.0, 1.0]","[0.6998698711395264, 0.26633596420288086]","[0.0, 1.0]",0.0,1.0,5.849215984344482,1630858347.759253,0,-1,1,1,0.7333333333333333,0.0,15,11,0,521,"[0, 1]","[0, 0]","[0, 1]","[2, 1]","[2, 0]","[0, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",1NRO,3NR,11.0,2
521,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.7483069896697998, 0.06558370590209961]","[3.0, 1.0]","[0.8491110801696777, 0.23264789581298828]","[0.0, 0.0]",0.0,0.0,5.849021911621094,1630858355.5087922,0,-1,1,-1,0.5333333333333333,0.0,15,8,0,522,"[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",1NRG,4NR,12.0,3
522,"[1.0, 1.0]",1.0,1.0,1.0,"[0.5659840106964111, 0.3168671131134033]","[1.0, 1.0]","[0.7998509407043457, 0.3168671131134033]","[1.0, 1.0]",1.0,1.0,3.482856035232544,1630858363.041951,1,1,0,1,0.8,1.0,5,4,0,523,"[0, 0]","[0, 0]","[0, 0]","[-1, -1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[-1, -1]","[0, 0]","[0, 0]",1R,1R,0.0,4
523,"[1.0, 1.0]",1.0,1.0,1.0,"[0.3320958614349365, 0.31575703620910645]","[4.0, 4.0]","[0.565842866897583, 0.31575703620910645]","[1.0, 1.0]",1.0,1.0,4.683259010314941,1630858367.875242,0,1,1,1,0.7272727272727273,1.0,11,8,0,524,"[0, 0]","[0, 0]","[0, 0]","[-1, -1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[-1, -1]","[0, 0]","[0, 0]",1R,1R,1.0,5
524,"[1.0, 1.0]",1.0,1.0,1.0,"[1.3829479217529297, 0.41603589057922363]","[4.0, 4.0]","[1.7159829139709473, 0.4327399730682373]","[1.0, 1.0]",1.0,1.0,3.499696016311645,1630858375.108335,1,1,0,1,0.8,1.0,5,4,0,525,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",1R,1R,2.0,6
