,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Confidence,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.24911165237426758,1.0,0.0,1.0,RC,2021_10_17
1,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.2830021381378174,1.0,8.0,9.0,RC,2021_10_17
2,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.3490591049194336,1.0,0.0,15.0,RC,2021_10_17
3,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.3824896812438965,1.0,1.0,16.0,RC,2021_10_17
4,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.4000260829925537,1.0,2.0,17.0,RC,2021_10_17
5,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.19966435432434082,1.0,3.0,18.0,RC,2021_10_17
6,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer-incongruent,0.3488500118255615,1.0,7.0,22.0,RC,2021_10_17
7,1R,Low,8.0,8.0,0.0,4.0,1.0,Observer,0.06678009033203125,0.0,8.0,23.0,RC,2021_10_17
8,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer-incongruent,0.18175506591796875,1.0,0.0,28.0,RC,2021_10_17
9,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.13229703903198242,1.0,2.0,30.0,RC,2021_10_17
10,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.24941802024841309,1.0,3.0,31.0,RC,2021_10_17
11,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.2322380542755127,1.0,4.0,32.0,RC,2021_10_17
12,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.281552791595459,1.0,5.0,33.0,RC,2021_10_17
13,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.38230109214782715,1.0,0.0,37.0,RC,2021_10_17
