,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.5897435897435898,TB,0.4375,0.6956521739130435,2021_08_23
1,-10,0.717948717948718,TB,0.875,0.6086956521739131,2021_08_23
2,-9,0.8205128205128205,TB,0.7619047619047619,0.8888888888888888,2021_08_23
3,-8,0.8974358974358975,TB,0.8823529411764706,0.9090909090909091,2021_08_23
4,-7,0.9743589743589743,TB,1.0,0.9523809523809523,2021_08_23
5,-6,1.0,TB,1.0,1.0,2021_08_23
6,-5,0.9230769230769231,TB,0.9565217391304348,0.875,2021_08_23
7,-4,0.8974358974358975,TB,0.9565217391304348,0.8125,2021_08_23
8,-3,0.9230769230769231,TB,0.8888888888888888,0.9523809523809523,2021_08_23
9,-2,0.8974358974358975,TB,0.8636363636363636,0.9411764705882353,2021_08_23
10,-1,0.8461538461538461,TB,0.8888888888888888,0.8095238095238095,2021_08_23
11,0,0.1794871794871795,TB,0.14285714285714285,0.2222222222222222,2021_08_23
12,1,0.48717948717948717,TB,0.42857142857142855,0.52,2021_08_23
13,2,0.8205128205128205,TB,0.8571428571428571,0.7777777777777778,2021_08_23
14,3,0.7948717948717948,TB,0.7368421052631579,0.85,2021_08_23
15,4,0.8717948717948718,TB,0.7647058823529411,0.9545454545454546,2021_08_23
16,5,1.0,TB,1.0,1.0,2021_08_23
17,6,0.9743589743589743,TB,1.0,0.9523809523809523,2021_08_23
18,7,0.9210526315789473,TB,1.0,0.8125,2021_08_23
19,8,0.9736842105263158,TB,1.0,0.9473684210526315,2021_08_23
20,9,1.0,TB,1.0,1.0,2021_08_23
21,10,0.8947368421052632,TB,0.8888888888888888,0.9,2021_08_23
