,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration
0,0,[1.0],1.0,0,1.0,1.0,0,[1.0],1682707659.662983,486,9.899114847183228,1,0,1,0,0.15,0.8,[7.299620866775513],1.0,9.899114847183228,5,4,0,10.898496866226196
1,1,[1.0],1.0,0,1.0,1.0,0,[1.0],1682707719.073869,469,13.132773876190186,1,0,1,0,0.15,0.06666666666666667,[7.032736778259277],0.0,13.132773876190186,15,1,0,14.131984949111938
2,2,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682707730.173106,110,6.966064929962158,1,0,-1,0,0.0,0.4666666666666667,[1.033221960067749],0.0,6.966064929962158,15,7,0,7.965605020523071
3,3,[1.0],1.0,0,1.0,1.0,0,[1.0],1682707741.017086,119,2.76576828956604,1,0,1,0,0.15,1.0,[1.182699203491211],1.0,2.76576828956604,2,2,0,3.7672271728515625
4,4,[1.0],1.0,0,1.0,1.0,0,[1.0],1682707747.138347,108,4.566580057144165,1,0,1,0,0.15,0.75,[0.9997413158416748],1.0,4.566580057144165,8,6,0,5.565771102905273
5,5,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682707755.321546,108,6.898229122161865,1,0,-1,0,0.0,0.6666666666666666,[0.9988799095153809],0.0,6.898229122161865,15,10,0,7.898035049438477
6,6,[1.0],1.0,0,1.0,1.0,0,[1.0],1682707765.92039,108,6.915809154510498,1,0,1,0,0.15,0.8666666666666667,[0.9997730255126953],0.0,6.915809154510498,15,13,0,7.9157068729400635
7,7,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682707776.553167,108,6.915382623672485,1,0,-1,0,0.0,0.4666666666666667,[0.9995777606964111],0.0,6.915382623672485,15,7,0,7.91520881652832
8,8,[1.0],1.0,0,1.0,1.0,0,[1.0],1682707787.152632,107,4.549445867538452,1,0,1,0,0.15,0.625,[0.9831259250640869],1.0,4.549445867538452,8,5,0,5.549264669418335
9,9,[1.0],1.0,0,1.0,1.0,0,[1.0],1682707795.385311,111,5.965667963027954,1,0,1,0,0.15,0.75,[1.0496387481689453],1.0,5.965667963027954,12,9,0,6.966461896896362
10,10,[1.0],1.0,0,1.0,1.0,0,[1.0],1682707804.967951,108,4.249171018600464,1,0,1,0,0.15,0.8571428571428571,[0.9991118907928467],1.0,4.249171018600464,7,6,0,5.249171018600464
11,11,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682707812.817697,108,6.900174140930176,1,0,-1,0,0.0,0.8666666666666667,[1.0004611015319824],0.0,6.900174140930176,15,13,0,7.899404048919678
12,12,[1.0],1.0,0,1.0,1.0,0,[1.0],1682707823.416414,108,6.916554927825928,1,0,1,0,0.15,0.6666666666666666,[0.9998080730438232],0.0,6.916554927825928,15,10,0,7.916332006454468
13,13,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682707834.049196,108,2.249904155731201,1,0,-1,0,0.15,1.0,[0.9998631477355957],1.0,2.249904155731201,1,1,0,3.249690055847168
14,14,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682707839.81542,107,5.899950265884399,1,0,-1,0,0.15,0.75,[0.9830632209777832],1.0,5.899950265884399,12,9,0,6.899661064147949
15,15,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682707849.3981419,108,6.983004808425903,1,0,-1,0,0.15,0.8,[0.9998378753662109],0.0,6.983004808425903,15,12,0,7.982878923416138
16,16,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1682707860.714529,145,7.549094200134277,1,0,1,0,0.0,0.8,[1.6157622337341309],0.0,7.549094200134277,15,12,0,8.548469066619873
17,17,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682707871.379808,108,7.0995118618011475,1,0,-1,0,0.15,0.4666666666666667,[0.9999580383300781],0.0,7.0995118618011475,15,7,0,8.099295854568481
