,trial_idx,trial_start_time,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,difficulty,trial_aborted,trial_duration,date_time,trial_num,switched_self,n_pre_switch_self,switched_actor,n_pre_switch_actor,history,alt_history,pos_in_block,pos_in_block_obj
0,0,1692977521.812905,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1692977524.213692,144,7.698923826217651,1,0,-1,-1,0.0,0.4666666666666667,"[1.4660909175872803, 1.5994789600372314]",0.0,7.698923826217651,15,7,1.7076714211648076,0,8.698923826217651,2023_08_25_11_32_00,1,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",1NRO,1NR,0.0,1
1,1,1692977533.295101,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1692977535.2129412,115,4.70072603225708,1,0,1,1,0.15,0.625,"[1.015735149383545, 1.1160950660705566]",1.0,4.70072603225708,8,5,1.7420179353987375,0,5.716397047042847,2023_08_25_11_32_12,2,"[0, 0]","[2, 3]","[0, 0]","[2, 7]",1R,1R,0.0,2
2,2,1692977541.660469,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1692977543.461777,108,2.5678529739379883,1,0,1,1,0.15,1.0,"[0.9836349487304688, 1.00022292137146]",1.0,2.5678529739379883,2,2,2.130575621868164,0,3.5667848587036133,2023_08_25_11_32_20,3,"[1, 0]","[1, 2]","[1, 0]","[1, 6]",1R,1R,1.0,3
3,3,1692977547.777521,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1692977550.012206,134,7.349140167236328,1,0,-1,1,0.0,0.6666666666666666,"[1.4324190616607666, 1.0498111248016357]",0.0,7.349140167236328,15,10,1.5385864058698435,0,8.349250078201294,2023_08_25_11_32_26,4,"[1, 1]","[1, 1]","[1, 0]","[1, 5]",1NRO,1NR,2.0,4
4,4,1692977558.8933198,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1692977560.862561,118,4.8339173793792725,1,0,1,-1,0.15,0.75,"[1.1665380001068115, 0.999549388885498]",1.0,4.8339173793792725,8,6,1.6987268263460835,0,5.850657224655151,2023_08_25_11_32_37,5,"[0, 1]","[3, 1]","[0, 0]","[3, 4]",1R,1R,3.0,5
5,5,1692977567.392344,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1692977569.743466,141,2.7838568687438965,0,1,1,1,0.15,1.0,"[1.1998250484466553, 1.55047607421875]",1.0,2.7838568687438965,1,1,1.0097134133512868,0,3.783191204071045,2023_08_25_11_32_46,6,"[0, 0]","[2, 7]","[0, 0]","[2, 3]",1R,1R,4.0,6
6,6,1692977573.742278,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1692977575.576363,110,5.93305230140686,0,1,1,1,0.15,0.5833333333333334,"[1.033069133758545, 1.033069133758545]",1.0,5.93305230140686,12,7,2.0069379238281773,0,6.9325852394104,2023_08_25_11_32_52,7,"[1, 0]","[1, 6]","[1, 0]","[1, 2]",1R,1R,5.0,7
7,7,1692977583.374451,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1692977586.4267662,183,8.366064071655273,1,0,-1,1,0.0,0.5333333333333333,"[2.2500531673431396, 1.0170340538024902]",0.0,8.366064071655273,15,8,1.6972073627311006,0,9.365681171417236,2023_08_25_11_33_02,8,"[0, 0]","[5, 5]","[0, 1]","[2, 1]",1NRO,1NR,6.0,8
8,8,1692977595.573565,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1692977597.692847,127,4.250335931777954,0,1,1,-1,0.15,0.8333333333333334,"[1.316802978515625, 0.9999620914459229]",1.0,4.250335931777954,6,5,0.9143766659133749,0,5.250169038772583,2023_08_25_11_33_14,9,"[0, 0]","[4, 4]","[1, 0]","[1, 8]",1R,1R,7.0,9
9,9,1692977603.456963,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1692977605.325248,112,7.001152992248535,0,1,1,-1,0.15,0.7333333333333333,"[1.0660407543182373, 1.0165398120880127]",0.0,7.001152992248535,15,11,1.7714326499404391,0,7.999864816665649,2023_08_25_11_33_22,10,"[0, 0]","[3, 3]","[1, 0]","[1, 7]",1NR,1NR,8.0,10
