,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,5.0,5.0,0.0,0.0,Observer,1.00022292137146,1.0,0.0,1.0,Lalo,20230825
1,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0498111248016357,1.0,1.0,2.0,Lalo,20230825
2,1R,Low,6.0,6.0,0.0,0.0,Observer-incongruent,1.55047607421875,1.0,3.0,4.0,Lalo,20230825
3,1R,Low,1.0,1.0,0.0,0.0,Actor,1.033069133758545,1.0,4.0,5.0,Lalo,20230825
4,1R,Low,7.0,7.0,0.0,0.0,Actor,1.0170340538024902,1.0,5.0,6.0,Lalo,20230825
5,1R,Low,5.0,5.0,0.0,0.0,Actor-incongruent,1.0165398120880127,1.0,7.0,8.0,Lalo,20230825
6,1R,Low,3.0,3.0,0.0,0.0,Actor-incongruent,1.01603102684021,1.0,9.0,10.0,Lalo,20230825
7,1R,Low,7.0,7.0,0.0,0.0,Observer-incongruent,1.0328400135040283,1.0,11.0,12.0,Lalo,20230825
8,1R,Low,3.0,3.0,0.0,0.0,Observer,1.0495696067810059,1.0,12.0,13.0,Lalo,20230825
9,1R,Low,7.0,7.0,0.0,1.0,Observer,1.0502569675445557,-1.0,13.0,14.0,Lalo,20230825
10,1R,Low,7.0,7.0,0.0,0.0,Observer,0.9995200634002686,1.0,0.0,17.0,Lalo,20230825
11,1R,Low,8.0,8.0,0.0,0.0,Observer,1.2665488719940186,1.0,1.0,18.0,Lalo,20230825
12,1R,Low,3.0,3.0,0.0,0.0,Actor,1.016556978225708,1.0,2.0,19.0,Lalo,20230825
13,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9830658435821533,1.0,3.0,20.0,Lalo,20230825
14,1R,High,12.0,12.0,0.0,0.0,Actor,1.0164909362792969,1.0,4.0,21.0,Lalo,20230825
15,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0002272129058838,1.0,9.0,26.0,Lalo,20230825
16,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0491580963134766,1.0,10.0,27.0,Lalo,20230825
17,1R,Low,1.0,1.0,0.0,1.0,Observer,1.0326120853424072,-1.0,11.0,28.0,Lalo,20230825
18,1R,Low,2.0,2.0,0.0,0.0,Observer-incongruent,1.033195972442627,1.0,0.0,31.0,Lalo,20230825
19,1R,Low,2.0,2.0,0.0,0.0,Observer,0.9830920696258545,1.0,1.0,32.0,Lalo,20230825
20,1R,Low,1.0,1.0,0.0,0.0,Observer,0.999345064163208,1.0,2.0,33.0,Lalo,20230825
21,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,1.0007071495056152,1.0,5.0,36.0,Lalo,20230825
22,1R,Low,7.0,7.0,0.0,0.0,Observer-incongruent,1.0000882148742676,1.0,8.0,39.0,Lalo,20230825
23,1R,Low,7.0,7.0,0.0,1.0,Actor,1.0155153274536133,-1.0,9.0,40.0,Lalo,20230825
24,1R,Low,1.0,1.0,0.0,0.0,Observer-incongruent,1.0164189338684082,1.0,0.0,43.0,Lalo,20230825
25,1R,Low,4.0,4.0,0.0,0.0,Actor,1.050605058670044,1.0,1.0,44.0,Lalo,20230825
26,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0329952239990234,1.0,2.0,45.0,Lalo,20230825
27,1R,Low,3.0,3.0,0.0,0.0,Observer,1.0157999992370605,1.0,4.0,47.0,Lalo,20230825
28,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0991730690002441,1.0,5.0,48.0,Lalo,20230825
29,1R,Low,7.0,7.0,0.0,0.0,Actor,1.2501220703125,1.0,6.0,49.0,Lalo,20230825
30,1R,Low,7.0,7.0,0.0,0.0,Observer,1.6499841213226318,1.0,7.0,50.0,Lalo,20230825
31,1R,Low,3.0,3.0,0.0,0.0,Actor,0.9998488426208496,1.0,8.0,51.0,Lalo,20230825
32,1R,Low,3.0,3.0,0.0,1.0,Actor,1.0336790084838867,-1.0,9.0,52.0,Lalo,20230825
33,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0163657665252686,1.0,0.0,54.0,Lalo,20230825
34,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0488522052764893,1.0,1.0,55.0,Lalo,20230825
35,1R,Low,3.0,3.0,0.0,0.0,Actor,1.0170338153839111,1.0,2.0,56.0,Lalo,20230825
36,1R,Low,7.0,7.0,0.0,0.0,Actor,1.0160980224609375,1.0,3.0,57.0,Lalo,20230825
37,1R,Low,3.0,3.0,0.0,0.0,Actor-incongruent,0.9997849464416504,1.0,4.0,58.0,Lalo,20230825
38,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,0.9996700286865234,1.0,5.0,59.0,Lalo,20230825
