Unnamed: 0,trial_idx,trial_start_time,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,difficulty,trial_aborted,trial_duration,date_time,trial_num,switched_self,n_pre_switch_self,switched_actor,n_pre_switch_actor,history,alt_history,pos_in_block,pos_in_block_obj,attention_narrow,attention_wide,attention_full,attention_control_narrow,attention_control_wide,attention_control_full,attention_narrow_L,attention_wide_L,attention_full_L,attention_control_narrow_L,attention_control_wide_L,attention_control_full_L
0,0,1675882405.7787352,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1675882411.946542,370,11.316082954406738,0,1,1,-1,0.15,0.5333333333333333,"[1.716078758239746, 5.365755796432495]",0.0,11.316082954406738,15,8,1.2530086813340349,0,12.31493091583252,2023_02_08_13_53_24,1,"[0, 0]","[6, 2]","[1, 0]","[1, 2]",1NRO,1NR,0.0,1,0.7147150356985938,0.7201368782885589,0.8578129526265974,0.0003872744707117,0.0038727447071178,0.0844258346151685,,,,,,
1,1,1675882421.060745,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1675882424.579957,211,8.8161039352417,0,1,1,-1,0.15,0.6666666666666666,"[1.8662710189819336, 2.7163808345794678]",0.0,8.8161039352417,15,10,1.168769033379698,0,9.81511092185974,2023_02_08_13_53_40,2,"[0, 1]","[5, 1]","[1, 1]","[1, 1]",2NRO,2NR,1.0,2,0.7101028265791842,0.7663765464697689,0.8766655091984734,0.0314304723134703,0.0363238392604777,0.1166879810440218,0.3210801542964955,0.3239032506121153,0.8988738668933544,0.0784820775742313,0.0809287610477685,0.0869513665210908
2,2,1675882433.7099352,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1675882436.561103,171,8.148846864700317,0,1,-1,-1,0.0,0.4666666666666667,"[1.3333446979522705, 2.0493297576904297]",0.0,8.148846864700317,15,7,2.556169885678546,0,9.14834976196289,2023_02_08_13_53_52,3,"[0, 0]","[4, 2]","[0, 0]","[4, 2]",3NRO,3NR,2.0,3,0.604595262704809,0.6924713871004348,0.7274712996006198,0.0338708830646951,0.1074459679441163,0.2624993437513876,0.3989237338763536,0.8793257586812266,0.988088927634308,0.0,0.0,0.0
3,3,1675882445.658995,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1675882448.776541,186,8.416113138198853,1,0,-1,-1,0.0,0.6666666666666666,"[1.249925136566162, 2.299837112426758]",0.0,8.416113138198853,15,10,1.667641712888118,0,9.416296005249023,2023_02_08_13_54_04,4,"[0, 1]","[3, 1]","[0, 1]","[3, 1]",4NRO,4NR,3.0,4,0.8118113948604533,0.8151978618610299,0.8763424049269969,0.0301019288940144,0.0336765329501787,0.0951973501273208,0.2065744870374366,0.7122868924624182,0.9534785977283504,0.0,0.0144865532804031,0.0536190608430504
4,4,1675882457.8913238,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1675882459.693147,108,6.900025129318237,1,0,-1,1,0.0,0.6,"[1.0000503063201904, 0.9831712245941162]",0.0,6.900025129318237,15,9,1.7242201814192393,0,7.900926351547241,2023_02_08_13_54_16,5,"[0, 1]","[2, 1]","[0, 0]","[2, 2]",5NRO,5NR,4.0,5,0.8044720434724038,0.8269542512486677,0.9043712449825856,0.0525888164505653,0.0559122732522739,0.0846503997141071,0.2170021794050614,0.3071265079687851,0.930958899393606,0.0697925928356819,0.0733115470963045,0.0733115470963045
5,5,1675882468.541034,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1675882471.559235,181,8.132724046707153,1,0,-1,-1,0.0,0.8,"[1.15028715133667, 2.216771125793457]",0.0,8.132724046707153,15,12,1.6260103295126394,0,9.133012056350708,2023_02_08_13_54_27,6,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",6NRO,6NR,5.0,6,0.9292535568115378,0.934320795166634,0.9793412590138376,0.0200740596374975,0.0220229974663808,0.0220229974663808,0.2898133247396169,0.8885399781357857,0.8887348761349381,0.0,0.0,0.0
6,6,1675882480.4732218,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675882483.274012,168,4.933826208114624,1,0,1,1,0.15,0.5,"[1.9996533393859863, 0.9829041957855225]",1.0,4.933826208114624,6,3,1.6683340463708871,0,5.933401107788086,2023_02_08_13_54_39,7,"[0, 0]","[9, 9]","[0, 0]","[9, 9]",1R,1R,0.0,7,0.9268292454275814,0.9268292454275814,0.9999629643384071,0.0,0.0,0.0,0.5658487097625513,0.5827257218184352,0.9999629643111202,0.0,0.0,0.0
7,7,1675882489.0722592,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675882492.173472,186,7.917253732681274,0,1,1,1,0.15,0.5714285714285714,"[2.2997357845306396, 1.0668306350708008]",1.0,7.917253732681274,14,8,2.3040181597462217,0,8.916509866714478,2023_02_08_13_54_48,8,"[0, 0]","[8, 8]","[0, 0]","[8, 8]",1R,1R,1.0,8,0.4552626115839734,0.4791363919451941,0.7982146564251609,0.0,0.0033215694415611,0.2478721195764999,0.2966576707494291,0.3286277766244551,1.0,0.0,0.0,0.0
8,8,1675882500.7884212,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675882502.589537,108,4.666858911514282,1,0,1,1,0.15,0.625,"[0.9830746650695801, 1.000126838684082]",1.0,4.666858911514282,8,5,1.4762570107597508,0,5.66671895980835,2023_02_08_13_54_59,9,"[0, 0]","[7, 7]","[0, 0]","[7, 7]",1R,1R,2.0,9,0.754771495811417,0.8256076556124885,0.9233127036139664,0.0,0.0,0.0,0.4487453276022306,0.529700938802633,0.9480879122047128,0.0,0.0041873592000208,0.0401288590001994
9,9,1675882509.104566,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675882511.0552802,117,4.0509889125823975,1,0,1,1,0.15,0.8333333333333334,"[1.149604082107544, 1.0335447788238525]",1.0,4.0509889125823975,6,5,1.3042113019209598,0,5.050214767456055,2023_02_08_13_55_08,10,"[0, 0]","[6, 6]","[0, 0]","[6, 6]",1R,1R,3.0,10,0.8765168240271252,0.8774690421955413,0.9998290768370248,0.0,0.0,0.0,0.4280220667446048,0.8422369700458352,0.9374587868966928,0.0076177453480686,0.6256073367101342,0.6479844636700858
10,10,1675882516.787267,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675882518.8881862,126,2.9166181087493896,0,1,1,1,0.15,1.0,"[1.1332910060882568, 1.299882173538208]",1.0,2.9166181087493896,2,2,1.937601771112376,0,3.915987968444824,2023_02_08_13_55_15,11,"[0, 0]","[5, 5]","[0, 0]","[5, 5]",1R,1R,4.0,11,1.0,1.0,1.0,0.0,0.0,0.0,0.3578431372549019,0.5551470588235294,1.0,0.0,0.0,0.0
11,11,1675882523.287234,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675882525.320896,121,3.7992560863494873,0,1,1,1,0.15,0.8,"[1.2164528369903564, 0.9998579025268555]",1.0,3.7992560863494873,5,4,2.0018534871531544,0,4.799593925476074,2023_02_08_13_55_22,12,"[0, 0]","[4, 4]","[0, 0]","[4, 4]",1R,1R,5.0,12,0.6660580014171206,0.7028724317675566,0.8665550528641109,0.0,0.0,0.1466913455501991,0.4446050434886094,0.4882159840601036,0.999653378034899,0.0,0.0,0.0
12,12,1675882530.685906,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675882532.854072,130,4.284136295318604,1,0,1,1,0.15,0.5,"[1.3671128749847412, 1.0001871585845947]",1.0,4.284136295318604,6,3,2.4600180142014074,0,5.283742189407349,2023_02_08_13_55_29,13,"[0, 0]","[3, 3]","[0, 0]","[3, 3]",1R,1R,6.0,13,0.813308198443756,0.9290900163512053,0.9999768436414804,0.0,0.0,0.0,0.3908227077802783,0.6323104994075119,0.6611378091712325,0.0146499443061531,0.1904492759799905,0.5009335795007195
13,13,1675882538.586218,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675882541.170047,155,6.383480072021484,0,1,1,1,0.15,0.4545454545454545,"[1.249732255935669, 1.7826621532440186]",1.0,6.383480072021484,11,5,1.9146234540290368,0,7.38263201713562,2023_02_08_13_55_37,14,"[0, 0]","[2, 2]","[0, 0]","[2, 2]",1R,1R,7.0,14,0.5837322916325598,0.5855745486395155,0.8979687011047313,0.0,0.0018422570069557,0.1610658983224195,0.3968421052631579,0.4021052631578947,1.0,0.0,0.0,0.0
14,14,1675882548.70215,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1675882550.619746,114,7.216041326522827,1,0,1,1,0.0,0.6,"[1.0995352268218994, 0.9991641044616699]",0.0,7.216041326522827,15,9,1.172285794280675,0,8.215927124023438,2023_02_08_13_55_47,15,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",1NR,1NR,8.0,1,0.8356908079464611,0.8622176886129291,0.9805539151321376,0.0,0.0095948291772331,0.013169373380516,0.3437206452371148,0.3858626400554584,0.9374712508027055,0.0020694729598293,0.0020694729598293,0.0477860119815145
15,15,1675882559.668015,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1675882561.7685518,126,7.248883008956909,1,0,-1,-1,0.15,0.9333333333333332,"[1.065687894821167, 1.2993969917297363]",1.0,7.248883008956909,15,14,1.5948261734523537,0,8.248669147491455,2023_02_08_13_55_58,16,"[0, 0]","[8, 7]","[0, 0]","[14, 7]",1R,1R,0.0,2,0.9700970873786408,0.9844660194174756,0.994757281553398,0.0042718446601941,0.0497087378640776,0.0497087378640776,0.2963986207862529,0.9171653259191918,0.999908322285472,0.0,0.0,0.0
