,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
0,1R,Low,2.0,2.0,0.0,0.0,Observer,1.267021894454956,1.0,0.0,0.9830287206266318,0.0287206266318537,0.0,4.0,Offenbach,20230307
1,1R,Low,7.0,7.0,0.0,0.0,Actor,1.6839311122894287,1.0,1.0,0.9999006219433074,0.0,0.0,5.0,Offenbach,20230307
2,1R,Low,2.0,2.0,1.0,0.0,Actor,1.0827000141143799,-1.0,2.0,1.0,0.0,0.0,6.0,Offenbach,20230307
3,1R,Med,11.0,11.0,0.0,0.0,Observer-incongruent,1.1836450099945068,1.0,6.0,0.8671902208176637,0.0468085630554988,0.0,10.0,Offenbach,20230307
4,1R,Low,2.0,2.0,0.0,0.0,Observer,1.1327550411224365,1.0,7.0,0.999442113663726,0.0,0.0,11.0,Offenbach,20230307
5,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0503261089324951,1.0,0.0,0.980456026058632,0.0232666356444858,0.0,17.0,Offenbach,20230307
6,1R,Low,8.0,8.0,0.0,0.0,Actor,1.0331909656524658,1.0,1.0,1.0,0.0,0.0,18.0,Offenbach,20230307
7,1R,Low,8.0,8.0,0.0,0.0,Observer,1.3494508266448975,1.0,2.0,0.2808201756707512,0.63878520419818,0.0,19.0,Offenbach,20230307
8,1R,Low,5.0,5.0,0.0,0.0,Actor,1.199355125427246,1.0,3.0,0.9999114002559154,0.0,0.0,20.0,Offenbach,20230307
9,1R,Med,10.0,10.0,0.0,0.0,Observer,1.1500239372253418,1.0,4.0,0.4476267419544168,0.4792208002536905,0.0,21.0,Offenbach,20230307
10,1R,Med,9.0,9.0,0.0,0.0,Observer,1.4510741233825684,1.0,5.0,0.6757040294521407,0.325781842580598,0.0,22.0,Offenbach,20230307
11,1R,Low,2.0,2.0,0.0,0.0,Observer,1.133254051208496,1.0,6.0,0.3766806008594078,0.502240801145877,0.0,23.0,Offenbach,20230307
12,1R,Low,6.0,6.0,0.0,0.0,Observer,1.1831879615783691,1.0,7.0,0.5177659819246803,0.5522675161496002,0.0,24.0,Offenbach,20230307
13,1R,Low,7.0,7.0,0.0,0.0,Observer,1.0835649967193604,1.0,8.0,0.5076987270534238,0.4670006104718133,0.0,25.0,Offenbach,20230307
14,1R,Med,10.0,10.0,0.0,0.0,Actor,1.1996121406555176,1.0,9.0,0.9833309313109208,0.0188488677485136,0.0,26.0,Offenbach,20230307
15,1R,Low,7.0,7.0,0.0,1.0,Actor,1.0672438144683838,-1.0,10.0,1.0,0.0,0.0,27.0,Offenbach,20230307
16,1R,Low,7.0,7.0,1.0,0.0,Observer-incongruent,1.349722146987915,-1.0,0.0,0.9319941916747336,0.1248789932236205,0.0,29.0,Offenbach,20230307
17,1R,Low,3.0,3.0,0.0,0.0,Observer-incongruent,0.9832661151885986,1.0,1.0,0.884985835694051,0.1274787535410765,0.0,30.0,Offenbach,20230307
18,1R,Low,4.0,4.0,0.0,0.0,Observer,0.9834818840026855,1.0,3.0,1.0,0.0,0.0,32.0,Offenbach,20230307
19,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0832531452178955,1.0,4.0,1.0,0.0,0.0,33.0,Offenbach,20230307
20,1R,Low,1.0,1.0,0.0,0.0,Observer,1.2172598838806152,1.0,5.0,0.9991992560231416,0.0,0.0,34.0,Offenbach,20230307
21,1R,Low,4.0,4.0,0.0,0.0,Observer,1.2517859935760498,1.0,6.0,0.9998082304513506,0.0,0.0,35.0,Offenbach,20230307
22,1R,Low,1.0,1.0,0.0,0.0,Observer,1.2002737522125244,1.0,7.0,1.0,0.0,0.0,36.0,Offenbach,20230307
