,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
0,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624718208.7489696, 0.0]","[0.0, 1.0]",0.0,1.0,3.8667283058166504,1624718215.3473878,1,-1,0,1,0.6,0.0,15,9,0,"[0, 0]"
1,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624718216.3320153, 0.0]","[0.0, 1.0]",0.0,1.0,3.8667187690734863,1624718221.1305642,1,-1,0,1,0.8,0.0,15,12,0,"[0, 0]"
2,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624718221.9153032, 0.0]","[0.0, 1.0]",0.0,1.0,3.8662478923797607,1624718226.5641332,1,-1,0,1,0.6,0.0,15,9,0,"[0, 0]"
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624718228.7152898, 0.0]","[1.0, 1.0]",1.0,1.0,2.649883270263672,1624718232.2637079,1,-1,0,-1,0.3333333333333333,1.0,9,3,0,"[0, 0]"
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624718232.081892, 0.0]","[1.0, 1.0]",1.0,1.0,3.866590976715088,1624718236.763534,1,-1,0,-1,0.26666666666666666,0.0,15,4,0,"[0, 0]"
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624718240.564862, 0.0]","[1.0, 1.0]",1.0,1.0,0.9832639694213867,1624718241.996747,1,-1,0,-1,1.0,1.0,1,1,0,"[0, 0]"
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624718239.7633615, 0.0]","[1.0, 1.0]",1.0,1.0,3.866616725921631,1624718244.4134011,1,-1,0,-1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624718245.348035, 0.0]","[1.0, 1.0]",1.0,1.0,3.86629581451416,1624718249.663311,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624718251.697595, 0.0]","[1.0, 1.0]",1.0,1.0,2.5999841690063477,1624718255.146303,1,-1,0,-1,0.2222222222222222,1.0,9,2,0,"[0, 0]"
9,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624718255.0145862, 0.0]","[0.0, 1.0]",0.0,1.0,3.866428852081299,1624718259.8796842,1,-1,0,1,0.4,0.0,15,6,0,"[0, 0]"
10,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624718261.080209, 0.0]","[1.0, 1.0]",1.0,1.0,3.8835580348968506,1624718266.012774,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
11,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624718267.1631088, 0.0]","[1.0, 1.0]",1.0,1.0,3.8832759857177734,1624718271.862558,1,-1,0,-1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
12,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624718275.247117, 0.0]","[1.0, 1.0]",1.0,1.0,1.383188009262085,1624718277.1458611,1,-1,0,-1,0.3333333333333333,1.0,3,1,0,"[0, 0]"
13,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624718275.3477244, 0.0]","[1.0, 1.0]",1.0,1.0,3.8655717372894287,1624718281.0790322,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
14,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624718281.9298882, 0.0]","[1.0, 1.0]",1.0,1.0,3.866699695587158,1624718286.245562,1,-1,0,-1,0.4,0.0,15,6,0,"[0, 0]"
15,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624718287.012111, 0.0]","[1.0, 0.0]",1.0,0.0,3.8667280673980713,1624718291.728601,1,-1,0,1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
16,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624718292.595686, 0.0]","[0.0, 0.0]",0.0,0.0,3.866641044616699,1624718297.228553,1,-1,0,-1,0.4,0.0,15,6,0,"[0, 0]"
17,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624718298.1785088, 0.0]","[0.0, 0.0]",0.0,0.0,3.867331027984619,1624718302.544225,1,-1,0,-1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
18,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624718303.2615705, 0.0]","[0.0, 0.0]",0.0,0.0,3.866593599319458,1624718307.5783522,1,-1,0,-1,0.4,0.0,15,6,0,"[0, 0]"
19,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624718308.345909, 0.0]","[0.0, 0.0]",0.0,0.0,3.8666329383850098,1624718312.6448681,1,-1,0,-1,0.2,0.0,15,3,0,"[0, 0]"
20,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624718313.428291, 0.0]","[0.0, 0.0]",0.0,0.0,3.867455005645752,1624718318.143617,1,-1,0,-1,0.4,0.0,15,6,0,"[0, 0]"
21,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624718318.99486, 0.0]","[0.0, 0.0]",0.0,0.0,3.8833229541778564,1624718323.394467,1,-1,0,-1,0.2,0.0,15,3,0,"[0, 0]"
22,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624718324.5951798, 0.0]","[0.0, 0.0]",0.0,0.0,3.866490125656128,1624718329.294336,1,-1,0,-1,0.26666666666666666,0.0,15,4,0,"[0, 0]"
23,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624718330.195738, 0.0]","[0.0, 0.0]",0.0,0.0,3.8666460514068604,1624718334.494146,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
