,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration
0,0,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1679421050.12501,201,8.582084655761719,1,0,-1,0,0.15,0.7333333333333333,[2.5500168800354004],0.0,8.582084655761719,15,11,0,9.581154584884644
1,1,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1679421060.890885,107,6.882144927978516,1,0,1,0,0.0,0.8,[0.9827399253845215],0.0,6.882144927978516,15,12,0,7.882610082626343
2,2,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1679421071.524014,111,3.299913167953491,1,0,-1,0,0.15,0.5,[1.049983263015747],1.0,3.299913167953491,4,2,0,4.299630165100098
3,3,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1679421078.34044,108,5.582632064819336,1,0,-1,0,0.15,0.7272727272727273,[0.9998071193695068],1.0,5.582632064819336,11,8,0,6.582581043243408
4,4,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1679421087.589098,109,5.249344110488892,1,0,-1,0,0.15,0.7,[1.0163569450378418],1.0,5.249344110488892,10,7,0,6.2500081062316895
5,5,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1679421096.521583,111,5.616295099258423,1,0,-1,0,0.15,0.9090909090909091,[1.049349069595337],1.0,5.616295099258423,11,10,0,6.615580797195435
6,6,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1679421105.7709079,109,4.282530784606934,1,0,-1,0,0.15,0.7142857142857143,[1.0161750316619873],1.0,4.282530784606934,7,5,0,5.282373905181885
7,7,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1679421114.503884,160,4.766001224517822,1,0,-1,0,0.15,0.8333333333333334,[1.866117238998413],1.0,4.766001224517822,6,5,0,5.766892194747925
8,8,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1679421122.086972,111,4.949596166610718,1,0,-1,0,0.15,0.7777777777777778,[1.0496582984924316],1.0,4.949596166610718,9,7,0,5.949334144592285
9,9,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1679421130.603488,107,6.915803909301758,1,0,-1,0,0.15,0.6666666666666666,[0.9830849170684814],0.0,6.915803909301758,15,10,0,7.9157469272613525
10,10,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1679421141.3187132,113,7.000016927719116,1,0,1,0,0.0,0.6666666666666666,[1.083202838897705],0.0,7.000016927719116,15,10,0,7.998971939086914
11,11,[1.0],1.0,0,1.0,1.0,0,[1.0],1679421155.051316,294,8.999121189117432,1,0,1,0,0.15,0.5833333333333334,[4.099388122558594],1.0,8.999121189117432,12,7,0,9.999444246292114
12,12,[1.0],1.0,0,1.0,1.0,0,[1.0],1679421164.7515268,108,4.915730953216553,1,0,1,0,0.15,0.6666666666666666,[0.999427080154419],1.0,4.915730953216553,9,6,0,5.915488004684448
13,13,[1.0],1.0,0,1.0,1.0,0,[1.0],1679421173.716535,133,7.333116769790649,1,0,1,0,0.15,0.8,[1.4161558151245117],0.0,7.333116769790649,15,12,0,8.332575798034668
14,14,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1679421184.3824372,109,7.115608215332031,1,0,-1,0,0.0,0.3333333333333333,[1.0159821510314941],0.0,7.115608215332031,15,5,0,8.131898164749146
15,15,[1.0],1.0,0,1.0,1.0,0,[1.0],1679421197.714933,258,7.416034936904907,1,0,1,0,0.15,0.7777777777777778,[3.4995779991149902],1.0,7.416034936904907,9,7,0,8.415616989135742
16,16,[1.0],1.0,0,1.0,1.0,0,[1.0],1679421206.380929,109,6.932877779006958,1,0,1,0,0.15,0.7333333333333333,[1.016333818435669],0.0,6.932877779006958,15,11,0,7.932359933853149
