,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.4523809523809524,LD,0.391304347826087,0.5263157894736842,2021_08_16
1,-10,0.5952380952380952,LD,0.55,0.6363636363636364,2021_08_16
2,-9,0.7857142857142857,LD,0.6470588235294118,0.88,2021_08_16
3,-8,0.9285714285714286,LD,0.8888888888888888,1.0,2021_08_16
4,-7,0.9047619047619048,LD,0.9583333333333334,0.8333333333333334,2021_08_16
5,-6,0.9285714285714286,LD,0.92,0.9411764705882353,2021_08_16
6,-5,0.8809523809523809,LD,0.9523809523809523,0.8095238095238095,2021_08_16
7,-4,0.8809523809523809,LD,0.9545454545454546,0.8,2021_08_16
8,-3,0.9047619047619048,LD,0.875,0.9230769230769231,2021_08_16
9,-2,0.9761904761904762,LD,1.0,0.9629629629629629,2021_08_16
10,-1,0.9047619047619048,LD,0.92,0.8823529411764706,2021_08_16
11,0,0.09523809523809523,LD,0.14285714285714285,0.047619047619047616,2021_08_16
12,1,0.38095238095238093,LD,0.2631578947368421,0.4782608695652174,2021_08_16
13,2,0.6829268292682927,LD,0.5,0.8571428571428571,2021_08_16
14,3,0.8536585365853658,LD,0.8695652173913043,0.8333333333333334,2021_08_16
15,4,0.9024390243902439,LD,0.9230769230769231,0.8666666666666667,2021_08_16
16,5,0.9024390243902439,LD,0.9523809523809523,0.85,2021_08_16
17,6,0.975609756097561,LD,1.0,0.9473684210526315,2021_08_16
18,7,0.975609756097561,LD,1.0,0.9523809523809523,2021_08_16
19,8,0.975609756097561,LD,0.9523809523809523,1.0,2021_08_16
20,9,0.975609756097561,LD,0.9411764705882353,1.0,2021_08_16
21,10,0.926829268292683,LD,0.9047619047619048,0.95,2021_08_16
