,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
164,"[1.0, -1.0]",1.0,-1.0,1.0,"[0.31532979011535645, 0.5322229862213135]","[1.0, 1.0]","[0.33179497718811035, 0.7320020198822021]","[1.0, 0.0]",1.0,0.0,5.5829668045043945,1634401157.643248,1,-1,0,1,0.8,0.0,15,12,0,165,"[1, 0]","[0, 0]","[1, 0]","[1, 2]","[0, 2]","[1, 0]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",2NRO,4NR,13.0,4
165,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.0172119140625, 0.2993898391723633]","[1.0, 1.0]","[0.3824739456176758, 0.49929285049438477]","[0.0, 0.0]",0.0,0.0,5.849549055099487,1634401165.009762,0,-1,1,-1,1.0,0.0,15,15,0,166,"[0, 1]","[0, 1]","[0, 0]","[2, 1]","[2, 1]","[0, 0]","[0, 1]","[0, 1]","[0, 0]","[2, 1]","[2, 1]","[0, 0]",1NRG,5NR,14.0,5
166,"[-1.0, 1.0]",-1.0,1.0,1.0,"[0.21524620056152344, 0.3318600654602051]","[1.0, 1.0]","[0.6651740074157715, 0.5320432186126709]","[0.0, 1.0]",0.0,1.0,5.5829362869262695,1634401172.7762969,1,1,0,-1,0.6666666666666666,0.0,15,10,0,167,"[1, 0]","[1, 0]","[0, 0]","[1, 4]","[1, 0]","[0, 4]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",2NRG,6NR,15.0,6
167,"[1.0, 1.0]",1.0,1.0,1.0,"[0.4665348529815674, 0.9500339031219482]","[1.0, 1.0]","[0.7334001064300537, 1.1341619491577148]","[1.0, 1.0]",1.0,1.0,5.849758863449097,1634401179.826303,0,1,1,1,0.4,0.0,15,6,0,168,"[0, 0]","[0, 0]","[0, 0]","[2, 3]","[0, 0]","[2, 3]","[0, 0]","[0, 0]","[0, 0]","[2, 3]","[0, 0]","[2, 3]",1NRO,7NR,16.0,7
168,"[1.0, 1.0]",1.0,1.0,1.0,"[0.0, 0.3988480567932129]","[1.0, 1.0]","[0.3156139850616455, 0.5987567901611328]","[1.0, 1.0]",1.0,1.0,5.583198308944702,1634401187.3760488,1,1,0,1,0.7333333333333333,0.0,15,11,0,169,"[1, 0]","[0, 0]","[1, 0]","[1, 2]","[0, 0]","[1, 2]","[1, 0]","[0, 0]","[1, 0]","[1, 2]","[0, 0]","[1, 2]",2NRO,8NR,17.0,8
169,"[-1.0, 1.0]",-1.0,1.0,1.0,"[0.41585516929626465, 1.2317068576812744]","[1.0, 1.0]","[0.7152400016784668, 1.9829051494598389]","[0.0, 1.0]",0.0,1.0,5.848633766174316,1634401195.8594282,0,-1,1,1,0.6666666666666666,0.0,15,10,0,170,"[0, 1]","[0, 0]","[0, 1]","[3, 1]","[3, 0]","[0, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",3NRO,9NR,18.0,9
170,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.09806108474731445, 0.265153169631958]","[1.0, 1.0]","[0.33206820487976074, 0.44837236404418945]","[0.0, 0.0]",0.0,0.0,5.849758863449097,1634401203.4092002,0,-1,1,-1,0.9333333333333332,0.0,15,14,0,171,"[0, 1]","[0, 1]","[0, 0]","[2, 1]","[2, 1]","[0, 0]","[0, 1]","[0, 1]","[0, 0]","[2, 1]","[2, 1]","[0, 0]",1NRG,9NR,19.0,10
171,"[-1.0, 1.0]",-1.0,1.0,1.0,"[0.348599910736084, 0.5328638553619385]","[1.0, 1.0]","[0.7493617534637451, 0.7659330368041992]","[0.0, 1.0]",0.0,1.0,5.5830628871917725,1634401210.809101,1,1,0,-1,0.5333333333333333,0.0,15,8,0,172,"[1, 0]","[1, 0]","[0, 0]","[1, 3]","[1, 0]","[0, 3]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",2NRG,9NR,20.0,11
172,"[1.0, 1.0]",1.0,1.0,1.0,"[0.13252902030944824, 0.44911623001098633]","[1.0, 1.0]","[0.19929790496826172, 0.732414960861206]","[1.0, 1.0]",1.0,1.0,5.849653959274292,1634401218.375773,0,1,1,1,0.7333333333333333,0.0,15,11,0,173,"[1, 0]","[0, 0]","[1, 0]","[1, 2]","[0, 0]","[1, 2]","[1, 0]","[0, 0]","[1, 0]","[1, 2]","[0, 0]","[1, 2]",1NRO,9NR,21.0,12
173,"[-1.0, 1.0]",-1.0,1.0,1.0,"[0.4313168525695801, 0.31524181365966797]","[1.0, 1.0]","[0.9977397918701172, 0.49843668937683105]","[0.0, 1.0]",0.0,1.0,5.850279092788696,1634401226.241606,0,-1,1,1,0.6666666666666666,0.0,15,10,0,174,"[0, 1]","[0, 0]","[0, 1]","[3, 1]","[3, 0]","[0, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",2NRO,9NR,22.0,13
174,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.3822178840637207, 0.3325676918029785]","[1.0, 1.0]","[1.0488457679748535, 0.5157656669616699]","[0.0, 0.0]",0.0,0.0,5.848674058914185,1634401234.392232,0,-1,1,-1,0.6666666666666666,0.0,15,10,0,175,"[0, 1]","[0, 1]","[0, 0]","[2, 1]","[2, 1]","[0, 0]","[0, 1]","[0, 1]","[0, 0]","[2, 1]","[2, 1]","[0, 0]",1NRG,9NR,23.0,14
175,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[1.8326189517974854, 11.049186706542969]","[1.0, 1.0]","[2.4659969806671143, 11.915905952453613]","[1.0, 0.0]",1.0,0.0,5.582673788070679,1634401373.340783,1,1,0,-1,0.4666666666666667,0.0,15,7,0,176,"[1, 0]","[1, 0]","[0, 0]","[1, 3]","[1, 0]","[0, 3]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",2NRG,9NR,24.0,1
