,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.575,KL,0.6363636363636364,0.5,2021_09_30
1,-10,0.675,KL,0.6111111111111112,0.7272727272727273,2021_09_30
2,-9,0.775,KL,0.8333333333333334,0.7272727272727273,2021_09_30
3,-8,0.85,KL,0.7727272727272727,0.9444444444444444,2021_09_30
4,-7,0.9,KL,0.9047619047619048,0.8947368421052632,2021_09_30
5,-6,0.9,KL,1.0,0.8260869565217391,2021_09_30
6,-5,0.875,KL,0.8695652173913043,0.8823529411764706,2021_09_30
7,-4,0.85,KL,0.8571428571428571,0.8421052631578947,2021_09_30
8,-3,0.9,KL,0.9473684210526315,0.8571428571428571,2021_09_30
9,-2,0.925,KL,0.9583333333333334,0.875,2021_09_30
10,-1,0.85,KL,0.8260869565217391,0.8823529411764706,2021_09_30
11,0,0.075,KL,0.047619047619047616,0.10526315789473684,2021_09_30
12,1,0.425,KL,0.5625,0.3333333333333333,2021_09_30
13,2,0.65,KL,0.7894736842105263,0.5238095238095238,2021_09_30
14,3,0.825,KL,0.7857142857142857,0.8461538461538461,2021_09_30
15,4,0.875,KL,0.8571428571428571,0.8947368421052632,2021_09_30
16,5,0.85,KL,0.92,0.7333333333333333,2021_09_30
17,6,0.95,KL,1.0,0.9,2021_09_30
18,7,0.925,KL,0.9473684210526315,0.9047619047619048,2021_09_30
19,8,0.85,KL,0.7916666666666666,0.9375,2021_09_30
20,9,0.925,KL,0.9166666666666666,0.9375,2021_09_30
21,10,0.875,KL,0.8571428571428571,0.8947368421052632,2021_09_30
