,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Med,9.0,9.0,0.0,0.0,self,1.166672945022583,1.0,0.0,0.0,Offenbach,20221110
1,1R,Low,3.0,3.0,1.0,0.0,self,1.366243839263916,-1.0,1.0,1.0,Offenbach,20221110
2,1R,Low,1.0,1.0,0.0,0.0,self,1.0493249893188477,1.0,8.0,8.0,Offenbach,20221110
3,1R,Low,8.0,8.0,0.0,0.0,self,1.0157840251922607,1.0,9.0,9.0,Offenbach,20221110
4,1R,Low,3.0,3.0,0.0,1.0,self,1.9323468208312988,-1.0,10.0,10.0,Offenbach,20221110
5,1R,Low,5.0,5.0,0.0,0.0,self,1.3160481452941895,1.0,0.0,12.0,Offenbach,20221110
6,1R,Low,4.0,4.0,0.0,0.0,self,1.315338134765625,1.0,1.0,13.0,Offenbach,20221110
7,1R,Low,4.0,4.0,0.0,0.0,self,1.0172710418701172,1.0,2.0,14.0,Offenbach,20221110
8,1R,Low,6.0,6.0,0.0,0.0,self,1.5817508697509766,1.0,3.0,15.0,Offenbach,20221110
9,1R,Low,8.0,8.0,0.0,0.0,self,0.9999399185180664,1.0,4.0,16.0,Offenbach,20221110
10,1R,Low,1.0,1.0,0.0,0.0,self,1.482201099395752,1.0,6.0,18.0,Offenbach,20221110
11,1R,Low,4.0,4.0,0.0,0.0,self,0.9663138389587402,1.0,7.0,19.0,Offenbach,20221110
12,1R,Low,3.0,3.0,0.0,0.0,self,1.4994208812713623,1.0,8.0,20.0,Offenbach,20221110
13,1R,Low,1.0,1.0,0.0,0.0,self,1.032378911972046,1.0,10.0,22.0,Offenbach,20221110
14,1R,Med,10.0,10.0,0.0,0.0,self,0.9661867618560791,1.0,11.0,23.0,Offenbach,20221110
15,1R,Low,1.0,1.0,0.0,0.0,self,0.9658911228179932,1.0,12.0,24.0,Offenbach,20221110
16,1R,Low,2.0,2.0,0.0,1.0,self,1.1158173084259033,-1.0,14.0,26.0,Offenbach,20221110
17,1R,Low,2.0,2.0,0.0,0.0,self,1.2158021926879883,1.0,0.0,29.0,Offenbach,20221110
18,1R,Low,5.0,5.0,0.0,0.0,self,2.98360276222229,1.0,1.0,30.0,Offenbach,20221110
19,1R,Low,7.0,7.0,0.0,0.0,self,2.1827878952026367,1.0,2.0,31.0,Offenbach,20221110
20,1R,Low,1.0,1.0,1.0,0.0,self,0.966588020324707,-1.0,3.0,32.0,Offenbach,20221110
21,1R,Low,4.0,4.0,0.0,0.0,self,1.066288709640503,1.0,0.0,38.0,Offenbach,20221110
22,1R,Low,6.0,6.0,0.0,0.0,self,1.3674371242523193,1.0,1.0,39.0,Offenbach,20221110
23,1R,Low,1.0,1.0,0.0,0.0,self,1.6832489967346191,1.0,2.0,40.0,Offenbach,20221110
24,1R,Low,1.0,1.0,0.0,0.0,self,1.0840117931365967,1.0,3.0,41.0,Offenbach,20221110
25,1R,Low,2.0,2.0,0.0,0.0,self,3.834017753601074,1.0,4.0,42.0,Offenbach,20221110
26,1R,Low,6.0,6.0,0.0,0.0,self,1.599315881729126,1.0,5.0,43.0,Offenbach,20221110
27,1R,Low,6.0,6.0,0.0,0.0,self,1.9496471881866455,1.0,6.0,44.0,Offenbach,20221110
28,1R,Low,5.0,5.0,0.0,0.0,self,1.282940149307251,1.0,11.0,49.0,Offenbach,20221110
29,1R,Low,4.0,4.0,0.0,0.0,self,0.9665858745574951,1.0,12.0,50.0,Offenbach,20221110
30,1R,Low,1.0,1.0,0.0,0.0,self,1.0490119457244873,1.0,13.0,51.0,Offenbach,20221110
31,1R,Low,3.0,3.0,0.0,0.0,self,1.984990119934082,1.0,15.0,53.0,Offenbach,20221110
32,1R,Low,1.0,1.0,0.0,0.0,self,1.8351950645446777,1.0,0.0,61.0,Offenbach,20221110
33,1R,Med,9.0,9.0,0.0,0.0,self,1.1496787071228027,1.0,5.0,66.0,Offenbach,20221110
34,1R,Low,1.0,1.0,0.0,0.0,self,1.1991698741912842,1.0,6.0,67.0,Offenbach,20221110
35,1R,Med,10.0,10.0,0.0,0.0,self,1.0499989986419678,1.0,8.0,69.0,Offenbach,20221110
36,1R,Low,1.0,1.0,0.0,0.0,self,2.6829702854156494,1.0,9.0,70.0,Offenbach,20221110
37,1R,Low,2.0,2.0,0.0,0.0,self,2.7333858013153076,1.0,10.0,71.0,Offenbach,20221110
38,1R,Low,8.0,8.0,0.0,0.0,self,3.0180091857910156,1.0,11.0,72.0,Offenbach,20221110
39,1R,Low,1.0,1.0,0.0,0.0,self,1.0009808540344238,1.0,0.0,75.0,Offenbach,20221110
40,1R,Low,1.0,1.0,0.0,0.0,self,1.0993247032165527,1.0,1.0,76.0,Offenbach,20221110
41,1R,Low,4.0,4.0,0.0,0.0,self,1.0998589992523193,1.0,2.0,77.0,Offenbach,20221110
42,1R,Low,3.0,3.0,0.0,0.0,self,1.5662298202514648,1.0,3.0,78.0,Offenbach,20221110
43,1R,Low,4.0,4.0,0.0,0.0,self,1.1827011108398438,1.0,4.0,79.0,Offenbach,20221110
44,1R,Low,2.0,2.0,0.0,0.0,self,1.0331711769104004,1.0,5.0,80.0,Offenbach,20221110
45,1R,Low,8.0,8.0,0.0,0.0,self,1.082364797592163,1.0,6.0,81.0,Offenbach,20221110
46,1R,Low,2.0,2.0,0.0,0.0,self,1.4335277080535889,1.0,7.0,82.0,Offenbach,20221110
47,1R,Low,4.0,4.0,0.0,0.0,self,0.9670438766479492,1.0,8.0,83.0,Offenbach,20221110
48,1R,Low,6.0,6.0,0.0,0.0,self,0.966961145401001,1.0,9.0,84.0,Offenbach,20221110
49,1R,Low,1.0,1.0,0.0,0.0,self,0.9663960933685303,1.0,10.0,85.0,Offenbach,20221110
50,1R,Low,3.0,3.0,0.0,0.0,self,1.3336961269378662,1.0,11.0,86.0,Offenbach,20221110
51,1R,Low,1.0,1.0,0.0,0.0,self,1.0327491760253906,1.0,0.0,89.0,Offenbach,20221110
52,1R,Low,2.0,2.0,0.0,0.0,self,1.651197910308838,1.0,2.0,91.0,Offenbach,20221110
53,1R,Low,6.0,6.0,0.0,0.0,self,1.5173637866973877,1.0,3.0,92.0,Offenbach,20221110
54,1R,Low,6.0,6.0,0.0,0.0,self,1.7996139526367188,1.0,4.0,93.0,Offenbach,20221110
55,1R,Low,4.0,4.0,1.0,0.0,self,1.8343501091003418,-1.0,5.0,94.0,Offenbach,20221110
56,1R,Low,1.0,1.0,0.0,0.0,self,1.9161930084228516,1.0,7.0,96.0,Offenbach,20221110
57,1R,Low,1.0,1.0,0.0,1.0,self,1.7170612812042236,-1.0,12.0,101.0,Offenbach,20221110
58,1R,Low,5.0,5.0,0.0,0.0,self,1.2496230602264404,1.0,0.0,105.0,Offenbach,20221110
59,1R,Low,8.0,8.0,0.0,0.0,self,0.9992971420288086,1.0,1.0,106.0,Offenbach,20221110
60,1R,Low,5.0,5.0,0.0,0.0,self,0.9660069942474365,1.0,3.0,108.0,Offenbach,20221110
61,1R,Low,7.0,7.0,0.0,0.0,self,0.9995567798614502,1.0,4.0,109.0,Offenbach,20221110
62,1R,Low,7.0,7.0,0.0,0.0,self,1.2836668491363525,1.0,5.0,110.0,Offenbach,20221110
63,1R,Low,1.0,1.0,0.0,0.0,self,1.0494427680969238,1.0,6.0,111.0,Offenbach,20221110
64,1R,Low,7.0,7.0,1.0,1.0,self,1.2330329418182373,1.0,8.0,113.0,Offenbach,20221110
65,1R,Low,8.0,8.0,0.0,0.0,self,1.899510145187378,1.0,0.0,114.0,Offenbach,20221110
66,1R,Low,3.0,3.0,0.0,0.0,self,1.533250093460083,1.0,1.0,115.0,Offenbach,20221110
67,1R,Low,4.0,4.0,0.0,0.0,self,2.9656691551208496,1.0,2.0,116.0,Offenbach,20221110
68,1R,Low,4.0,4.0,0.0,0.0,self,2.48246693611145,1.0,3.0,117.0,Offenbach,20221110
69,1R,Low,5.0,5.0,0.0,0.0,self,2.4162118434906006,1.0,4.0,118.0,Offenbach,20221110
70,1R,Low,2.0,2.0,0.0,0.0,self,2.700260877609253,1.0,5.0,119.0,Offenbach,20221110
71,1R,Low,4.0,4.0,0.0,0.0,self,3.2505710124969482,1.0,6.0,120.0,Offenbach,20221110
72,1R,Low,3.0,3.0,1.0,0.0,self,0.9832122325897217,-1.0,7.0,121.0,Offenbach,20221110
73,1R,Med,10.0,10.0,0.0,0.0,self,1.2344810962677002,1.0,14.0,128.0,Offenbach,20221110
74,1R,Low,6.0,6.0,0.0,0.0,self,1.4831018447875977,1.0,15.0,129.0,Offenbach,20221110
75,1R,Low,7.0,7.0,0.0,1.0,self,1.1329960823059082,-1.0,16.0,130.0,Offenbach,20221110
76,1R,Low,3.0,3.0,0.0,0.0,self,1.1323091983795166,1.0,0.0,133.0,Offenbach,20221110
77,1R,Low,6.0,6.0,0.0,0.0,self,1.0500578880310059,1.0,1.0,134.0,Offenbach,20221110
78,1R,Low,2.0,2.0,0.0,0.0,self,1.084256887435913,1.0,2.0,135.0,Offenbach,20221110
79,1R,Med,9.0,9.0,0.0,0.0,self,1.4332690238952637,1.0,3.0,136.0,Offenbach,20221110
80,1R,High,12.0,12.0,0.0,0.0,self,2.3326950073242188,1.0,4.0,137.0,Offenbach,20221110
81,1R,Low,3.0,3.0,0.0,0.0,self,1.2655022144317627,1.0,5.0,138.0,Offenbach,20221110
82,1R,Low,2.0,2.0,0.0,0.0,self,1.3832039833068848,1.0,6.0,139.0,Offenbach,20221110
83,1R,Low,1.0,1.0,0.0,0.0,self,1.315850019454956,1.0,7.0,140.0,Offenbach,20221110
84,1R,Low,5.0,5.0,0.0,0.0,self,0.9660129547119141,1.0,9.0,142.0,Offenbach,20221110
85,1R,Low,1.0,1.0,0.0,0.0,self,1.065932035446167,1.0,10.0,143.0,Offenbach,20221110
86,1R,Low,5.0,5.0,0.0,0.0,self,1.3669288158416748,1.0,12.0,145.0,Offenbach,20221110
87,1R,Low,7.0,7.0,0.0,0.0,self,2.5681517124176025,1.0,0.0,148.0,Offenbach,20221110
88,1R,Low,2.0,2.0,0.0,0.0,self,3.0824801921844482,1.0,1.0,149.0,Offenbach,20221110
89,1R,Low,5.0,5.0,0.0,0.0,self,1.9497830867767334,1.0,2.0,150.0,Offenbach,20221110
90,1R,Low,6.0,6.0,0.0,0.0,self,1.3998939990997314,1.0,0.0,161.0,Offenbach,20221110
91,1R,Low,1.0,1.0,0.0,0.0,self,1.0668418407440186,1.0,2.0,163.0,Offenbach,20221110
92,1R,Low,1.0,1.0,0.0,0.0,self,1.1319739818572998,1.0,3.0,164.0,Offenbach,20221110
93,1R,Low,1.0,1.0,0.0,0.0,self,1.3993349075317383,1.0,4.0,165.0,Offenbach,20221110
94,1R,Low,3.0,3.0,0.0,0.0,self,1.0666511058807373,1.0,5.0,166.0,Offenbach,20221110
95,1R,Low,2.0,2.0,0.0,0.0,self,0.9667191505432129,1.0,6.0,167.0,Offenbach,20221110
96,1R,Low,2.0,2.0,0.0,0.0,self,0.9657750129699707,1.0,7.0,168.0,Offenbach,20221110
97,1R,Low,3.0,3.0,0.0,0.0,self,1.0668540000915527,1.0,8.0,169.0,Offenbach,20221110
98,1R,Low,5.0,5.0,0.0,0.0,self,1.1168708801269531,1.0,9.0,170.0,Offenbach,20221110
99,1R,Low,7.0,7.0,0.0,0.0,self,1.0158889293670654,1.0,10.0,171.0,Offenbach,20221110
100,1R,Low,4.0,4.0,0.0,0.0,self,1.7996609210968018,1.0,11.0,172.0,Offenbach,20221110
