,Unnamed: 0,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,history,pos_in_block,switched
0,0,0,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1668623327.5210822,108,6.265985012054443,1,0,-1,0,0.15,0.6923076923076923,[0.9988799095153809],1.0,6.265985012054443,13,9,0,6.765178918838501,1R,0.0,1.0
1,1,1,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1668623335.8533492,107,7.082380056381226,1,0,1,0,0.0,0.8,[0.983309268951416],0.0,7.082380056381226,15,12,0,7.58250617980957,,,
2,2,2,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1668623345.0695412,108,7.099294185638428,1,0,1,0,0.0,0.5333333333333333,[0.9994022846221924],0.0,7.099294185638428,15,8,0,7.598595142364502,,,
3,3,3,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1668623354.385631,114,4.017298936843872,1,0,-1,0,0.15,0.6666666666666666,[1.0995948314666748],1.0,4.017298936843872,6,4,0,4.516217708587647,1R,3.0,1.0
4,4,4,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1668623360.4183471,115,4.683367967605591,1,0,-1,0,0.15,0.5,[1.1163787841796875],1.0,4.683367967605591,8,4,0,5.183120965957642,1R,4.0,1.0
5,5,5,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1668623367.134184,115,6.066042184829712,1,0,-1,0,0.15,0.6666666666666666,[1.116075038909912],1.0,6.066042184829712,12,8,0,6.5660600662231445,1R,5.0,1.0
6,6,6,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1668623375.1836958,109,3.266489028930664,1,0,-1,0,0.15,1.0,[1.0158569812774658],1.0,3.266489028930664,4,4,0,3.766496181488037,1R,6.0,1.0
7,7,7,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1668623380.383637,106,7.083056211471558,1,0,1,0,0.0,0.6666666666666666,[0.9671070575714111],0.0,7.083056211471558,15,10,0,7.582498073577881,,,
8,8,8,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1668623389.66695,111,6.9495720863342285,1,0,1,0,0.0,0.4,[1.0503239631652832],0.0,6.9495720863342285,15,6,0,7.448692083358765,,,
9,9,9,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1668623399.315833,146,7.732473850250244,1,0,-1,0,0.15,0.3333333333333333,[1.633570671081543],0.0,7.732473850250244,15,5,0,8.232051849365234,,,
10,10,10,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1668623408.564915,108,7.099168062210083,1,0,1,0,0.0,0.6,[0.9998230934143066],0.0,7.099168062210083,15,9,0,7.599668025970459,,,
11,11,11,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1668623419.980744,240,9.166355848312378,1,0,1,0,0.0,0.9333333333333332,[3.200526714324951],0.0,9.166355848312378,15,14,0,9.665966749191284,,,
12,12,12,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1668623431.530058,249,6.266222953796387,1,0,-1,0,0.15,0.8333333333333334,[3.3669209480285645],1.0,6.266222953796387,6,5,0,6.766677141189575,1R,12.0,1.0
13,13,13,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1668623437.8460212,127,7.216465950012207,1,0,-1,0,0.0,0.6,[1.3165619373321533],0.0,7.216465950012207,15,9,0,7.716299057006836,1NR,13.0,1.0
14,14,14,[1.0],1.0,0,1.0,1.0,0,[1.0],1668623449.495401,266,5.200024843215942,1,0,1,0,0.15,0.5,[3.6356937885284424],1.0,5.200024843215942,2,1,0,5.69980001449585,1R,0.0,1.0
15,15,15,[1.0],1.0,0,1.0,1.0,0,[1.0],1668623454.228796,115,2.6831297874450684,1,0,1,0,0.15,1.0,[1.1162238121032715],1.0,2.6831297874450684,2,2,0,3.183723926544189,1R,1.0,1.0
16,16,16,[1.0],1.0,0,1.0,1.0,0,[1.0],1668623458.711622,106,5.932582139968872,1,0,1,0,0.15,0.1666666666666666,[0.9663670063018799],1.0,5.932582139968872,12,2,0,6.433403015136719,1R,2.0,1.0
