,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
0,1R,Low,1.0,1.0,1.0,0.0,Observer,1.016469955444336,-1.0,0.0,,,0.0,0.0,Lalo,20230221
1,1R,Low,1.0,1.0,0.0,0.0,Observer-incongruent,1.399907112121582,1.0,1.0,0.6559670781893004,0.1786008230452674,0.0,1.0,Lalo,20230221
2,1R,Med,9.0,9.0,0.0,0.0,Actor,1.4499080181121826,1.0,2.0,0.905802362297737,0.0,0.0,2.0,Lalo,20230221
3,1R,Med,10.0,10.0,0.0,0.0,Observer,1.0163941383361816,1.0,3.0,1.0,0.0,0.0,3.0,Lalo,20230221
4,1R,Med,9.0,9.0,0.0,0.0,Observer,0.9827959537506104,1.0,7.0,0.9394500264410364,0.0,0.0,7.0,Lalo,20230221
5,1R,Low,8.0,8.0,0.0,0.0,Actor,1.0495779514312744,1.0,8.0,0.9606045849386532,0.0,0.0,8.0,Lalo,20230221
6,1R,Low,4.0,4.0,0.0,0.0,Actor,1.03346586227417,1.0,9.0,1.0,0.0,0.0,9.0,Lalo,20230221
7,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0331218242645264,1.0,10.0,0.9991775229689142,0.0,0.0,10.0,Lalo,20230221
8,1R,Med,9.0,9.0,0.0,0.0,Actor,0.9833920001983643,1.0,11.0,0.9999102377029891,0.0,0.0,11.0,Lalo,20230221
9,1R,Low,4.0,4.0,0.0,0.0,Observer,1.017164945602417,1.0,12.0,0.9998589434124932,0.0,0.0,12.0,Lalo,20230221
10,1R,Low,1.0,1.0,0.0,0.0,Actor,1.000218152999878,1.0,13.0,1.0,0.0,0.0,13.0,Lalo,20230221
11,1R,Low,6.0,6.0,0.0,0.0,Actor,1.050657033920288,1.0,0.0,1.0,0.0,0.0,15.0,Lalo,20230221
12,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9999871253967285,1.0,1.0,0.9999682729612056,0.0,0.0,16.0,Lalo,20230221
13,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0163931846618652,1.0,2.0,1.0,0.0,0.0,17.0,Lalo,20230221
14,1R,Low,1.0,1.0,0.0,0.0,Observer,0.9835309982299805,1.0,3.0,0.998677676780491,0.0,0.0,18.0,Lalo,20230221
15,1R,Low,6.0,6.0,0.0,0.0,Actor,0.999114990234375,1.0,4.0,0.9999728312324024,0.1723391943527052,0.0,19.0,Lalo,20230221
16,1R,Low,1.0,1.0,0.0,0.0,Actor,0.999356746673584,1.0,5.0,1.0,0.0,0.0,20.0,Lalo,20230221
17,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0328619480133057,1.0,6.0,1.0,0.0,0.0,21.0,Lalo,20230221
18,1R,Low,6.0,6.0,0.0,0.0,Actor,0.9830582141876221,1.0,7.0,1.0,0.0,0.0,22.0,Lalo,20230221
19,1R,Low,4.0,4.0,0.0,0.0,Observer,0.9996020793914795,1.0,8.0,1.0,0.0,0.0,23.0,Lalo,20230221
20,1R,Low,5.0,5.0,0.0,0.0,Observer,1.2493009567260742,1.0,9.0,0.9745690354266612,0.1721929160834496,0.0,24.0,Lalo,20230221
21,1R,Low,5.0,5.0,0.0,1.0,Actor,0.9826030731201172,-1.0,10.0,0.999863228182614,0.0,0.0,25.0,Lalo,20230221
22,1R,Low,4.0,4.0,0.0,0.0,Observer,1.000140905380249,1.0,0.0,0.9998367338126688,0.0,0.0,28.0,Lalo,20230221
23,1R,Low,6.0,6.0,0.0,0.0,Actor,0.9841830730438232,1.0,4.0,0.9998779939152752,0.0,0.0,32.0,Lalo,20230221
24,1R,Low,6.0,6.0,0.0,0.0,Actor,0.9994409084320068,1.0,5.0,1.0,0.0,0.0,33.0,Lalo,20230221
25,1R,Low,1.0,1.0,0.0,0.0,Observer,1.032677173614502,1.0,6.0,1.0,0.0,0.0,34.0,Lalo,20230221
26,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0503489971160889,1.0,7.0,0.9997007265335676,0.0,0.0,35.0,Lalo,20230221
27,1R,Low,4.0,4.0,0.0,0.0,Observer-incongruent,0.983583927154541,1.0,0.0,0.8712780577187357,0.2349977095739807,0.0,41.0,Lalo,20230221
28,1R,High,12.0,12.0,0.0,0.0,Actor,0.9833781719207764,1.0,1.0,0.9999211689083604,0.0,0.0,42.0,Lalo,20230221
29,1R,Low,6.0,6.0,0.0,0.0,Actor,1.066728115081787,1.0,2.0,0.9998087165246056,0.1005232633612442,0.0,43.0,Lalo,20230221
30,1R,Low,7.0,7.0,0.0,0.0,Actor,0.9836790561676025,1.0,3.0,1.0,0.0,0.0,44.0,Lalo,20230221
31,1R,Low,2.0,2.0,0.0,0.0,Actor,1.016573190689087,1.0,4.0,0.9998861413296668,0.0,0.0,45.0,Lalo,20230221
32,1R,Low,3.0,3.0,0.0,0.0,Actor,1.016993761062622,1.0,5.0,1.0,0.0,0.0,46.0,Lalo,20230221
33,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,1.000014066696167,1.0,7.0,0.998115590895554,0.0,0.0,48.0,Lalo,20230221
34,1R,Low,6.0,6.0,0.0,0.0,Observer-incongruent,1.0831987857818604,1.0,9.0,0.8698323823672245,0.1340894423220252,0.0,50.0,Lalo,20230221
35,1R,Low,7.0,7.0,0.0,0.0,Observer,1.0000550746917725,1.0,10.0,0.9223296444035348,0.0661512888719123,0.0,51.0,Lalo,20230221
36,1R,Low,3.0,3.0,0.0,0.0,Actor,0.9828107357025146,1.0,11.0,0.9998855678763676,0.0,0.0,52.0,Lalo,20230221
37,1R,Low,7.0,7.0,0.0,0.0,Actor,0.9828829765319824,1.0,13.0,0.9999606340119476,0.0,0.0,54.0,Lalo,20230221
38,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9835970401763916,1.0,14.0,1.0,0.0,0.0,55.0,Lalo,20230221
39,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0338349342346191,1.0,15.0,1.0,0.0,0.0,56.0,Lalo,20230221
40,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,1.0499536991119385,1.0,16.0,0.6574074074074074,0.3634259259259259,0.0,57.0,Lalo,20230221
41,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0003468990325928,1.0,0.0,0.921764462269138,0.0,0.0,60.0,Lalo,20230221
42,1R,Low,8.0,8.0,0.0,0.0,Observer,0.9998941421508789,1.0,2.0,0.6838641747828376,0.0,0.0,62.0,Lalo,20230221
43,1R,Low,3.0,3.0,0.0,0.0,Observer-incongruent,1.0162217617034912,1.0,4.0,0.8791836281509388,0.1155627964837574,0.0,64.0,Lalo,20230221
