,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
0,1R,Low,1.0,1.0,1.0,0.0,Actor,0.9999070167541504,-1.0,0.0,,,0.0,0.0,Lalo,20221229
1,1R,Low,6.0,6.0,0.0,0.0,Actor,0.9987809658050537,1.0,6.0,,,0.0,6.0,Lalo,20221229
2,1R,Low,2.0,2.0,0.0,0.0,Observer,0.9995920658111572,1.0,7.0,,,0.0,7.0,Lalo,20221229
3,1R,Low,2.0,2.0,0.0,0.0,Observer,0.9996187686920166,1.0,8.0,,,0.0,8.0,Lalo,20221229
4,1R,Low,4.0,4.0,0.0,0.0,Observer,2.9162702560424805,1.0,9.0,,,0.0,9.0,Lalo,20221229
5,1R,Low,3.0,3.0,1.0,0.0,Observer,1.000351905822754,-1.0,10.0,,,0.0,10.0,Lalo,20221229
6,1R,Low,2.0,2.0,1.0,1.0,Observer-incongruent,2.5496530532836914,1.0,11.0,,,0.0,11.0,Lalo,20221229
7,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,1.0163047313690186,1.0,0.0,,,0.0,12.0,Lalo,20221229
8,1R,Low,6.0,6.0,0.0,0.0,Observer,1.149796962738037,1.0,2.0,,,0.0,14.0,Lalo,20221229
9,1R,Low,2.0,2.0,0.0,0.0,Observer,1.000732183456421,1.0,4.0,,,0.0,16.0,Lalo,20221229
10,1R,Med,9.0,9.0,0.0,0.0,Actor,1.2327017784118652,1.0,5.0,,,0.0,17.0,Lalo,20221229
11,1R,Low,4.0,4.0,0.0,0.0,Observer,0.9831860065460205,1.0,6.0,,,0.0,18.0,Lalo,20221229
12,1R,Low,1.0,1.0,0.0,0.0,Observer,1.083953857421875,1.0,9.0,,,0.0,21.0,Lalo,20221229
13,1R,Low,8.0,8.0,0.0,0.0,Actor,1.0830399990081787,1.0,10.0,,,0.0,22.0,Lalo,20221229
14,1R,Low,3.0,3.0,0.0,1.0,Observer,1.1327018737792969,-1.0,11.0,,,0.0,23.0,Lalo,20221229
15,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9828076362609863,1.0,0.0,,,0.0,26.0,Lalo,20221229
16,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0000529289245605,1.0,1.0,,,0.0,27.0,Lalo,20221229
17,1R,Med,10.0,10.0,0.0,0.0,Observer,0.9999752044677734,1.0,2.0,,,0.0,28.0,Lalo,20221229
18,1R,Low,4.0,4.0,0.0,0.0,Observer,0.9999148845672607,1.0,3.0,,,0.0,29.0,Lalo,20221229
19,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9836499691009521,1.0,4.0,,,0.0,30.0,Lalo,20221229
20,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9833498001098633,1.0,5.0,,,0.0,31.0,Lalo,20221229
21,1R,Low,3.0,3.0,0.0,0.0,Observer,1.000370740890503,1.0,6.0,,,0.0,32.0,Lalo,20221229
22,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0167012214660645,1.0,7.0,,,0.0,33.0,Lalo,20221229
23,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9828660488128662,1.0,8.0,,,0.0,34.0,Lalo,20221229
24,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9832954406738281,1.0,0.0,,,0.0,41.0,Lalo,20221229
25,1R,Low,5.0,5.0,0.0,0.0,Actor,1.000441074371338,1.0,1.0,,,0.0,42.0,Lalo,20221229
26,1R,Low,5.0,5.0,0.0,0.0,Observer,0.9834890365600586,1.0,4.0,,,0.0,45.0,Lalo,20221229
27,1R,Low,1.0,1.0,0.0,0.0,Observer,0.9838011264801025,1.0,5.0,,,0.0,46.0,Lalo,20221229
28,1R,Low,5.0,5.0,0.0,0.0,Observer,0.982877254486084,1.0,6.0,,,0.0,47.0,Lalo,20221229
29,1R,Med,11.0,11.0,0.0,1.0,Observer-incongruent,1.2995929718017578,-1.0,8.0,,,0.0,49.0,Lalo,20221229
30,1R,High,12.0,12.0,0.0,0.0,Actor,0.9832570552825928,1.0,0.0,,,0.0,54.0,Lalo,20221229
31,1R,Low,2.0,2.0,0.0,0.0,Observer,1.4000740051269531,1.0,1.0,,,0.0,55.0,Lalo,20221229
32,1R,Low,3.0,3.0,0.0,0.0,Observer,1.3339340686798096,1.0,2.0,,,0.0,56.0,Lalo,20221229
33,1R,Low,7.0,7.0,0.0,0.0,Observer,1.017423152923584,1.0,3.0,,,0.0,57.0,Lalo,20221229
34,1R,Low,5.0,5.0,0.0,0.0,Observer-incongruent,0.9996232986450195,1.0,5.0,,,0.0,59.0,Lalo,20221229
35,1R,Low,3.0,3.0,1.0,0.0,Observer,1.0002968311309814,-1.0,6.0,,,0.0,60.0,Lalo,20221229
36,1R,Low,8.0,8.0,0.0,0.0,Observer-incongruent,0.9830400943756104,1.0,0.0,,,0.0,70.0,Lalo,20221229
37,1R,Low,4.0,4.0,0.0,0.0,Observer-incongruent,2.2661361694335938,1.0,0.0,,,0.0,73.0,Lalo,20221229
38,1R,Low,6.0,6.0,0.0,0.0,Actor,1.2174298763275146,1.0,1.0,,,0.0,74.0,Lalo,20221229
39,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9834458827972412,1.0,2.0,,,0.0,75.0,Lalo,20221229
40,1R,Low,6.0,6.0,0.0,0.0,Actor,1.0171177387237549,1.0,3.0,,,0.0,76.0,Lalo,20221229
