,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
0,1R,High,14.0,14.0,0.0,0.0,Actor-incongruent,1.1500258445739746,1.0,0.0,,,0.0,0.0,Lalo,20221216
1,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0008158683776855,1.0,3.0,,,0.0,3.0,Lalo,20221216
2,1R,Low,3.0,3.0,0.0,0.0,Actor,0.9840660095214844,1.0,4.0,,,0.0,4.0,Lalo,20221216
3,1R,Low,6.0,6.0,0.0,1.0,Observer,1.0360472202301025,-1.0,10.0,,,0.0,10.0,Lalo,20221216
4,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,1.000403881072998,1.0,0.0,,,0.0,12.0,Lalo,20221216
5,1R,Med,10.0,10.0,0.0,0.0,Actor-incongruent,0.9828250408172607,1.0,1.0,,,0.0,13.0,Lalo,20221216
6,1R,Low,8.0,8.0,0.0,0.0,Actor,0.9994969367980957,1.0,2.0,,,0.0,14.0,Lalo,20221216
7,1R,Low,6.0,6.0,0.0,0.0,Actor-incongruent,0.9990427494049072,1.0,3.0,,,0.0,15.0,Lalo,20221216
8,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9995737075805664,1.0,5.0,,,0.0,17.0,Lalo,20221216
9,1R,Low,3.0,3.0,0.0,0.0,Observer,1.0004761219024658,1.0,6.0,,,0.0,18.0,Lalo,20221216
10,1R,Low,2.0,2.0,0.0,0.0,Actor,1.1327342987060547,1.0,7.0,,,0.0,19.0,Lalo,20221216
11,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9996211528778076,1.0,8.0,,,0.0,20.0,Lalo,20221216
12,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0341413021087646,1.0,0.0,,,0.0,24.0,Lalo,20221216
13,1R,Low,1.0,1.0,0.0,0.0,Observer,1.2998948097229004,1.0,1.0,,,0.0,25.0,Lalo,20221216
14,1R,Low,3.0,3.0,0.0,0.0,Actor,1.1996490955352783,1.0,2.0,,,0.0,26.0,Lalo,20221216
15,1R,Low,4.0,4.0,0.0,0.0,Actor,0.999826192855835,1.0,3.0,,,0.0,27.0,Lalo,20221216
16,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0166680812835693,1.0,4.0,,,0.0,28.0,Lalo,20221216
17,1R,Med,11.0,11.0,0.0,0.0,Observer,1.183608055114746,1.0,5.0,,,0.0,29.0,Lalo,20221216
18,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9833569526672363,1.0,6.0,,,0.0,30.0,Lalo,20221216
19,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0002257823944092,1.0,7.0,,,0.0,31.0,Lalo,20221216
20,1R,Low,2.0,2.0,0.0,0.0,Observer,1.000359058380127,1.0,8.0,,,0.0,32.0,Lalo,20221216
21,1R,Low,2.0,2.0,0.0,0.0,Observer,1.1164491176605225,1.0,9.0,,,0.0,33.0,Lalo,20221216
22,1R,Low,5.0,5.0,0.0,0.0,Observer,0.9995808601379395,1.0,0.0,,,0.0,35.0,Lalo,20221216
23,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9823207855224609,1.0,2.0,,,0.0,37.0,Lalo,20221216
24,1R,Low,7.0,7.0,0.0,0.0,Actor,0.9830911159515381,1.0,3.0,,,0.0,38.0,Lalo,20221216
25,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9829018115997314,1.0,4.0,,,0.0,39.0,Lalo,20221216
26,1R,Low,1.0,1.0,0.0,0.0,Observer,0.9831140041351318,1.0,5.0,,,0.0,40.0,Lalo,20221216
27,1R,Low,3.0,3.0,0.0,0.0,Actor,0.9825222492218018,1.0,6.0,,,0.0,41.0,Lalo,20221216
28,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9827220439910889,1.0,7.0,,,0.0,42.0,Lalo,20221216
29,1R,Low,2.0,2.0,0.0,0.0,Actor,0.982957124710083,1.0,8.0,,,0.0,43.0,Lalo,20221216
30,1R,Low,8.0,8.0,0.0,0.0,Observer-incongruent,0.9998369216918945,1.0,0.0,,,0.0,47.0,Lalo,20221216
