,Outcome,Performance,Effort,Difficulty,1back-Performance,1back-Effort,1back-Difficulty,Switches,Condition,1back-Condition,Corrects,Confidence,Prev_confidence,Pos_in_block,Player,Session
33,1R,4.0,0.5189250000000001,1.6050287733000002,10.0,0.846175,1.0615944536,0.0,Actor,Observer-incongruent,1.0,4.0,3.0,0.0,TB,session1
34,1R,9.0,0.575025,0.6954149599000002,4.0,0.5189250000000001,1.6050287733000002,0.0,Observer,Actor,1.0,4.0,4.0,1.0,TB,session1
35,1R,1.0,0.1308999999999998,0.9267929516999999,9.0,0.575025,0.6954149599000002,0.0,Observer,Observer,1.0,4.0,4.0,2.0,TB,session1
36,1R,6.0,0.5610000000000002,2.3771644629,1.0,0.1308999999999998,0.9267929516999999,0.0,Observer,Observer,1.0,4.0,4.0,3.0,TB,session1
37,1R,2.0,0.11687499999999995,0.8019434496,14.0,0.434775,0.5902718455000001,0.0,Actor,Observer-incongruent,1.0,4.0,4.0,6.0,TB,session1
38,1R,5.0,0.35529999999999995,1.4531254929,9.0,0.752675,1.0204160033000003,0.0,Observer,Actor,1.0,4.0,3.0,8.0,TB,session1
39,1R,7.0,0.35530000000000006,0.7370610229,5.0,0.35529999999999995,1.4531254929,0.0,Observer,Observer,1.0,3.0,4.0,9.0,TB,session1
40,1R,1.0,0.10752499999999987,1.0961638471000004,7.0,0.35530000000000006,0.7370610229,0.0,Actor,Observer,1.0,3.0,3.0,10.0,TB,session1
41,1R,7.0,0.5002249999999995,1.4095200832999994,1.0,0.10752499999999987,1.0961638471000004,0.0,Actor,Actor,1.0,3.0,3.0,11.0,TB,session1
42,1R,2.0,0.21504999999999996,0.8699641607000003,7.0,0.5002249999999995,1.4095200832999994,0.0,Actor,Actor,1.0,3.0,3.0,12.0,TB,session1
43,1R,9.0,0.509575,1.1681543999999997,2.0,0.21504999999999996,0.8699641607000003,0.0,Actor,Actor,1.0,3.0,3.0,13.0,TB,session1
44,1R,3.0,0.08882499999999993,1.2705737696,9.0,0.509575,1.1681543999999997,0.0,Actor,Actor,0.0,3.0,3.0,14.0,TB,session1
45,1R,1.0,0.03272500000000006,1.3481507540000002,9.0,0.5563250000000002,1.8523457446,0.0,Actor,Observer,1.0,4.0,2.0,0.0,TB,session1
46,1R,5.0,0.20102499999999995,1.3368362699000003,1.0,0.03272500000000006,1.3481507540000002,0.0,Actor,Actor,1.0,4.0,4.0,1.0,TB,session1
47,1R,2.0,0.1495999999999999,0.9344206433,5.0,0.20102499999999995,1.3368362699000003,0.0,Actor,Actor,1.0,4.0,4.0,2.0,TB,session1
48,1R,3.0,0.06544999999999998,1.0424664705,2.0,0.1495999999999999,0.9344206433,0.0,Observer,Actor,1.0,4.0,4.0,3.0,TB,session1
49,1R,2.0,0.14024999999999999,1.3842704461000002,3.0,0.06544999999999998,1.0424664705,0.0,Actor,Observer,1.0,4.0,4.0,4.0,TB,session1
50,1R,7.0,0.6919000000000001,1.3948798586000002,2.0,0.14024999999999999,1.3842704461000002,0.0,Observer,Actor,1.0,4.0,4.0,5.0,TB,session1
51,1R,4.0,0.15427499999999994,1.4078882848999998,7.0,0.6919000000000001,1.3948798586000002,0.0,Actor,Observer,1.0,4.0,4.0,6.0,TB,session1
52,1R,3.0,0.0,0.5593594018,4.0,0.15427499999999994,1.4078882848999998,0.0,Observer,Actor,0.0,4.0,4.0,7.0,TB,session1
53,1R,4.0,0.3693249999999999,2.2807604446,12.0,0.45815000000000017,0.7034925169000001,0.0,Actor,Observer-incongruent,1.0,4.0,2.0,0.0,TB,session1
54,1R,6.0,0.15427499999999994,0.9817721591000002,4.0,0.3693249999999999,2.2807604446,0.0,Observer,Actor,1.0,4.0,4.0,1.0,TB,session1
55,1R,13.0,0.5656750000000004,0.8466829230000001,6.0,0.15427499999999994,0.9817721591000002,0.0,Observer,Observer,1.0,4.0,4.0,2.0,TB,session1
56,1R,10.0,0.8228000000000003,0.9656295810000002,13.0,0.5656750000000004,0.8466829230000001,0.0,Observer,Observer,1.0,4.0,4.0,3.0,TB,session1
57,1R,2.0,0.14960000000000007,1.7811880721000004,8.0,0.5329499999999999,1.9243947758,0.0,Actor,Actor,1.0,4.0,4.0,5.0,TB,session1
