,Outcome,Performance,Effort,Difficulty,1back-Performance,1back-Effort,1back-Difficulty,Switches,Condition,1back-Condition,Corrects,Confidence,Prev_confidence,Pos_in_block,Player,Session
33,1R,7.0,0.6358000000000004,1.2388218212000002,9.0,0.8976000000000002,1.2070134654,0.0,Observer,Actor-incongruent,1.0,4.0,2.0,0.0,SC,session1
34,1R,1.0,0.172975,1.2146656155,7.0,0.6358000000000004,1.2388218212000002,0.0,Observer,Observer,1.0,4.0,4.0,1.0,SC,session1
35,1R,10.0,0.4534750000000003,0.9026006336000005,1.0,0.172975,1.2146656155,0.0,Actor,Observer,1.0,4.0,4.0,2.0,SC,session1
36,1R,5.0,0.18699999999999983,1.1916565857000003,10.0,0.4534750000000003,0.9026006336000005,0.0,Actor,Actor,1.0,4.0,4.0,3.0,SC,session1
37,1R,2.0,0.2384250000000001,1.6509359135999997,13.0,0.5703500000000007,0.8651847394000002,0.0,Observer,Actor,1.0,4.0,3.0,5.0,SC,session1
38,1R,1.0,0.13090000000000013,0.8017480299000003,2.0,0.2384250000000001,1.6509359135999997,0.0,Observer,Observer,1.0,4.0,4.0,6.0,SC,session1
39,1R,4.0,0.13090000000000013,1.1136640198999999,1.0,0.13090000000000013,0.8017480299000003,0.0,Actor,Observer,1.0,4.0,4.0,7.0,SC,session1
40,1R,7.0,0.5797,1.1950023671999999,4.0,0.13090000000000013,1.1136640198999999,0.0,Actor,Actor,1.0,4.0,4.0,8.0,SC,session1
41,1R,1.0,0.2057,0.7497551048000001,7.0,0.5797,1.1950023671999999,0.0,Observer,Actor,1.0,4.0,4.0,9.0,SC,session1
42,1R,5.0,0.4347749999999999,1.1100265119000001,9.0,0.8134499999999999,1.2860886325,0.0,Observer,Actor,1.0,4.0,3.0,11.0,SC,session1
43,1R,2.0,0.2477750000000002,1.3740002494,5.0,0.4347749999999999,1.1100265119000001,0.0,Observer,Observer,0.0,4.0,4.0,12.0,SC,session1
44,1R,2.0,0.07947499999999996,1.3772666029,11.0,0.5516500000000003,1.0005850478999998,0.0,Actor,Observer-incongruent,1.0,4.0,1.0,0.0,SC,session1
45,1R,6.0,0.406725,1.2079189817,2.0,0.07947499999999996,1.3772666029,0.0,Observer,Actor,1.0,4.0,4.0,1.0,SC,session1
46,1R,6.0,0.32725,1.4461150169,6.0,0.406725,1.2079189817,0.0,Actor,Observer,1.0,4.0,4.0,2.0,SC,session1
47,1R,12.0,0.8789000000000001,0.9510742624999999,6.0,0.32725,1.4461150169,0.0,Actor,Actor,1.0,4.0,4.0,3.0,SC,session1
48,1R,5.0,0.35997500000000004,1.3161207478999999,12.0,0.8789000000000001,0.9510742624999999,0.0,Observer,Actor,1.0,4.0,4.0,4.0,SC,session1
49,1R,2.0,0.13090000000000002,1.5887172180000002,8.0,0.8929250000000001,1.9279586318,0.0,Observer,Observer,1.0,4.0,2.0,7.0,SC,session1
50,1R,11.0,0.6918999999999998,0.9946168785000002,10.0,0.8181249999999999,1.1223588185000002,0.0,Observer,Actor,1.0,4.0,1.0,0.0,SC,session1
51,1R,6.0,0.4160750000000004,1.4652866149000001,10.0,0.631125,0.9770069717,0.0,Observer,Observer,0.0,4.0,2.0,3.0,SC,session1
52,1R,4.0,0.45347499999999996,1.1093211995,6.0,0.7480000000000001,2.3029618106000003,0.0,Actor,Actor-incongruent,1.0,4.0,2.0,0.0,SC,session1
53,1R,4.0,0.350625,1.7003823057,4.0,0.45347499999999996,1.1093211995,0.0,Observer,Actor,1.0,4.0,4.0,1.0,SC,session1
54,1R,11.0,0.771375,1.1319456299,4.0,0.350625,1.7003823057,0.0,Actor,Observer,1.0,4.0,4.0,2.0,SC,session1
55,1R,4.0,0.18700000000000017,0.9063117818,10.0,0.7900750000000001,1.4499607774999999,0.0,Observer,Actor,1.0,4.0,3.0,4.0,SC,session1
56,1R,4.0,0.15427500000000008,1.0084735226000003,4.0,0.18700000000000017,0.9063117818,0.0,Actor,Observer,1.0,4.0,4.0,5.0,SC,session1
57,1R,1.0,0.14024999999999996,1.0894727763,4.0,0.15427500000000008,1.0084735226000003,0.0,Observer,Actor,0.0,4.0,4.0,6.0,SC,session1
58,1R,8.0,0.64515,1.4654975852000003,11.0,0.7854000000000001,1.062092841,0.0,Actor,Actor-incongruent,1.0,4.0,1.0,0.0,SC,session1
59,1R,3.0,0.25244999999999984,1.3347260714999996,13.0,0.7976878537000002,0.7365728255999997,0.0,Actor,Observer,1.0,4.0,3.0,2.0,SC,session1
60,1R,3.0,0.31789999999999985,0.7639597407,3.0,0.25244999999999984,1.3347260714999996,0.0,Actor,Actor,1.0,4.0,4.0,3.0,SC,session1
