,Outcome,Performance,Effort,Difficulty,1back-Performance,1back-Effort,1back-Difficulty,Switches,Condition,1back-Condition,Corrects,Confidence,Prev_confidence,Pos_in_block,Player,Session
38,1R,6.0,0.22907499999999992,1.0435781354999998,11.0,0.5142500000000002,0.9593155440000001,0.0,Actor,Observer,1.0,4.0,4.0,6.0,CK,session1
39,1R,8.0,0.31322499999999986,0.9772321193000001,6.0,0.22907499999999992,1.0435781354999998,0.0,Actor,Actor,0.0,4.0,4.0,7.0,CK,session1
40,1R,7.0,0.18232499999999996,1.2976660561000002,11.0,0.58905,0.8223197901999999,0.0,Observer-incongruent,Observer,1.0,4.0,2.0,0.0,CK,session1
41,1R,6.0,0.3693250000000002,1.2687284186000003,9.0,0.12622499999999998,1.4537761839,0.0,Observer,Actor,1.0,4.0,4.0,2.0,CK,session1
42,1R,1.0,0.02804999999999999,1.0261867651999999,6.0,0.3693250000000002,1.2687284186000003,0.0,Actor,Observer,1.0,4.0,4.0,3.0,CK,session1
43,1R,3.0,0.09817500000000001,0.8276231544999999,9.0,0.5002250000000001,0.5952881783000001,0.0,Actor,Actor,1.0,4.0,4.0,5.0,CK,session1
44,1R,3.0,0.12155000000000016,1.3925225517000004,11.0,0.8041,1.1895802201999999,0.0,Observer,Observer-incongruent,1.0,4.0,1.0,0.0,CK,session1
45,1R,3.0,0.03739999999999999,1.4251203669,3.0,0.12155000000000016,1.3925225517000004,0.0,Actor,Observer,1.0,4.0,4.0,1.0,CK,session1
46,1R,6.0,0.48152499999999987,0.7997217738,8.0,0.31789999999999974,1.8717103749000001,0.0,Observer,Actor,0.0,4.0,4.0,3.0,CK,session1
47,1R,5.0,0.43945,0.9588868349,11.0,0.4862000000000004,1.0243072184000002,0.0,Actor,Observer-incongruent,1.0,4.0,2.0,0.0,CK,session1
48,1R,8.0,0.3926999999999999,1.6199834914000002,5.0,0.43945,0.9588868349,0.0,Actor,Actor,1.0,4.0,4.0,1.0,CK,session1
49,1R,5.0,0.33660000000000007,1.3090768502,8.0,0.3926999999999999,1.6199834914000002,0.0,Observer,Actor,1.0,4.0,4.0,2.0,CK,session1
50,1R,7.0,0.10285,1.1012124023999998,5.0,0.33660000000000007,1.3090768502,0.0,Observer,Observer,0.0,4.0,4.0,3.0,CK,session1
51,1R,2.0,0.01870000000000005,1.1600554244999999,8.0,0.518925,1.6343199835000004,0.0,Actor,Actor-incongruent,1.0,4.0,2.0,0.0,CK,session1
52,1R,2.0,0.2431000000000001,0.9552048342,7.0,0.45814999999999984,1.138903238,0.0,Actor,Actor,1.0,4.0,4.0,2.0,CK,session1
53,1R,6.0,0.45814999999999995,1.1956512131,11.0,0.4955499999999996,0.6098315098999998,0.0,Actor,Observer,1.0,4.0,4.0,4.0,CK,session1
54,1R,2.0,0.3553000000000003,0.9260820139,6.0,0.45814999999999995,1.1956512131,0.0,Observer,Actor,0.0,4.0,4.0,5.0,CK,session1
55,1R,11.0,0.5218628537000001,0.6355091351,13.0,0.6732000000000004,1.0187551227,0.0,Observer,Observer,1.0,4.0,2.0,0.0,CK,session1
56,1R,5.0,0.36465,1.8071850756,11.0,0.5218628537000001,0.6355091351,0.0,Actor,Observer,1.0,4.0,4.0,1.0,CK,session1
57,1R,14.0,0.43477500000000013,0.5777504896,7.0,0.6591750000000001,1.2118732691999998,0.0,Observer,Actor,1.0,4.0,4.0,3.0,CK,session1
58,1R,6.0,0.49381285369999994,0.6226033991,7.0,0.5095750000000001,2.2050771498,1.0,Actor,Observer,1.0,4.0,4.0,5.0,CK,session1
59,1R,3.0,0.313225,1.3941626611,10.0,0.75735,0.7751198638000001,0.0,Observer,Observer-incongruent,1.0,4.0,3.0,0.0,CK,session1
60,1R,3.0,0.08882499999999993,1.2638660104000001,9.0,0.705925,0.9917307381000001,0.0,Observer,Actor,1.0,4.0,4.0,2.0,CK,session1
61,1R,5.0,0.22907500000000003,2.0846783388,8.0,0.6171000000000002,1.4765394978,0.0,Actor,Actor-incongruent,0.0,4.0,2.0,15.0,CK,session1
62,1R,1.0,0.14492500000000014,1.5230406638000005,11.0,0.612425,0.7264145766000001,0.0,Observer-incongruent,Observer,1.0,4.0,2.0,0.0,CK,session1
63,1R,4.0,0.2244000000000001,0.3240417394999999,7.0,0.6451499999999999,0.8440604677,0.0,Actor,Actor,1.0,4.0,4.0,2.0,CK,session1
64,1R,12.0,0.612425,0.7815784925999998,4.0,0.2244000000000001,0.3240417394999999,0.0,Observer,Actor,1.0,4.0,4.0,3.0,CK,session1
65,1R,3.0,0.21505000000000002,1.1928954245999999,12.0,0.612425,0.7815784925999998,0.0,Actor,Observer,1.0,4.0,4.0,4.0,CK,session1
66,1R,10.0,0.5937249999999998,1.1077254482,3.0,0.21505000000000002,1.1928954245999999,0.0,Actor,Actor,1.0,4.0,4.0,5.0,CK,session1
67,1R,5.0,0.2851750000000001,1.1249735179999998,10.0,0.5937249999999998,1.1077254482,0.0,Actor,Actor,1.0,4.0,4.0,6.0,CK,session1
68,1R,2.0,0.046749999999999986,0.6508923425000002,9.0,0.603075,1.1364135354000002,0.0,Observer,Actor,0.0,4.0,4.0,8.0,CK,session1
69,1R,1.0,0.06545000000000012,1.0572070833999998,8.0,0.5236000000000001,1.3343748448,0.0,Actor-incongruent,Actor,1.0,4.0,2.0,0.0,CK,session1
70,1R,11.0,0.748,0.8459866956999998,1.0,0.06545000000000012,1.0572070833999998,0.0,Observer,Actor-incongruent,1.0,4.0,4.0,1.0,CK,session1
71,1R,2.0,0.18700000000000006,1.0049514681000002,11.0,0.748,0.8459866956999998,0.0,Actor,Observer,1.0,4.0,4.0,2.0,CK,session1
72,1R,4.0,0.1308999999999998,0.7806046100000001,2.0,0.18700000000000006,1.0049514681000002,0.0,Actor,Actor,1.0,4.0,4.0,3.0,CK,session1
73,1R,1.0,0.11687499999999995,0.8463110895,7.0,0.5049,1.4774965712,0.0,Actor,Actor,1.0,4.0,4.0,5.0,CK,session1
74,1R,5.0,0.3208380275000001,1.7373851109,6.0,0.5750249999999998,1.9792054773999999,0.0,Actor,Actor,1.0,4.0,4.0,8.0,CK,session1
75,1R,4.0,0.35530000000000006,0.8940400577000001,5.0,0.3208380275000001,1.7373851109,0.0,Actor,Actor,1.0,4.0,4.0,9.0,CK,session1
76,1R,4.0,0.12622500000000014,1.050672648,4.0,0.35530000000000006,0.8940400577000001,0.0,Actor,Actor,1.0,4.0,4.0,10.0,CK,session1
77,1R,6.0,0.6591750000000001,1.8542070244999997,4.0,0.12622500000000014,1.050672648,0.0,Observer,Actor,0.0,4.0,4.0,11.0,CK,session1
78,1R,7.0,0.35997500000000004,2.0523682463,10.0,0.6264500000000002,1.4130929869,0.0,Actor-incongruent,Observer,1.0,4.0,3.0,0.0,CK,session1
79,1R,7.0,0.5843749999999999,1.5903851816999999,7.0,0.35997500000000004,2.0523682463,0.0,Observer,Actor-incongruent,1.0,4.0,4.0,1.0,CK,session1
80,1R,5.0,0.27114999999999995,0.8885097976,6.0,0.5797000000000001,2.3507207043,0.0,Observer,Actor,1.0,4.0,4.0,3.0,CK,session1
81,1R,3.0,0.322575,1.3658562712,5.0,0.27114999999999995,0.8885097976,0.0,Actor,Observer,1.0,4.0,4.0,4.0,CK,session1
82,1R,8.0,0.21505000000000002,2.072613972,3.0,0.322575,1.3658562712,0.0,Observer,Actor,1.0,4.0,4.0,5.0,CK,session1
83,1R,3.0,0.12155000000000005,1.3957267629000003,8.0,0.21505000000000002,2.072613972,0.0,Observer,Observer,0.0,4.0,4.0,6.0,CK,session1
84,1R,2.0,0.15895000000000015,1.1725203202999999,13.0,0.3412749999999999,0.4612742657,0.0,Actor,Observer,1.0,4.0,2.0,0.0,CK,session1
85,1R,6.0,0.2805000000000001,0.7778517603000001,8.0,0.561,1.045054345,0.0,Actor,Observer,1.0,4.0,4.0,2.0,CK,session1
86,1R,4.0,0.5236,1.3858616831000001,10.0,0.6731999999999998,0.6712765001000002,0.0,Actor,Actor,1.0,4.0,4.0,4.0,CK,session1
87,1R,7.0,0.38334999999999997,0.6268735585999999,8.0,0.49087500000000006,1.7830154447999997,0.0,Observer,Observer,0.0,4.0,4.0,6.0,CK,session1
88,1R,2.0,0.08882500000000002,1.1961005066000001,9.0,0.6171000000000001,1.1798819244999998,0.0,Actor-incongruent,Actor,1.0,4.0,2.0,0.0,CK,session1
89,1R,4.0,0.16362499999999996,0.604741918,2.0,0.08882500000000002,1.1961005066000001,0.0,Actor,Actor-incongruent,1.0,4.0,4.0,1.0,CK,session1
90,1R,10.0,0.5796999999999999,0.962925254,4.0,0.16362499999999996,0.604741918,0.0,Observer,Actor,1.0,4.0,4.0,2.0,CK,session1
91,1R,1.0,0.0,1.4950845464,10.0,0.528275,0.9004206005000003,0.0,Actor,Actor,1.0,4.0,4.0,4.0,CK,session1
92,1R,3.0,0.01402500000000001,1.2327248827999997,8.0,0.6638499999999998,2.4262906229,0.0,Observer,Observer,0.0,4.0,4.0,6.0,CK,session1
93,1R,9.0,0.6171000000000003,1.0812348444,9.0,0.5469750000000007,1.3050531924,0.0,Actor,Observer,1.0,4.0,2.0,0.0,CK,session1
94,1R,7.0,0.35530000000000017,0.6189686559000003,8.0,0.2384249999999999,1.608945671599999,0.0,Actor,Observer,1.0,4.0,4.0,2.0,CK,session1
95,1R,3.0,0.46282500000000004,0.7824651502000001,7.0,0.35530000000000017,0.6189686559000003,0.0,Observer,Actor,1.0,4.0,4.0,3.0,CK,session1
96,1R,4.0,0.5282749999999999,1.1529973477,3.0,0.46282500000000004,0.7824651502000001,0.0,Actor,Observer,1.0,4.0,4.0,4.0,CK,session1
97,1R,3.0,0.09350000000000003,0.831375835,12.0,0.561,0.6560680329000002,0.0,Actor,Actor,1.0,4.0,2.0,0.0,CK,session1
98,1R,3.0,0.032725000000000004,1.1863499488,3.0,0.09350000000000003,0.831375835,0.0,Observer,Actor,1.0,4.0,4.0,1.0,CK,session1
99,1R,2.0,0.07012499999999999,1.2014616651,10.0,0.7105999999999999,1.1537186226,0.0,Actor,Actor,1.0,4.0,4.0,3.0,CK,session1
100,1R,2.0,0.06544999999999998,0.5100437602999999,2.0,0.07012499999999999,1.2014616651,0.0,Actor,Actor,1.0,4.0,4.0,4.0,CK,session1
101,1R,4.0,0.266475,1.0162885838999998,2.0,0.06544999999999998,0.5100437602999999,0.0,Actor,Actor,1.0,4.0,4.0,5.0,CK,session1
102,1R,11.0,0.6498250000000001,0.8799411012,4.0,0.266475,1.0162885838999998,0.0,Actor,Actor,1.0,4.0,4.0,6.0,CK,session1
103,1R,4.0,0.22907499999999992,1.1422359213,11.0,0.6498250000000001,0.8799411012,0.0,Observer,Actor,1.0,4.0,4.0,7.0,CK,session1
104,1R,7.0,0.462825,1.2555194826,4.0,0.22907499999999992,1.1422359213,0.0,Actor,Observer,1.0,4.0,4.0,8.0,CK,session1
105,1R,11.0,0.210375,0.6287756642,7.0,0.462825,1.2555194826,0.0,Observer,Actor,0.0,4.0,4.0,9.0,CK,session1
106,1R,4.0,0.135575,1.3406318902,10.0,0.37399999999999994,1.4139832329,0.0,Actor-incongruent,Observer,1.0,4.0,2.0,0.0,CK,session1
107,1R,6.0,0.16362500000000013,0.7057290671999998,4.0,0.135575,1.3406318902,0.0,Observer,Actor-incongruent,1.0,4.0,4.0,1.0,CK,session1
108,1R,1.0,0.14024999999999999,0.7580272078999999,8.0,0.7106000000000003,1.0751750952999997,0.0,Observer,Observer,1.0,4.0,4.0,3.0,CK,session1
109,1R,1.0,0.05142499999999994,1.3195028825000001,1.0,0.14024999999999999,0.7580272078999999,0.0,Observer,Observer,1.0,4.0,4.0,4.0,CK,session1
110,1R,1.0,0.0,1.8643539412999997,8.0,0.5843750000000002,0.9042013931999998,0.0,Actor,Actor,0.0,4.0,4.0,6.0,CK,session1
111,1R,6.0,0.17765000000000003,1.1784044937,9.0,0.5797000000000001,1.7260692565000002,0.0,Observer-incongruent,Observer-incongruent,1.0,4.0,2.0,0.0,CK,session1
112,1R,1.0,0.10752500000000004,0.7629153672,13.0,0.8070378519999999,0.7704909040000001,0.0,Observer,Observer,0.0,4.0,4.0,2.0,CK,session1
113,1R,1.0,0.032725000000000004,1.9409069088000002,11.0,0.8414999999999999,1.1071462832,0.0,Observer,Observer-incongruent,1.0,4.0,2.0,0.0,CK,session1
114,1R,1.0,0.10285000000000011,1.6191274517000005,1.0,0.032725000000000004,1.9409069088000002,0.0,Actor,Observer,1.0,4.0,4.0,1.0,CK,session1
115,1R,1.0,0.0,1.4440243932,1.0,0.10285000000000011,1.6191274517000005,0.0,Actor,Actor,1.0,4.0,4.0,2.0,CK,session1
116,1R,7.0,0.43010000000000015,0.7577648756000002,1.0,0.0,1.4440243932,0.0,Observer,Actor,1.0,4.0,4.0,3.0,CK,session1
117,1R,1.0,0.04674999999999996,0.8798793156,7.0,0.43010000000000015,0.7577648756000002,0.0,Actor,Observer,0.0,4.0,4.0,4.0,CK,session1
118,1R,1.0,0.046750000000000014,1.4001664468000001,9.0,0.341275,0.8493584877,0.0,Observer-incongruent,Actor-incongruent,1.0,4.0,3.0,0.0,CK,session1
119,1R,4.0,0.12622500000000003,1.0377832359,1.0,0.046750000000000014,1.4001664468000001,0.0,Observer,Observer-incongruent,1.0,4.0,4.0,1.0,CK,session1
120,1R,6.0,0.03739999999999999,1.2377151775,10.0,0.7105999999999998,1.1275338883000001,0.0,Actor,Observer,1.0,4.0,4.0,3.0,CK,session1
121,1R,4.0,0.313225,0.7695471359000001,6.0,0.03739999999999999,1.2377151775,0.0,Observer,Actor,1.0,4.0,4.0,4.0,CK,session1
122,1R,1.0,0.032725000000000004,1.6289751295000001,4.0,0.313225,0.7695471359000001,0.0,Actor,Observer,1.0,4.0,4.0,5.0,CK,session1
123,1R,3.0,0.20102500000000012,0.7064407974999999,13.0,0.30387499999999995,1.3247034760999998,0.0,Observer,Observer-incongruent,1.0,4.0,3.0,0.0,CK,session1
124,1R,5.0,0.3739999999999999,0.7539800286999998,3.0,0.20102500000000012,0.7064407974999999,0.0,Observer,Observer,1.0,4.0,4.0,1.0,CK,session1
125,1R,4.0,0.09350000000000003,0.5012411259,5.0,0.3739999999999999,0.7539800286999998,0.0,Actor,Observer,1.0,4.0,4.0,2.0,CK,session1
126,1R,4.0,0.21972499999999995,1.5373866023999998,4.0,0.09350000000000003,0.5012411259,0.0,Actor,Actor,1.0,4.0,4.0,3.0,CK,session1
127,1R,3.0,0.13090000000000002,0.5672271965,9.0,0.5563250000000001,1.1105719853,0.0,Observer,Actor,0.0,4.0,4.0,5.0,CK,session1
128,1R,6.0,0.2384250000000001,1.1213045737999998,9.0,0.5797000000000001,0.7848475693000001,0.0,Actor-incongruent,Actor-incongruent,1.0,4.0,2.0,0.0,CK,session1
129,1R,10.0,0.509575,1.1624862864999996,6.0,0.2384250000000001,1.1213045737999998,0.0,Observer,Actor-incongruent,1.0,4.0,4.0,1.0,CK,session1
130,1R,7.0,0.12155000000000005,1.3689818842999997,10.0,0.509575,1.1624862864999996,0.0,Observer,Observer,1.0,4.0,4.0,2.0,CK,session1
131,1R,3.0,0.03739999999999999,1.6708207598000004,7.0,0.12155000000000005,1.3689818842999997,0.0,Observer,Observer,1.0,4.0,4.0,3.0,CK,session1
132,1R,3.0,0.4114,1.0530409561000003,8.0,0.26180000000000003,1.8623683933000004,0.0,Observer,Actor,1.0,4.0,4.0,5.0,CK,session1
133,1R,4.0,0.2664750000000001,1.2131181613000002,9.0,0.453475,1.5312180632,0.0,Observer,Observer,0.0,4.0,4.0,7.0,CK,session1
134,1R,7.0,0.35530000000000006,1.2100782562000003,7.0,0.40672499999999995,1.7160159891000002,0.0,Actor-incongruent,Observer,1.0,4.0,2.0,0.0,CK,session1
135,1R,6.0,0.2010249999999999,1.1817473205999998,7.0,0.35530000000000006,1.2100782562000003,0.0,Actor,Actor-incongruent,1.0,4.0,4.0,1.0,CK,session1
136,1R,4.0,0.38334999999999997,1.7199410505000003,6.0,0.2010249999999999,1.1817473205999998,0.0,Actor,Actor,1.0,4.0,4.0,2.0,CK,session1
137,1R,6.0,0.43945000000000023,1.0885446644,4.0,0.38334999999999997,1.7199410505000003,0.0,Observer,Actor,1.0,4.0,4.0,3.0,CK,session1
138,1R,3.0,0.10752499999999998,0.9400547909000002,6.0,0.43945000000000023,1.0885446644,0.0,Actor,Observer,1.0,4.0,4.0,4.0,CK,session1
139,1R,11.0,0.4488,0.45375354830000036,3.0,0.10752499999999998,0.9400547909000002,0.0,Actor,Actor,1.0,4.0,4.0,5.0,CK,session1
140,1R,1.0,0.0,1.1419468767,11.0,0.7293000000000002,0.8426578472999998,0.0,Actor,Observer,1.0,4.0,4.0,7.0,CK,session1
141,1R,5.0,0.051425000000000054,0.8171374304,1.0,0.0,1.1419468767,0.0,Observer,Actor,0.0,4.0,4.0,8.0,CK,session1
142,1R,1.0,0.0,1.0159501158000004,7.0,0.43010000000000004,1.6300115065,0.0,Actor,Actor-incongruent,1.0,4.0,2.0,0.0,CK,session1
143,1R,3.0,0.172975,1.0485965812,2.0,0.7526750000000002,1.2338811189,0.0,Actor,Actor,1.0,4.0,4.0,2.0,CK,session1
144,1R,6.0,0.3179000000000001,1.1551977707,13.0,0.6451499999999999,0.9719844139,0.0,Observer,Actor,1.0,4.0,4.0,4.0,CK,session1
145,1R,2.0,0.051425,1.3870584445999998,9.0,0.7199499999999999,0.9990874610000002,0.0,Actor,Actor,0.0,4.0,4.0,6.0,CK,session1
146,1R,2.0,0.201025,0.5918412390000002,9.0,0.5937250000000001,1.2410164326000004,0.0,Observer,Actor-incongruent,1.0,4.0,2.0,0.0,CK,session1
147,1R,2.0,0.12154999999999994,0.6900920116,6.0,0.6124249999999998,1.2217143089,0.0,Observer,Observer,1.0,4.0,4.0,2.0,CK,session1
148,1R,1.0,0.05142499999999994,0.6408640452,2.0,0.12154999999999994,0.6900920116,0.0,Actor,Observer,1.0,4.0,4.0,3.0,CK,session1
149,1R,5.0,0.4020499999999998,0.5643662282000002,1.0,0.05142499999999994,0.6408640452,0.0,Actor,Actor,1.0,4.0,4.0,4.0,CK,session1
150,1R,1.0,0.1308999999999999,1.4415220005,5.0,0.4020499999999998,0.5643662282000002,0.0,Observer,Actor,1.0,4.0,4.0,5.0,CK,session1
151,1R,6.0,0.15427500000000016,0.876077421,10.0,0.43010000000000004,1.6987512252000005,0.0,Actor,Observer,1.0,4.0,4.0,7.0,CK,session1
152,1R,2.0,0.11687499999999995,0.9530944238000005,6.0,0.15427500000000016,0.876077421,0.0,Observer,Actor,1.0,4.0,4.0,8.0,CK,session1
153,1R,10.0,0.8227999999999999,1.2839140556000004,11.0,0.48619999999999997,0.9751622828000001,0.0,Observer,Observer,1.0,4.0,4.0,10.0,CK,session1
154,1R,7.0,0.2991999999999998,0.5516931687000002,10.0,0.8227999999999999,1.2839140556000004,0.0,Actor,Observer,1.0,4.0,4.0,11.0,CK,session1
155,1R,2.0,0.39270000000000005,0.8680735605,7.0,0.2991999999999998,0.5516931687000002,0.0,Observer,Actor,0.0,4.0,4.0,12.0,CK,session1
156,1R,6.0,0.5142499999999999,1.1226599356,7.0,0.5843749999999999,1.7481708785,0.0,Observer,Actor,1.0,4.0,3.0,0.0,CK,session1
157,1R,10.0,0.303875,0.8306155924000003,9.0,0.5563250000000002,1.3345423721,0.0,Actor,Actor,1.0,4.0,4.0,3.0,CK,session1
158,1R,4.0,0.1496,0.7336817139999998,11.0,0.6995128520000001,0.6654216006,0.0,Observer,Actor,1.0,4.0,4.0,6.0,CK,session1
159,1R,6.0,0.12154999999999999,1.0066272934,4.0,0.1496,0.7336817139999998,0.0,Observer,Observer,0.0,4.0,4.0,7.0,CK,session1
160,1R,5.0,0.35062499999999985,1.0451787332000002,14.0,0.6077500000000001,0.5674168654999999,0.0,Observer-incongruent,Observer,1.0,4.0,3.0,0.0,CK,session1
161,1R,2.0,0.02337499999999998,0.5740925899,9.0,0.42542500000000016,1.6784289597000002,0.0,Observer-incongruent,Observer,1.0,4.0,2.0,0.0,CK,session1
162,1R,5.0,0.34595,1.2563711900999999,15.0,0.4347749999999999,0.48746765450000007,0.0,Observer-incongruent,Observer,1.0,4.0,2.0,2.0,CK,session1
163,1R,1.0,0.0748,1.2614077061,5.0,0.34595,1.2563711900999999,0.0,Observer,Observer-incongruent,1.0,4.0,4.0,3.0,CK,session1
164,1R,2.0,0.0,1.1123526443,11.0,0.6171000000000002,0.43548839920000004,0.0,Actor,Actor,1.0,4.0,4.0,6.0,CK,session1
165,1R,2.0,0.06545000000000001,0.7879998685,2.0,0.0,1.1123526443,0.0,Actor,Actor,1.0,4.0,4.0,7.0,CK,session1
166,1R,3.0,0.07947499999999996,1.3445773576,2.0,0.06545000000000001,0.7879998685,0.0,Actor,Actor,0.0,4.0,4.0,8.0,CK,session1
167,1R,4.0,0.2664749999999999,1.3285384629,12.0,0.799425,0.9291635766000002,0.0,Observer,Observer,1.0,4.0,2.0,0.0,CK,session1
168,1R,5.0,0.2664749999999998,1.8605396417999995,8.0,0.7246250000000005,1.2119454355000003,0.0,Actor,Observer,1.0,4.0,4.0,2.0,CK,session1
169,1R,1.0,0.051425000000000054,0.4761074916000001,11.0,0.5516500000000001,1.3146094139,0.0,Observer,Observer,1.0,4.0,4.0,4.0,CK,session1
170,1R,3.0,0.22732048059999987,0.8407955708999998,10.0,0.6854704805999998,1.5840605286999998,0.0,Observer,Observer,0.0,4.0,4.0,6.0,CK,session1
