,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,Med,10.0,10.0,0.0,0.0,self,1.0,0.0,0.0,2021_06_20,TB
1,1R,Low,6.0,6.0,0.0,0.0,self,1.0,3.0,3.0,2021_06_20,TB
2,1R,Low,8.0,8.0,0.0,0.0,self,1.0,4.0,4.0,2021_06_20,TB
3,1R,Low,7.0,7.0,0.0,0.0,self,1.0,5.0,5.0,2021_06_20,TB
4,1R,Low,3.0,3.0,0.0,0.0,self,1.0,8.0,8.0,2021_06_20,TB
5,1R,Low,6.0,6.0,0.0,0.0,self,1.0,9.0,9.0,2021_06_20,TB
6,1R,Low,6.0,6.0,0.0,0.0,self,1.0,10.0,10.0,2021_06_20,TB
7,1R,Low,4.0,4.0,0.0,1.0,self,0.0,11.0,11.0,2021_06_20,TB
8,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,13.0,2021_06_20,TB
9,1R,Low,4.0,4.0,0.0,0.0,self,1.0,3.0,16.0,2021_06_20,TB
10,1R,Low,3.0,3.0,0.0,0.0,self,1.0,4.0,17.0,2021_06_20,TB
11,1R,Low,3.0,3.0,0.0,0.0,self,1.0,5.0,18.0,2021_06_20,TB
12,1R,Low,2.0,2.0,0.0,0.0,self,1.0,6.0,19.0,2021_06_20,TB
13,1R,Low,8.0,8.0,0.0,0.0,self,1.0,9.0,22.0,2021_06_20,TB
14,1R,Low,1.0,1.0,1.0,0.0,self,0.0,10.0,23.0,2021_06_20,TB
15,1R,Low,6.0,6.0,0.0,0.0,self,1.0,0.0,28.0,2021_06_20,TB
16,1R,Low,1.0,1.0,0.0,0.0,self,1.0,1.0,29.0,2021_06_20,TB
17,1R,Low,5.0,5.0,0.0,0.0,self,1.0,2.0,30.0,2021_06_20,TB
18,1R,Low,4.0,4.0,0.0,0.0,self,1.0,4.0,32.0,2021_06_20,TB
19,1R,Low,3.0,3.0,0.0,0.0,self,1.0,6.0,34.0,2021_06_20,TB
20,1R,Low,2.0,2.0,0.0,0.0,self,1.0,7.0,35.0,2021_06_20,TB
21,1R,Low,5.0,5.0,0.0,0.0,self,1.0,8.0,36.0,2021_06_20,TB
22,1R,Low,8.0,8.0,0.0,1.0,self,0.0,10.0,38.0,2021_06_20,TB
23,1R,Low,6.0,6.0,0.0,0.0,self,1.0,0.0,42.0,2021_06_20,TB
24,1R,Low,3.0,3.0,0.0,0.0,self,1.0,2.0,44.0,2021_06_20,TB
25,1R,Low,2.0,2.0,0.0,0.0,self,1.0,3.0,45.0,2021_06_20,TB
26,1R,Low,1.0,1.0,0.0,0.0,self,1.0,4.0,46.0,2021_06_20,TB
27,1R,Low,2.0,2.0,0.0,0.0,self,1.0,7.0,49.0,2021_06_20,TB
28,1R,Low,7.0,7.0,0.0,1.0,self,0.0,8.0,50.0,2021_06_20,TB
29,1R,Med,10.0,10.0,0.0,0.0,self,1.0,0.0,54.0,2021_06_20,TB
30,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,56.0,2021_06_20,TB
31,1R,Low,7.0,7.0,0.0,0.0,self,1.0,3.0,57.0,2021_06_20,TB
32,1R,Low,1.0,1.0,0.0,0.0,self,1.0,4.0,58.0,2021_06_20,TB
33,1R,Low,2.0,2.0,0.0,0.0,self,1.0,7.0,61.0,2021_06_20,TB
34,1R,Low,1.0,1.0,0.0,1.0,self,0.0,8.0,62.0,2021_06_20,TB
35,1R,Low,5.0,5.0,0.0,0.0,self,1.0,0.0,65.0,2021_06_20,TB
36,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,66.0,2021_06_20,TB
37,1R,Low,7.0,7.0,0.0,0.0,self,1.0,2.0,67.0,2021_06_20,TB
38,1R,Low,1.0,1.0,0.0,0.0,self,1.0,4.0,69.0,2021_06_20,TB
39,1R,Low,3.0,3.0,0.0,0.0,self,1.0,5.0,70.0,2021_06_20,TB
40,1R,Low,1.0,1.0,0.0,0.0,self,1.0,6.0,71.0,2021_06_20,TB
41,1R,Low,3.0,3.0,0.0,0.0,self,1.0,7.0,72.0,2021_06_20,TB
42,1R,Low,2.0,2.0,0.0,0.0,self,1.0,8.0,73.0,2021_06_20,TB
43,1R,Low,4.0,4.0,0.0,0.0,self,1.0,9.0,74.0,2021_06_20,TB
44,1R,Low,1.0,1.0,0.0,1.0,self,0.0,10.0,75.0,2021_06_20,TB
45,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,77.0,2021_06_20,TB
46,1R,Low,2.0,2.0,0.0,0.0,self,1.0,1.0,78.0,2021_06_20,TB
47,1R,Low,1.0,1.0,0.0,0.0,self,1.0,2.0,79.0,2021_06_20,TB
48,1R,Low,2.0,2.0,0.0,0.0,self,1.0,5.0,82.0,2021_06_20,TB
49,1R,Low,8.0,8.0,0.0,0.0,self,1.0,6.0,83.0,2021_06_20,TB
50,1R,Low,1.0,1.0,0.0,0.0,self,1.0,7.0,84.0,2021_06_20,TB
51,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,94.0,2021_06_20,TB
52,1R,Low,4.0,4.0,0.0,0.0,self,1.0,1.0,95.0,2021_06_20,TB
53,1R,Low,5.0,5.0,0.0,0.0,self,1.0,2.0,96.0,2021_06_20,TB
54,1R,Low,1.0,1.0,0.0,1.0,self,0.0,3.0,97.0,2021_06_20,TB
55,1R,Med,11.0,11.0,0.0,0.0,self,1.0,0.0,103.0,2021_06_20,TB
56,1R,Low,7.0,7.0,0.0,0.0,self,1.0,1.0,104.0,2021_06_20,TB
57,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,105.0,2021_06_20,TB
58,1R,Low,4.0,4.0,0.0,1.0,self,0.0,5.0,108.0,2021_06_20,TB
59,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,113.0,2021_06_20,TB
60,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,114.0,2021_06_20,TB
61,1R,Low,5.0,5.0,0.0,0.0,self,1.0,2.0,115.0,2021_06_20,TB
62,1R,Low,7.0,7.0,0.0,0.0,self,1.0,4.0,117.0,2021_06_20,TB
63,1R,Low,2.0,2.0,0.0,0.0,self,1.0,5.0,118.0,2021_06_20,TB
64,1R,Low,3.0,3.0,0.0,0.0,self,1.0,6.0,119.0,2021_06_20,TB
65,1R,Low,2.0,2.0,0.0,1.0,self,0.0,9.0,122.0,2021_06_20,TB
66,1R,Med,10.0,10.0,0.0,0.0,self,1.0,0.0,127.0,2021_06_20,TB
67,1R,Low,5.0,5.0,0.0,0.0,self,1.0,2.0,129.0,2021_06_20,TB
68,1R,Med,10.0,10.0,0.0,0.0,self,1.0,3.0,130.0,2021_06_20,TB
69,1R,Low,5.0,5.0,0.0,0.0,self,1.0,5.0,132.0,2021_06_20,TB
70,1R,Low,4.0,4.0,0.0,0.0,self,1.0,6.0,133.0,2021_06_20,TB
71,1R,Low,4.0,4.0,0.0,1.0,self,0.0,8.0,135.0,2021_06_20,TB
72,1R,Low,6.0,6.0,0.0,0.0,self,1.0,0.0,137.0,2021_06_20,TB
73,1R,Low,5.0,5.0,0.0,0.0,self,1.0,1.0,138.0,2021_06_20,TB
74,1R,Low,3.0,3.0,0.0,0.0,self,1.0,2.0,139.0,2021_06_20,TB
75,1R,Low,8.0,8.0,0.0,0.0,self,1.0,3.0,140.0,2021_06_20,TB
76,1R,Med,9.0,9.0,0.0,0.0,self,1.0,4.0,141.0,2021_06_20,TB
77,1R,Med,11.0,11.0,0.0,0.0,self,1.0,5.0,142.0,2021_06_20,TB
78,1R,Low,5.0,5.0,0.0,0.0,self,1.0,6.0,143.0,2021_06_20,TB
79,1R,Low,4.0,4.0,0.0,0.0,self,1.0,7.0,144.0,2021_06_20,TB
80,1R,Low,3.0,3.0,0.0,0.0,self,1.0,8.0,145.0,2021_06_20,TB
