Unnamed: 0,trial_idx,trial_start_time,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,difficulty,trial_aborted,trial_duration,date_time,trial_num,switched_self,n_pre_switch_self,switched_actor,n_pre_switch_actor,history,alt_history,pos_in_block,pos_in_block_obj,attention_narrow,attention_wide,attention_full,attention_control_narrow,attention_control_wide,attention_control_full,attention_narrow_L,attention_wide_L,attention_full_L,attention_control_narrow_L,attention_control_wide_L,attention_control_full_L
0,0,1678388515.86785,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1678388519.951918,245,4.533418893814087,0,1,-1,-1,0.15,1.0,"[1.9826719760894775, 3.2828209400177]",1.0,4.533418893814087,1,1,1.3901400296408075,0,5.532274961471558,2023_03_09_14_01_54,1,"[1, 0]","[1, 6]","[1, 0]","[1, 6]",1R,1R,0.0,1,0.9991254870400764,0.9991254870400764,0.9991254870400764,0.0,0.0,0.0,,,,,,
1,1,1678388524.03334,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1678388526.519161,149,6.267043113708496,0,1,-1,1,0.15,0.4545454545454545,"[1.6838459968566895, 0.983691930770874]",1.0,6.267043113708496,11,5,1.5572201831531132,0,7.266304969787598,2023_03_09_14_02_02,2,"[1, 0]","[1, 5]","[0, 0]","[13, 5]",1R,1R,1.0,2,0.2057491822265498,0.2753019263468359,0.2861447495747132,0.0735196306670705,0.0885937995448511,0.5614466759215492,0.1401633246552056,0.6669658580762806,0.7547662803131264,0.0,0.0491893931808835,0.0491893931808835
2,2,1678388534.015765,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1678388535.884458,112,2.3176839351654053,1,0,-1,-1,0.15,1.0,"[1.066838026046753, 1.0338361263275146]",1.0,2.3176839351654053,1,1,2.1022276172836496,0,3.3175740242004395,2023_03_09_14_02_12,3,"[0, 0]","[12, 4]","[0, 0]","[12, 4]",1R,1R,2.0,3,0.9175619577057954,0.9465141554003956,0.9465141554003956,0.0423147504767235,0.0668127639106161,0.0668127639106161,0.3763785701029915,0.984374721807824,0.9999643667233324,0.0,0.0,0.0
3,3,1678388539.865662,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1678388541.6674309,108,2.916865110397339,1,0,-1,-1,0.15,1.0,"[1.000093936920166, 1.000093936920166]",1.0,2.916865110397339,3,3,1.1912521652006929,0,3.916534185409546,2023_03_09_14_02_18,4,"[0, 0]","[11, 3]","[0, 0]","[11, 3]",1R,1R,3.0,4,0.9335535838289476,0.9335535838289476,0.9999157021799008,0.0,0.0,0.0,0.164111725108999,0.9129275200052512,0.9999157021668518,0.0,0.0,0.0
4,4,1678388546.331869,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1678388548.4000242,124,4.4997100830078125,0,1,-1,-1,0.15,0.7142857142857143,"[1.2670693397521973, 1.1674549579620361]",1.0,4.4997100830078125,7,5,2.187419831284952,0,5.499361991882324,2023_03_09_14_02_25,5,"[0, 0]","[10, 2]","[0, 0]","[10, 2]",1R,1R,4.0,5,0.7151640271261673,0.7406615370064562,0.7492977903530057,0.0205625079679749,0.0296100114738838,0.2348238409942734,0.0801937810760619,0.6263339927120123,0.694601519166506,0.0,0.0,0.0
5,5,1678388554.481589,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1678388556.3161669,110,4.600191831588745,1,0,-1,-1,0.15,1.0,"[1.0329408645629883, 0.9993898868560791]",1.0,4.600191831588745,8,8,0.8211970753114464,0,5.599742889404297,2023_03_09_14_02_33,6,"[0, 1]","[9, 1]","[0, 1]","[9, 1]",1R,1R,5.0,6,0.9216583196748948,0.9292514247016396,0.999758828521414,0.0,0.0,0.0,0.0524222704266088,0.8423716558206796,1.0,0.0,0.0,0.0
6,6,1678388562.730966,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1678388564.9994938,136,4.367754936218262,1,0,-1,1,0.15,0.6666666666666666,"[1.0666189193725586, 1.4671931266784668]",1.0,4.367754936218262,6,4,1.3861880511066045,0,5.384048938751221,2023_03_09_14_02_41,7,"[0, 1]","[8, 1]","[0, 0]","[8, 2]",1R,1R,6.0,7,0.8174531000611327,0.8503227177209335,0.94750245688904,0.0,0.0619282651561464,0.0619282651561464,0.2529531446028435,0.679305431645301,0.7607649188902845,0.099085224251208,0.2472366893575815,0.2472366893575815
7,7,1678388570.747562,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1678388573.331594,155,5.349849224090576,1,0,-1,-1,0.15,0.625,"[1.0993731021881104, 1.7827961444854736]",1.0,5.349849224090576,8,5,1.7450747695326236,0,6.349725961685181,2023_03_09_14_02_49,8,"[0, 1]","[7, 1]","[0, 1]","[7, 1]",1R,1R,7.0,8,0.8405639913232104,0.8781634128705712,1.0,0.0,0.0,0.0,0.0784546813950531,0.2317486210793966,0.298995490846585,0.0470005003749166,0.3145418102013652,0.6381221781671373
8,8,1678388579.779552,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1678388581.9150898,128,4.568640947341919,1,0,-1,1,0.15,0.8571428571428571,"[1.1001081466674805, 1.333940029144287]",1.0,4.568640947341919,7,6,1.6064873671290183,0,5.568281173706055,2023_03_09_14_02_58,9,"[0, 1]","[6, 1]","[0, 0]","[6, 6]",1R,1R,8.0,9,0.9112571898110108,0.9178307313064914,0.937962202136401,0.0599835661462613,0.0657354149548069,0.0657354149548069,0.107678858899004,0.6563478536706466,0.7927958733441937,0.0,0.2453598426057457,0.2515246627717193
9,9,1678388587.9958022,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1678388589.880165,113,4.98361086845398,1,0,-1,-1,0.15,0.8888888888888888,"[0.983001708984375, 1.0833258628845215]",1.0,4.98361086845398,9,8,1.0761727445133134,0,5.983305931091309,2023_03_09_14_03_06,10,"[0, 0]","[5, 5]","[0, 0]","[5, 5]",1R,1R,9.0,10,0.9640827549533292,0.96472805800216,0.9998970741634428,0.0,0.0,0.0,0.1496774193548387,0.6116129032258064,1.0,0.0,0.0,0.0083870967741935
