,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.5375,L,0.5365853658536586,0.5384615384615384,20230214
1,-10,0.7,L,0.75,0.6590909090909091,20230214
2,-9,0.95,L,0.9767441860465116,0.918918918918919,20230214
3,-8,0.9875,L,0.9761904761904762,1.0,20230214
4,-7,0.9875,L,1.0,0.9722222222222222,20230214
5,-6,0.975,L,0.98,0.9666666666666667,20230214
6,-5,0.925,L,0.8947368421052632,0.9523809523809523,20230214
7,-4,0.9875,L,1.0,0.96875,20230214
8,-3,0.9625,L,0.9459459459459459,0.9767441860465116,20230214
9,-2,0.9125,L,0.972972972972973,0.8604651162790697,20230214
10,-1,0.9,L,0.9111111111111111,0.8857142857142857,20230214
11,0,0.125,L,0.13043478260869565,0.11764705882352941,20230214
12,1,0.4375,L,0.375,0.4791666666666667,20230214
13,2,0.85,L,0.8947368421052632,0.8095238095238095,20230214
14,3,0.9375,L,0.9024390243902439,0.9743589743589743,20230214
15,4,0.9875,L,0.9795918367346939,1.0,20230214
16,5,0.975,L,0.9545454545454546,1.0,20230214
17,6,0.95,L,1.0,0.9090909090909091,20230214
18,7,0.9875,L,1.0,0.9705882352941176,20230214
19,8,0.95,L,0.9555555555555556,0.9428571428571428,20230214
20,9,0.9746835443037974,L,0.9555555555555556,1.0,20230214
21,10,0.9113924050632911,L,0.9166666666666666,0.9069767441860465,20230214
