,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
204,1R,Low,3.0,3.0,0.0,0.0,self,1.0848159790039062,1.0,4.0,293.0,Lalo,20230403
205,1R,Low,1.0,1.0,0.0,0.0,self,1.3832240104675293,1.0,5.0,294.0,Lalo,20230403
206,1R,Low,1.0,1.0,0.0,0.0,self,0.9830892086029053,1.0,6.0,295.0,Lalo,20230403
207,1R,Low,1.0,1.0,0.0,0.0,self,0.9986989498138428,1.0,7.0,296.0,Lalo,20230403
208,1R,Low,5.0,5.0,0.0,0.0,self,0.999610185623169,1.0,8.0,297.0,Lalo,20230403
209,1R,Low,3.0,3.0,0.0,1.0,self,1.6496849060058594,-1.0,9.0,298.0,Lalo,20230403
210,1R,Low,8.0,8.0,0.0,0.0,self,1.0830869674682617,1.0,0.0,301.0,Lalo,20230403
211,1R,Low,1.0,1.0,0.0,0.0,self,0.9996368885040283,1.0,1.0,302.0,Lalo,20230403
212,1R,Low,5.0,5.0,0.0,0.0,self,0.999727725982666,1.0,3.0,304.0,Lalo,20230403
213,1R,Low,6.0,6.0,0.0,0.0,self,1.033282995223999,1.0,4.0,305.0,Lalo,20230403
214,1R,Low,3.0,3.0,0.0,0.0,self,1.8825976848602295,1.0,5.0,306.0,Lalo,20230403
215,1R,Low,6.0,6.0,0.0,0.0,self,1.0849390029907227,1.0,6.0,307.0,Lalo,20230403
216,1R,Low,4.0,4.0,0.0,0.0,self,1.1330890655517578,1.0,7.0,308.0,Lalo,20230403
217,1R,Low,6.0,6.0,0.0,0.0,self,1.0161330699920654,1.0,0.0,312.0,Lalo,20230403
218,1R,Low,5.0,5.0,0.0,0.0,self,1.6162419319152832,1.0,1.0,313.0,Lalo,20230403
219,1R,Low,2.0,2.0,0.0,0.0,self,0.9993040561676025,1.0,2.0,314.0,Lalo,20230403
220,1R,Low,6.0,6.0,0.0,0.0,self,1.2497429847717285,1.0,3.0,315.0,Lalo,20230403
221,1R,Low,2.0,2.0,0.0,0.0,self,0.9996416568756104,1.0,7.0,319.0,Lalo,20230403
222,1R,Low,3.0,3.0,0.0,0.0,self,1.0859489440917969,1.0,8.0,320.0,Lalo,20230403
223,1R,Low,4.0,4.0,0.0,0.0,self,1.1498408317565918,1.0,9.0,321.0,Lalo,20230403
224,1R,Low,5.0,5.0,0.0,0.0,self,0.9996750354766846,1.0,11.0,323.0,Lalo,20230403
225,1R,Low,6.0,6.0,0.0,1.0,self,0.9838180541992188,-1.0,12.0,324.0,Lalo,20230403
226,1R,Low,1.0,1.0,0.0,0.0,self,1.016460657119751,1.0,0.0,326.0,Lalo,20230403
227,1R,Low,4.0,4.0,0.0,0.0,self,1.049691915512085,1.0,1.0,327.0,Lalo,20230403
228,1R,Low,1.0,1.0,0.0,0.0,self,1.0331430435180664,1.0,2.0,328.0,Lalo,20230403
229,1R,Low,2.0,2.0,0.0,0.0,self,0.9993181228637695,1.0,3.0,329.0,Lalo,20230403
230,1R,Low,1.0,1.0,0.0,0.0,self,1.01658296585083,1.0,4.0,330.0,Lalo,20230403
231,1R,Low,6.0,6.0,0.0,0.0,self,1.0853049755096436,1.0,5.0,331.0,Lalo,20230403
232,1R,Low,6.0,6.0,0.0,0.0,self,0.9998130798339844,1.0,6.0,332.0,Lalo,20230403
233,1R,Low,4.0,4.0,0.0,0.0,self,1.0841000080108643,1.0,7.0,333.0,Lalo,20230403
234,1R,Low,3.0,3.0,0.0,0.0,self,1.115617036819458,1.0,8.0,334.0,Lalo,20230403
235,1R,Low,4.0,4.0,0.0,0.0,self,1.2495529651641846,1.0,9.0,335.0,Lalo,20230403
236,1R,Low,7.0,7.0,0.0,0.0,self,1.4495110511779785,1.0,11.0,337.0,Lalo,20230403
237,1R,Low,2.0,2.0,0.0,0.0,self,2.8836097717285156,1.0,12.0,338.0,Lalo,20230403
238,1R,Low,5.0,5.0,0.0,0.0,self,1.099890947341919,1.0,13.0,339.0,Lalo,20230403
239,1R,Low,5.0,5.0,0.0,0.0,self,0.9998378753662109,1.0,14.0,340.0,Lalo,20230403
240,1R,Low,8.0,8.0,0.0,1.0,self,1.0501010417938232,-1.0,15.0,341.0,Lalo,20230403
241,1R,Low,7.0,7.0,0.0,0.0,self,1.0331358909606934,1.0,0.0,344.0,Lalo,20230403
242,1R,Low,2.0,2.0,0.0,0.0,self,1.783073902130127,1.0,1.0,345.0,Lalo,20230403
243,1R,Low,7.0,7.0,0.0,0.0,self,1.016406774520874,1.0,2.0,346.0,Lalo,20230403
244,1R,Low,2.0,2.0,0.0,0.0,self,2.349634885787964,1.0,3.0,347.0,Lalo,20230403
245,1R,Low,1.0,1.0,0.0,0.0,self,1.1997387409210205,1.0,4.0,348.0,Lalo,20230403
246,1R,Low,4.0,4.0,0.0,0.0,self,1.2818479537963867,1.0,5.0,349.0,Lalo,20230403
247,1R,Low,5.0,5.0,0.0,0.0,self,1.150562047958374,1.0,6.0,350.0,Lalo,20230403
248,1R,Low,4.0,4.0,0.0,0.0,self,1.0672008991241455,1.0,8.0,352.0,Lalo,20230403
249,1R,Low,6.0,6.0,0.0,0.0,self,1.0996880531311035,1.0,9.0,353.0,Lalo,20230403
250,1R,Low,4.0,4.0,0.0,0.0,self,1.9160106182098389,1.0,0.0,356.0,Lalo,20230403
251,1R,Low,1.0,1.0,0.0,0.0,self,0.9995222091674805,1.0,1.0,357.0,Lalo,20230403
252,1R,Low,5.0,5.0,0.0,0.0,self,1.0163440704345703,1.0,2.0,358.0,Lalo,20230403
253,1R,Low,4.0,4.0,0.0,0.0,self,1.0159378051757812,1.0,3.0,359.0,Lalo,20230403
254,1R,Low,2.0,2.0,0.0,0.0,self,1.0331571102142334,1.0,4.0,360.0,Lalo,20230403
255,1R,Low,8.0,8.0,0.0,0.0,self,0.9995782375335693,1.0,8.0,364.0,Lalo,20230403
256,1R,Low,1.0,1.0,0.0,0.0,self,0.9997210502624512,1.0,9.0,365.0,Lalo,20230403
257,1R,Low,1.0,1.0,0.0,1.0,self,1.0163803100585938,-1.0,10.0,366.0,Lalo,20230403
258,1R,Low,8.0,8.0,0.0,0.0,self,1.0495271682739258,1.0,0.0,369.0,Lalo,20230403
259,1R,Low,1.0,1.0,0.0,0.0,self,0.9998281002044678,1.0,1.0,370.0,Lalo,20230403
260,1R,Low,6.0,6.0,0.0,0.0,self,1.4334068298339844,1.0,2.0,371.0,Lalo,20230403
261,1R,Low,3.0,3.0,0.0,0.0,self,2.8159759044647217,1.0,3.0,372.0,Lalo,20230403
262,1R,Low,2.0,2.0,0.0,0.0,self,0.9831242561340332,1.0,4.0,373.0,Lalo,20230403
263,1R,Low,4.0,4.0,0.0,0.0,self,1.299551010131836,1.0,5.0,374.0,Lalo,20230403
264,1R,Low,7.0,7.0,0.0,0.0,self,0.9836440086364746,1.0,7.0,376.0,Lalo,20230403
265,1R,Low,3.0,3.0,0.0,0.0,self,1.1819939613342285,1.0,8.0,377.0,Lalo,20230403
266,1R,Low,1.0,1.0,0.0,0.0,self,1.031944751739502,1.0,0.0,381.0,Lalo,20230403
267,1R,Low,1.0,1.0,0.0,0.0,self,0.9832267761230469,1.0,1.0,382.0,Lalo,20230403
268,1R,Low,5.0,5.0,0.0,0.0,self,1.066288948059082,1.0,2.0,383.0,Lalo,20230403
269,1R,Low,1.0,1.0,0.0,0.0,self,1.4164330959320068,1.0,3.0,384.0,Lalo,20230403
