,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration
0,0,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1680542826.8938408,185,8.199492931365967,1,0,1,0,0.0,0.7333333333333333,[2.283972978591919],0.0,8.199492931365967,15,11,0,9.199120998382568
1,1,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1680542837.476489,111,3.31597900390625,1,0,-1,0,0.15,0.75,[1.0499730110168457],1.0,3.31597900390625,4,3,0,4.315651178359985
2,2,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1680542914.937414,262,9.499189853668213,1,0,1,0,0.0,0.8666666666666667,[3.5660128593444824],0.0,9.499189853668213,15,13,0,10.498909950256348
3,3,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1680542925.55499,109,7.116091012954712,1,0,-1,0,0.15,0.5333333333333333,[1.0162670612335205],0.0,7.116091012954712,15,8,0,8.1157808303833
4,4,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1680542937.836202,206,8.532889127731323,1,0,1,0,0.0,0.6666666666666666,[2.633028030395508],0.0,8.532889127731323,15,10,0,9.549206018447876
5,5,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1680542948.385458,108,6.916099786758423,1,0,-1,0,0.15,0.7333333333333333,[0.9999270439147949],0.0,6.916099786758423,15,11,0,7.9156270027160645
6,6,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1680542959.251349,132,3.3171589374542236,1,0,-1,0,0.15,1.0,[1.3998169898986816],1.0,3.3171589374542236,3,3,0,4.317228078842163
7,7,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1680542965.567339,107,5.266467094421387,1,0,-1,0,0.15,0.5,[0.9830489158630371],1.0,5.266467094421387,10,5,0,6.266261100769043
8,8,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1680542974.433538,112,5.716801881790161,1,0,-1,0,0.15,0.7272727272727273,[1.0667228698730469],1.0,5.716801881790161,11,8,0,6.715753078460693
9,9,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1680542983.601892,109,2.9160261154174805,1,0,-1,0,0.15,0.6666666666666666,[1.0168838500976562],1.0,2.9160261154174805,3,2,0,3.9161059856414795
10,10,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1680542989.8990028,108,4.582732200622559,1,0,-1,0,0.15,0.625,[0.9996821880340576],1.0,4.582732200622559,8,5,0,5.58262300491333
11,11,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1680542997.931846,107,6.899522066116333,1,0,-1,0,0.0,0.7333333333333333,[0.9833669662475586],0.0,6.899522066116333,15,11,0,7.899035930633545
12,12,[1.0],1.0,0,1.0,1.0,0,[1.0],1680543008.364776,107,3.89958119392395,1,0,1,0,0.15,0.8333333333333334,[0.9832439422607422],1.0,3.89958119392395,6,5,0,4.899348258972168
13,13,[1.0],1.0,0,1.0,1.0,0,[1.0],1680543015.713919,107,3.8999202251434326,1,0,1,0,0.15,0.6666666666666666,[0.9831831455230713],1.0,3.8999202251434326,6,4,0,4.899590253829956
