,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
0,1R,Low,1.0,1.0,0.0,0.0,Observer,1.300217866897583,1.0,0.0,0.9986349132087964,0.0,0.0,0.0,Offenbach,20230127
1,1R,Low,3.0,3.0,0.0,0.0,Observer,1.483459711074829,1.0,5.0,0.9998142803160254,0.0,0.0,5.0,Offenbach,20230127
2,1R,Med,11.0,11.0,0.0,0.0,Observer,1.5335230827331543,1.0,6.0,0.7939369111020074,0.0710774272839,0.0,6.0,Offenbach,20230127
3,1R,Low,2.0,2.0,0.0,0.0,Observer,1.3672590255737305,1.0,8.0,0.8741897184225044,0.0079265907110848,0.0,8.0,Offenbach,20230127
4,1R,Low,4.0,4.0,1.0,0.0,Observer,1.2330329418182373,-1.0,9.0,0.7858064516129032,0.5206451612903226,0.0,9.0,Offenbach,20230127
5,1R,Med,10.0,10.0,0.0,0.0,Observer-incongruent,1.0998318195343018,1.0,10.0,0.5747571273166238,0.3416498982164775,0.0,10.0,Offenbach,20230127
6,1R,Low,2.0,2.0,0.0,0.0,Observer,1.1162889003753662,1.0,11.0,1.0,0.0,0.0,11.0,Offenbach,20230127
7,1R,Low,4.0,4.0,1.0,0.0,Actor,1.2992379665374756,-1.0,12.0,0.999959163601568,0.0,0.0,12.0,Offenbach,20230127
8,1R,Low,7.0,7.0,0.0,0.0,Observer-incongruent,1.0328140258789062,1.0,0.0,0.528476085329762,0.467820710456749,0.0,16.0,Offenbach,20230127
9,1R,Low,8.0,8.0,0.0,0.0,Actor,1.2494559288024902,1.0,1.0,0.9999370485573568,0.0,0.0,17.0,Offenbach,20230127
10,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,1.0494279861450195,1.0,3.0,1.0,0.0,0.0,19.0,Offenbach,20230127
11,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9822649955749512,1.0,4.0,0.7017149914388058,0.2885190941543741,0.0,20.0,Offenbach,20230127
12,1R,Low,4.0,4.0,0.0,0.0,Observer,0.9835991859436035,1.0,5.0,0.392415159675376,0.588066910674997,0.0,21.0,Offenbach,20230127
13,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0832743644714355,1.0,6.0,1.0,0.0,0.0,22.0,Offenbach,20230127
14,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9831807613372803,1.0,7.0,1.0,0.0,0.0,23.0,Offenbach,20230127
15,1R,Low,5.0,5.0,0.0,0.0,Actor,1.1835072040557861,1.0,8.0,1.0,0.0,0.0,24.0,Offenbach,20230127
