,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Med,9.0,9.0,0.0,0.0,self,1.6341171264648438,1.0,0.0,3.0,Offenbach,20221208
1,1R,Low,3.0,3.0,0.0,0.0,self,25.648996829986572,1.0,3.0,6.0,Offenbach,20221208
2,1R,Low,3.0,3.0,0.0,0.0,self,14.848257064819336,1.0,5.0,8.0,Offenbach,20221208
3,1R,Low,7.0,7.0,1.0,0.0,self,1.5002450942993164,-1.0,0.0,13.0,Offenbach,20221208
4,1R,Low,6.0,6.0,1.0,0.0,self,128.47362208366394,-1.0,5.0,18.0,Offenbach,20221208
5,1R,Low,4.0,4.0,0.0,0.0,self,53.44626498222351,1.0,8.0,21.0,Offenbach,20221208
6,1R,Low,6.0,6.0,0.0,0.0,self,1.3158800601959229,1.0,15.0,28.0,Offenbach,20221208
7,1R,Low,4.0,4.0,0.0,0.0,self,1.7167751789093018,1.0,16.0,29.0,Offenbach,20221208
8,1R,Low,3.0,3.0,0.0,0.0,self,1.0336530208587646,1.0,17.0,30.0,Offenbach,20221208
9,1R,Low,3.0,3.0,0.0,0.0,self,1.2658979892730713,1.0,19.0,32.0,Offenbach,20221208
10,1R,Low,4.0,4.0,0.0,0.0,self,1.0660107135772705,1.0,20.0,33.0,Offenbach,20221208
11,1R,Low,1.0,1.0,0.0,0.0,self,1.0154826641082764,1.0,21.0,34.0,Offenbach,20221208
12,1R,Low,2.0,2.0,0.0,0.0,self,1.000380039215088,1.0,23.0,36.0,Offenbach,20221208
13,1R,Low,5.0,5.0,0.0,0.0,self,1.0491750240325928,1.0,24.0,37.0,Offenbach,20221208
14,1R,Low,3.0,3.0,0.0,1.0,self,1.099320888519287,-1.0,25.0,38.0,Offenbach,20221208
15,1R,Low,3.0,3.0,0.0,0.0,self,0.967008113861084,1.0,0.0,43.0,Offenbach,20221208
16,1R,Low,3.0,3.0,0.0,0.0,self,0.9839098453521729,1.0,1.0,44.0,Offenbach,20221208
17,1R,Low,5.0,5.0,0.0,0.0,self,0.9665780067443848,1.0,2.0,45.0,Offenbach,20221208
18,1R,Low,4.0,4.0,0.0,0.0,self,0.9833710193634033,1.0,3.0,46.0,Offenbach,20221208
19,1R,Low,4.0,4.0,0.0,0.0,self,2.7673261165618896,1.0,4.0,47.0,Offenbach,20221208
20,1R,Low,3.0,3.0,0.0,0.0,self,1.233247995376587,1.0,5.0,48.0,Offenbach,20221208
21,1R,Low,1.0,1.0,0.0,0.0,self,1.1667382717132568,1.0,6.0,49.0,Offenbach,20221208
22,1R,Low,5.0,5.0,0.0,1.0,self,1.0000030994415283,-1.0,7.0,50.0,Offenbach,20221208
23,1R,Low,1.0,1.0,0.0,0.0,self,0.9835340976715088,1.0,0.0,53.0,Offenbach,20221208
24,1R,Low,6.0,6.0,0.0,0.0,self,1.1836588382720947,1.0,1.0,54.0,Offenbach,20221208
25,1R,Low,2.0,2.0,0.0,0.0,self,0.9660651683807373,1.0,2.0,55.0,Offenbach,20221208
26,1R,Low,1.0,1.0,0.0,0.0,self,0.983057975769043,1.0,4.0,57.0,Offenbach,20221208
27,1R,Med,10.0,10.0,0.0,0.0,self,0.9669249057769775,1.0,5.0,58.0,Offenbach,20221208
28,1R,Low,6.0,6.0,0.0,0.0,self,0.9989268779754639,1.0,6.0,59.0,Offenbach,20221208
29,1R,Low,3.0,3.0,0.0,0.0,self,0.9830050468444824,1.0,7.0,60.0,Offenbach,20221208
30,1R,Low,8.0,8.0,0.0,0.0,self,0.9830081462860107,1.0,8.0,61.0,Offenbach,20221208
31,1R,Low,8.0,8.0,0.0,0.0,self,0.9665780067443848,1.0,9.0,62.0,Offenbach,20221208
32,1R,Low,2.0,2.0,0.0,0.0,self,1.016908884048462,1.0,10.0,63.0,Offenbach,20221208
33,1R,High,12.0,12.0,0.0,0.0,self,0.9666311740875244,1.0,0.0,66.0,Offenbach,20221208
34,1R,Low,2.0,2.0,0.0,0.0,self,1.067702054977417,1.0,1.0,67.0,Offenbach,20221208
35,1R,Low,3.0,3.0,0.0,0.0,self,0.9670140743255615,1.0,3.0,69.0,Offenbach,20221208
36,1R,Low,5.0,5.0,0.0,0.0,self,0.9665012359619141,1.0,7.0,73.0,Offenbach,20221208
37,1R,Low,4.0,4.0,0.0,0.0,self,1.0495069026947021,1.0,8.0,74.0,Offenbach,20221208
38,1R,Low,2.0,2.0,0.0,1.0,self,1.9147870540618896,-1.0,9.0,75.0,Offenbach,20221208
39,1R,Med,10.0,10.0,0.0,0.0,self,1.1832687854766846,1.0,0.0,80.0,Offenbach,20221208
40,1R,Low,4.0,4.0,0.0,0.0,self,1.0842931270599365,1.0,1.0,81.0,Offenbach,20221208
41,1R,Low,1.0,1.0,0.0,0.0,self,0.9839210510253906,1.0,2.0,82.0,Offenbach,20221208
42,1R,Low,8.0,8.0,0.0,0.0,self,1.066627025604248,1.0,3.0,83.0,Offenbach,20221208
43,1R,Low,6.0,6.0,0.0,0.0,self,0.9665069580078125,1.0,4.0,84.0,Offenbach,20221208
44,1R,Low,2.0,2.0,0.0,0.0,self,1.0166621208190918,1.0,5.0,85.0,Offenbach,20221208
45,1R,Low,5.0,5.0,0.0,0.0,self,1.0668747425079346,1.0,6.0,86.0,Offenbach,20221208
46,1R,Low,4.0,4.0,1.0,1.0,self,1.567300796508789,1.0,9.0,89.0,Offenbach,20221208
47,1R,Low,7.0,7.0,0.0,0.0,self,0.999561071395874,1.0,0.0,90.0,Offenbach,20221208
48,1R,Low,5.0,5.0,0.0,0.0,self,0.9658608436584473,1.0,2.0,92.0,Offenbach,20221208
49,1R,Low,4.0,4.0,0.0,0.0,self,1.348855972290039,1.0,3.0,93.0,Offenbach,20221208
50,1R,Low,1.0,1.0,0.0,0.0,self,1.233609914779663,1.0,4.0,94.0,Offenbach,20221208
51,1R,Low,1.0,1.0,0.0,0.0,self,1.1168313026428223,1.0,5.0,95.0,Offenbach,20221208
52,1R,Med,9.0,9.0,0.0,0.0,self,0.9662041664123535,1.0,6.0,96.0,Offenbach,20221208
53,1R,Low,4.0,4.0,0.0,0.0,self,1.016045093536377,1.0,7.0,97.0,Offenbach,20221208
54,1R,Low,5.0,5.0,0.0,0.0,self,1.8830430507659912,1.0,8.0,98.0,Offenbach,20221208
55,1R,Low,8.0,8.0,0.0,0.0,self,2.5493831634521484,1.0,9.0,99.0,Offenbach,20221208
56,1R,Low,4.0,4.0,0.0,0.0,self,1.133479118347168,1.0,10.0,100.0,Offenbach,20221208
57,1R,Low,3.0,3.0,0.0,1.0,self,1.3005430698394775,-1.0,11.0,101.0,Offenbach,20221208
58,1R,Low,4.0,4.0,0.0,0.0,self,0.9663469791412354,1.0,0.0,103.0,Offenbach,20221208
59,1R,Low,5.0,5.0,0.0,0.0,self,1.1318268775939941,1.0,1.0,104.0,Offenbach,20221208
60,1R,Low,1.0,1.0,0.0,0.0,self,1.6320440769195557,1.0,2.0,105.0,Offenbach,20221208
61,1R,Low,1.0,1.0,0.0,0.0,self,0.9658980369567871,1.0,3.0,106.0,Offenbach,20221208
62,1R,Med,11.0,11.0,0.0,0.0,self,1.0989689826965332,1.0,4.0,107.0,Offenbach,20221208
63,1R,Low,6.0,6.0,0.0,0.0,self,0.9651987552642822,1.0,5.0,108.0,Offenbach,20221208
64,1R,Low,4.0,4.0,0.0,0.0,self,0.9837539196014404,1.0,6.0,109.0,Offenbach,20221208
65,1R,Low,2.0,2.0,0.0,0.0,self,0.9990191459655762,1.0,7.0,110.0,Offenbach,20221208
66,1R,Low,1.0,1.0,0.0,0.0,self,1.2495808601379395,1.0,8.0,111.0,Offenbach,20221208
67,1R,Med,9.0,9.0,0.0,1.0,self,1.04923677444458,-1.0,10.0,113.0,Offenbach,20221208
68,1R,Low,3.0,3.0,0.0,0.0,self,1.0165839195251465,1.0,0.0,115.0,Offenbach,20221208
69,1R,Low,4.0,4.0,0.0,0.0,self,0.9663867950439453,1.0,1.0,116.0,Offenbach,20221208
70,1R,Low,2.0,2.0,0.0,0.0,self,0.9664862155914307,1.0,2.0,117.0,Offenbach,20221208
71,1R,Low,5.0,5.0,0.0,0.0,self,3.41615891456604,1.0,4.0,119.0,Offenbach,20221208
72,1R,Low,1.0,1.0,0.0,0.0,self,2.5336899757385254,1.0,5.0,120.0,Offenbach,20221208
73,1R,Low,2.0,2.0,0.0,0.0,self,1.316046953201294,1.0,6.0,121.0,Offenbach,20221208
74,1R,Low,5.0,5.0,0.0,0.0,self,1.4828107357025146,1.0,10.0,125.0,Offenbach,20221208
75,1R,Low,8.0,8.0,0.0,0.0,self,1.948988914489746,1.0,11.0,126.0,Offenbach,20221208
76,1R,Low,5.0,5.0,0.0,0.0,self,1.0503828525543213,1.0,12.0,127.0,Offenbach,20221208
77,1R,Low,4.0,4.0,0.0,1.0,self,0.9837150573730469,-1.0,13.0,128.0,Offenbach,20221208
78,1R,Low,2.0,2.0,0.0,0.0,self,0.966623067855835,1.0,0.0,130.0,Offenbach,20221208
79,1R,Low,2.0,2.0,0.0,0.0,self,1.016930103302002,1.0,3.0,133.0,Offenbach,20221208
80,1R,Low,1.0,1.0,0.0,0.0,self,0.9665219783782959,1.0,4.0,134.0,Offenbach,20221208
81,1R,Low,2.0,2.0,0.0,0.0,self,0.9657909870147705,1.0,5.0,135.0,Offenbach,20221208
82,1R,Low,7.0,7.0,0.0,0.0,self,0.9656381607055664,1.0,6.0,136.0,Offenbach,20221208
83,1R,Low,7.0,7.0,0.0,0.0,self,1.0171918869018555,1.0,8.0,138.0,Offenbach,20221208
84,1R,Low,4.0,4.0,0.0,0.0,self,1.117089033126831,1.0,9.0,139.0,Offenbach,20221208
85,1R,Low,5.0,5.0,0.0,0.0,self,0.9667701721191406,1.0,10.0,140.0,Offenbach,20221208
86,1R,Low,1.0,1.0,0.0,0.0,self,1.049586296081543,1.0,11.0,141.0,Offenbach,20221208
87,1R,Low,4.0,4.0,0.0,1.0,self,1.2326340675354004,-1.0,12.0,142.0,Offenbach,20221208
88,1R,Low,3.0,3.0,0.0,0.0,self,1.700512170791626,1.0,0.0,144.0,Offenbach,20221208
89,1R,Low,3.0,3.0,0.0,0.0,self,0.9835760593414307,1.0,1.0,145.0,Offenbach,20221208
90,1R,Low,2.0,2.0,0.0,0.0,self,0.9661638736724854,1.0,2.0,146.0,Offenbach,20221208
91,1R,Low,4.0,4.0,0.0,0.0,self,0.9672679901123047,1.0,3.0,147.0,Offenbach,20221208
92,1R,Low,5.0,5.0,0.0,0.0,self,0.9664571285247803,1.0,4.0,148.0,Offenbach,20221208
93,1R,Low,3.0,3.0,0.0,0.0,self,1.133293867111206,1.0,5.0,149.0,Offenbach,20221208
94,1R,Low,2.0,2.0,0.0,0.0,self,1.3501200675964355,1.0,6.0,150.0,Offenbach,20221208
95,1R,Low,1.0,1.0,0.0,0.0,self,1.5327630043029785,1.0,0.0,154.0,Offenbach,20221208
96,1R,Low,2.0,2.0,0.0,0.0,self,0.9664418697357178,1.0,1.0,155.0,Offenbach,20221208
97,1R,Low,7.0,7.0,0.0,0.0,self,0.9669287204742432,1.0,2.0,156.0,Offenbach,20221208
98,1R,Low,3.0,3.0,0.0,0.0,self,1.0996370315551758,1.0,3.0,157.0,Offenbach,20221208
99,1R,Low,1.0,1.0,0.0,0.0,self,1.0664865970611572,1.0,4.0,158.0,Offenbach,20221208
100,1R,Med,9.0,9.0,0.0,0.0,self,4.016950845718384,1.0,5.0,159.0,Offenbach,20221208
101,1R,Low,1.0,1.0,0.0,0.0,self,1.0826990604400635,1.0,6.0,160.0,Offenbach,20221208
102,1R,Low,2.0,2.0,0.0,0.0,self,0.9659268856048584,1.0,7.0,161.0,Offenbach,20221208
103,1R,Low,7.0,7.0,0.0,1.0,self,0.9664819240570068,-1.0,10.0,164.0,Offenbach,20221208
104,1R,Low,5.0,5.0,0.0,0.0,self,2.533083915710449,1.0,0.0,167.0,Offenbach,20221208
105,1R,Low,1.0,1.0,0.0,0.0,self,0.9995958805084229,1.0,1.0,168.0,Offenbach,20221208
106,1R,Low,3.0,3.0,0.0,0.0,self,1.9663848876953125,1.0,2.0,169.0,Offenbach,20221208
107,1R,Low,1.0,1.0,0.0,0.0,self,1.033135175704956,1.0,3.0,170.0,Offenbach,20221208
108,1R,Low,4.0,4.0,0.0,0.0,self,0.9659337997436523,1.0,4.0,171.0,Offenbach,20221208
109,1R,Low,7.0,7.0,0.0,0.0,self,2.933178186416626,1.0,5.0,172.0,Offenbach,20221208
