,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,other,player,player_choice,poll_probs,prop_touched_polls,reaction_time,reward,total_polls,touched_polls,trial_aborted,trial_duration
29,29,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865052.83747,113,1,0,1,0.15,0.6,0.733543872833252,1.0,5,3,0,3.6500728130340576
30,30,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865057.4043531,123,1,0,1,0.15,0.5,0.7333409786224365,1.0,2,1,0,2.882946729660034
31,31,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865060.786904,110,1,0,1,0.15,0.7777777777777778,0.7328119277954102,1.0,9,7,0,4.932530879974365
32,32,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865066.920296,134,1,0,1,0.15,1.0,0.732450008392334,1.0,3,3,0,3.332587957382202
33,33,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865070.8530078,126,1,0,1,0.15,1.0,0.7334504127502441,1.0,5,5,0,3.866473436355591
34,34,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865075.819198,147,1,0,1,0.15,0.6,0.73390793800354,0.0,15,9,0,7.732516050338745
35,35,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865083.8855739,107,1,0,1,0.15,0.5,0.7335598468780518,1.0,2,1,0,2.567003011703491
36,36,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865087.2030249,110,1,0,1,0.15,0.5333333333333333,0.7340438365936279,1.0,15,8,0,6.933015823364258
37,37,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865095.068735,113,1,0,1,0.15,1.0,0.7329280376434326,1.0,1,1,0,2.3659191131591797
38,38,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651865098.051306,109,1,0,1,0.0,0.9333333333333333,0.733320951461792,0.0,15,14,0,7.099658966064453
39,39,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865106.15183,110,1,0,-1,0.15,0.9090909090909091,0.7335901260375977,1.0,11,10,0,5.633363962173462
40,40,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865112.5340989,106,1,0,-1,0.15,1.0,0.7338881492614746,1.0,2,2,0,2.5334019660949707
41,41,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865115.866548,112,1,0,-1,0.15,0.8461538461538461,0.7331979274749756,1.0,13,11,0,6.299487113952637
42,42,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865122.966159,109,1,0,-1,0.15,1.0,0.7331058979034424,1.0,2,2,0,2.649867057800293
43,43,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865126.299263,107,1,0,-1,0.15,1.0,0.7332890033721924,1.0,1,1,0,2.2827911376953125
44,44,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865129.282497,107,1,0,-1,0.15,0.8571428571428571,0.7332441806793213,1.0,7,6,0,4.233659029006958
45,45,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865134.382266,113,1,0,-1,0.15,0.5,0.7337899208068848,1.0,2,1,0,2.6667239665985107
46,46,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865137.982209,126,1,0,-1,0.15,0.7142857142857143,0.7328369617462158,1.0,7,5,0,4.583068132400513
47,47,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865143.0151381,106,1,0,-1,0.15,0.75,0.7331631183624268,1.0,4,3,0,3.200003147125244
48,48,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865147.181514,120,1,0,-1,0.15,0.7,0.7328908443450928,1.0,10,7,0,5.4827446937561035
49,49,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651865153.2978408,109,1,0,-1,0.0,0.7333333333333333,0.73378586769104,0.0,15,11,0,7.11591100692749
50,50,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651865161.346615,106,1,0,-1,0.0,0.6666666666666666,0.7328412532806396,0.0,15,10,0,7.048346281051636
51,51,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865169.396852,108,1,0,1,0.15,0.5,0.7334048748016357,1.0,6,3,0,3.9162118434906006
52,52,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865174.312994,122,1,0,1,0.15,1.0,0.7332119941711426,1.0,1,1,0,2.5668749809265137
53,53,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865177.529187,119,1,0,1,0.15,0.5,0.7328140735626221,1.0,4,2,0,3.4326751232147217
54,54,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865182.111926,144,1,0,1,0.15,0.7333333333333333,0.7332680225372314,0.0,15,11,0,7.682551145553589
55,55,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865190.39519,120,1,0,1,0.15,1.0,0.7335789203643799,1.0,1,1,0,2.483093023300171
56,56,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865193.6114519,122,1,0,1,0.15,0.75,0.7342369556427002,1.0,4,3,0,3.500887155532837
57,57,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865198.594493,166,1,0,1,0.15,0.8,0.7332959175109863,1.0,10,8,0,6.283428907394409
58,58,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865205.394634,146,1,0,1,0.15,0.6,0.7333519458770752,1.0,5,3,0,4.216423034667969
59,59,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865210.277237,139,1,0,1,0.15,0.5714285714285714,0.7330899238586426,1.0,7,4,0,4.766272068023682
60,60,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865216.076187,154,1,0,1,0.15,0.8333333333333334,0.7344238758087158,1.0,6,5,0,4.6834328174591064
61,61,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651865221.309182,140,1,0,1,0.0,0.6666666666666666,0.7334048748016357,0.0,15,10,0,7.616185188293457
