,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
0,1R,Low,6.0,6.0,0.0,0.0,Actor,1.3671422004699707,1.0,0.0,,,0.0,0.0,Offenbach,20221215
1,1R,High,12.0,12.0,1.0,0.0,Observer,1.049222707748413,-1.0,2.0,,,0.0,2.0,Offenbach,20221215
2,1R,Low,2.0,2.0,0.0,0.0,Observer-incongruent,1.367654800415039,1.0,3.0,,,0.0,3.0,Offenbach,20221215
3,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0333011150360107,1.0,4.0,,,0.0,4.0,Offenbach,20221215
4,1R,Low,1.0,1.0,0.0,0.0,Actor,1.1329898834228516,1.0,5.0,,,0.0,5.0,Offenbach,20221215
5,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,1.1995172500610352,1.0,6.0,,,0.0,6.0,Offenbach,20221215
6,1R,Med,9.0,9.0,0.0,0.0,Actor,1.1161420345306396,1.0,7.0,,,0.0,7.0,Offenbach,20221215
7,1R,Low,1.0,1.0,0.0,0.0,Observer,1.4668848514556885,1.0,0.0,,,0.0,14.0,Offenbach,20221215
8,1R,Med,9.0,9.0,0.0,0.0,Actor,0.9830069541931152,1.0,1.0,,,0.0,15.0,Offenbach,20221215
9,1R,Low,7.0,7.0,0.0,0.0,Actor-incongruent,1.2823741436004639,1.0,4.0,,,0.0,18.0,Offenbach,20221215
10,1R,Low,3.0,3.0,0.0,0.0,Actor,1.166762113571167,1.0,5.0,,,0.0,19.0,Offenbach,20221215
11,1R,Med,10.0,10.0,0.0,0.0,Actor,1.6668319702148438,1.0,6.0,,,0.0,20.0,Offenbach,20221215
12,1R,Low,2.0,2.0,0.0,0.0,Actor-incongruent,1.1994669437408447,1.0,7.0,,,0.0,21.0,Offenbach,20221215
13,1R,Low,4.0,4.0,1.0,0.0,Actor-incongruent,3.3164260387420654,-1.0,8.0,,,0.0,22.0,Offenbach,20221215
14,1R,Low,5.0,5.0,0.0,0.0,Observer-incongruent,2.7502408027648926,1.0,0.0,,,0.0,24.0,Offenbach,20221215
