,Unnamed: 0,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,history,pos_in_block,switched
22,22,22,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471266.644926,112,4.984961032867432,1,0,1,0,0.15,0.6666666666666666,[1.0681560039520264],1.0,4.984961032867432,9,6,0,5.182718992233276,1R,7.0,1.0
23,23,23,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471272.744146,109,7.116890907287598,1,0,1,0,0.15,0.8,[1.0162098407745361],0.0,7.116890907287598,15,12,0,7.316718816757202,1NR,8.0,1.0
24,24,24,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471281.3770308,122,5.13280987739563,1,0,1,0,0.15,0.8888888888888888,[1.2337400913238525],1.0,5.13280987739563,9,8,0,5.333455801010132,1R,9.0,1.0
25,25,25,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471287.476405,110,4.96639084815979,1,0,1,0,0.15,0.6666666666666666,[1.033113956451416],1.0,4.96639084815979,9,6,0,5.166144847869873,1R,10.0,1.0
26,26,26,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471293.926334,129,4.932782888412476,1,0,1,0,0.15,0.625,[1.3499679565429688],1.0,4.932782888412476,8,5,0,5.132652759552002,1R,11.0,1.0
27,27,27,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471299.658952,107,6.248842000961304,1,0,1,0,0.15,0.6923076923076923,[0.9825100898742676],1.0,6.248842000961304,13,9,0,6.44906497001648,1R,12.0,1.0
28,28,28,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471307.1586308,109,3.949763774871826,1,0,-1,0,0.15,0.8333333333333334,[1.0168209075927734],1.0,3.949763774871826,6,5,0,4.149495840072632,1R,0.0,1.0
29,29,29,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471312.6754298,134,7.548575162887573,1,0,-1,0,0.15,0.6666666666666666,[1.4489259719848633],0.0,7.548575162887573,15,10,0,7.748265981674194,1NR,1.0,1.0
30,30,30,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471321.174007,113,7.183219909667969,1,0,-1,0,0.15,0.8,[1.0826470851898193],0.0,7.183219909667969,15,12,0,7.3819990158081055,2NR,2.0,1.0
31,31,31,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471330.373749,156,7.432714700698851,1,0,-1,0,0.15,0.6428571428571429,[1.7997848987579346],1.0,7.432714700698851,14,9,0,7.63247799873352,1R,3.0,1.0
