,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
0,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1622838147.3997853, 0.0]","[1.0, 1.0]",1.0,1.0,3.7832977771759033,1622838157.148046,1,-1,0,-1,0.6666666666666666,1.0,15,10,0,"[0, 0]"
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1622838158.416772, 0.0]","[1.0, 1.0]",1.0,1.0,3.866081953048706,1622838163.131211,1,-1,0,-1,0.3333333333333333,0.0,15,5,0,"[0, 0]"
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1622838164.0153308, 0.0]","[1.0, 1.0]",1.0,1.0,3.8665530681610107,1622838168.647892,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1622838171.898421, 0.0]","[1.0, 1.0]",1.0,1.0,1.5667669773101807,1622838173.981071,1,-1,0,-1,0.75,1.0,4,3,0,"[0, 0]"
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1622838172.6825647, 0.0]","[1.0, 1.0]",1.0,1.0,3.8667850494384766,1622838177.16435,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1622838178.749374, 0.0]","[1.0, 1.0]",1.0,1.0,3.3999149799346924,1622838182.580959,1,-1,0,-1,0.6923076923076923,1.0,13,9,0,"[0, 0]"
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1622838182.8644733, 0.0]","[1.0, 1.0]",1.0,1.0,3.8835177421569824,1622838187.43089,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1622838188.4655483, 0.0]","[1.0, 1.0]",1.0,1.0,3.8669257164001465,1622838192.930829,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1622838196.582624, 0.0]","[1.0, 1.0]",1.0,1.0,1.3498728275299072,1622838198.380959,1,-1,0,-1,1.0,1.0,3,3,0,"[0, 0]"
9,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1622838197.7311912, 0.0]","[1.0, 1.0]",1.0,1.0,2.7999258041381836,1622838201.2141912,1,-1,0,-1,0.6,1.0,10,6,0,"[0, 0]"
10,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1622838202.7158344, 0.0]","[1.0, 1.0]",1.0,1.0,2.399857759475708,1622838205.5309172,1,-1,0,-1,0.75,1.0,8,6,0,"[0, 0]"
11,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1622838207.1149943, 0.0]","[1.0, 1.0]",1.0,1.0,1.6000618934631348,1622838209.313993,1,-1,0,-1,1.0,1.0,4,4,0,"[0, 0]"
