,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
0,1R,Med,9.0,9.0,0.0,0.0,Observer,1.3502590656280518,1.0,0.0,0.9999393389493828,0.0,0.0,1.0,Offenbach,20230303
1,1R,Low,3.0,3.0,0.0,0.0,Actor,1.4326469898223877,1.0,1.0,0.9997650717059996,0.0,0.0,2.0,Offenbach,20230303
2,1R,Low,8.0,8.0,0.0,0.0,Actor,1.2164618968963623,1.0,2.0,1.0,0.0,0.0,3.0,Offenbach,20230303
3,1R,Low,1.0,1.0,0.0,0.0,Actor,1.3001019954681396,1.0,4.0,0.999939872898336,0.0,0.0,5.0,Offenbach,20230303
4,1R,Low,6.0,6.0,0.0,0.0,Observer,2.2650489807128906,1.0,5.0,0.9999946546339832,0.0213814646550029,0.0,6.0,Offenbach,20230303
5,1R,Low,1.0,1.0,0.0,0.0,Observer,1.2834579944610596,1.0,6.0,1.0,0.0,0.0,7.0,Offenbach,20230303
6,1R,Low,3.0,3.0,1.0,0.0,Observer,1.1664249897003174,-1.0,7.0,1.0,0.0,0.0,8.0,Offenbach,20230303
7,1R,Low,2.0,2.0,0.0,0.0,Observer-incongruent,1.317317247390747,1.0,8.0,0.7435897435897436,0.2714412024756852,0.0,9.0,Offenbach,20230303
8,1R,Med,9.0,9.0,0.0,0.0,Actor,1.215879201889038,1.0,9.0,1.0,0.0,0.0,10.0,Offenbach,20230303
9,1R,Med,10.0,10.0,0.0,0.0,Observer,1.1656713485717773,1.0,15.0,0.8803777338062163,0.0529733221004016,0.0,16.0,Offenbach,20230303
10,1R,Low,1.0,1.0,0.0,1.0,Observer,1.0838260650634766,-1.0,16.0,0.9981771849323312,0.0,0.0,17.0,Offenbach,20230303
11,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0496299266815186,1.0,0.0,0.9994180095937252,0.0,0.0,20.0,Offenbach,20230303
12,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0329811573028564,1.0,2.0,0.8608414725392889,0.1488955453956037,0.0,22.0,Offenbach,20230303
13,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0156748294830322,1.0,3.0,0.4621193671190918,0.520811899877283,0.0,23.0,Offenbach,20230303
14,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0657877922058105,1.0,4.0,1.0,0.0,0.0,24.0,Offenbach,20230303
15,1R,Low,8.0,8.0,0.0,0.0,Observer,1.132991075515747,1.0,5.0,0.1203852327447833,0.8831460674157303,0.0,25.0,Offenbach,20230303
16,1R,Low,3.0,3.0,0.0,0.0,Actor,1.0657908916473389,1.0,6.0,0.999696500670294,0.0,0.0,26.0,Offenbach,20230303
17,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0333759784698486,1.0,7.0,0.9861186547819466,0.0601020399077032,0.0,27.0,Offenbach,20230303
18,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0176808834075928,1.0,8.0,0.999388346046426,0.0,0.0,28.0,Offenbach,20230303
19,1R,Low,3.0,3.0,0.0,1.0,Actor,0.9996399879455566,-1.0,9.0,1.0,0.0,0.0,29.0,Offenbach,20230303
20,1R,High,14.0,14.0,0.0,0.0,Observer,1.2168800830841064,1.0,0.0,1.0,0.0,0.0,32.0,Offenbach,20230303
21,1R,Low,3.0,3.0,0.0,0.0,Observer,1.3003687858581543,1.0,1.0,1.0,0.0,0.0,33.0,Offenbach,20230303
22,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0338828563690186,1.0,2.0,0.9996560075160922,0.0,0.0,34.0,Offenbach,20230303
23,1R,Low,6.0,6.0,0.0,0.0,Observer,2.7334022521972656,1.0,3.0,1.0,0.0,0.0,35.0,Offenbach,20230303
