,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,3.0,3.0,1.0,0.0,self,11.065550088882446,-1.0,0.0,1.0,Lalo,20230420
1,1R,Med,9.0,9.0,0.0,0.0,self,0.9824986457824707,1.0,4.0,5.0,Lalo,20230420
2,1R,Low,1.0,1.0,0.0,0.0,self,1.0164520740509033,1.0,5.0,6.0,Lalo,20230420
3,1R,Med,11.0,11.0,0.0,0.0,self,0.9832718372344971,1.0,6.0,7.0,Lalo,20230420
4,1R,Low,4.0,4.0,0.0,0.0,self,0.9999711513519287,1.0,7.0,8.0,Lalo,20230420
5,1R,Low,4.0,4.0,0.0,0.0,self,1.9163672924041748,1.0,8.0,9.0,Lalo,20230420
6,1R,Low,7.0,7.0,0.0,1.0,self,1.049783706665039,-1.0,9.0,10.0,Lalo,20230420
7,1R,Low,5.0,5.0,0.0,0.0,self,0.9826481342315674,1.0,0.0,12.0,Lalo,20230420
8,1R,Low,7.0,7.0,0.0,0.0,self,0.9825289249420166,1.0,1.0,13.0,Lalo,20230420
9,1R,Med,9.0,9.0,0.0,0.0,self,0.9825108051300049,1.0,2.0,14.0,Lalo,20230420
10,1R,Med,10.0,10.0,0.0,0.0,self,1.016322135925293,1.0,3.0,15.0,Lalo,20230420
11,1R,Low,5.0,5.0,0.0,0.0,self,1.0330867767333984,1.0,4.0,16.0,Lalo,20230420
12,1R,Low,2.0,2.0,0.0,0.0,self,0.9841692447662354,1.0,7.0,19.0,Lalo,20230420
13,1R,Low,2.0,2.0,0.0,0.0,self,0.9831118583679199,1.0,8.0,20.0,Lalo,20230420
14,1R,Low,5.0,5.0,0.0,0.0,self,0.9832119941711426,1.0,9.0,21.0,Lalo,20230420
15,1R,Low,1.0,1.0,0.0,0.0,self,0.9998493194580078,1.0,10.0,22.0,Lalo,20230420
16,1R,Low,1.0,1.0,0.0,0.0,self,0.9825310707092285,1.0,11.0,23.0,Lalo,20230420
17,1R,Low,8.0,8.0,0.0,0.0,self,0.9832892417907715,1.0,12.0,24.0,Lalo,20230420
18,1R,Low,5.0,5.0,0.0,0.0,self,1.0493838787078857,1.0,13.0,25.0,Lalo,20230420
19,1R,Low,1.0,1.0,0.0,0.0,self,1.6682071685791016,1.0,14.0,26.0,Lalo,20230420
20,1R,Low,4.0,4.0,0.0,0.0,self,0.9831480979919434,1.0,18.0,30.0,Lalo,20230420
21,1R,Low,6.0,6.0,0.0,0.0,self,0.9998769760131836,1.0,19.0,31.0,Lalo,20230420
22,1R,Low,1.0,1.0,0.0,0.0,self,1.015815019607544,1.0,20.0,32.0,Lalo,20230420
23,1R,Med,10.0,10.0,0.0,1.0,self,0.9996597766876221,-1.0,21.0,33.0,Lalo,20230420
24,1R,High,13.0,13.0,0.0,0.0,self,0.9998838901519775,1.0,0.0,38.0,Lalo,20230420
25,1R,Low,7.0,7.0,0.0,0.0,self,0.9998757839202881,1.0,1.0,39.0,Lalo,20230420
26,1R,Low,3.0,3.0,0.0,0.0,self,0.9984266757965088,1.0,2.0,40.0,Lalo,20230420
27,1R,Low,5.0,5.0,0.0,0.0,self,1.0164449214935303,1.0,3.0,41.0,Lalo,20230420
28,1R,Low,3.0,3.0,0.0,0.0,self,1.0157370567321777,1.0,4.0,42.0,Lalo,20230420
29,1R,Low,3.0,3.0,0.0,0.0,self,0.9827899932861328,1.0,6.0,44.0,Lalo,20230420
30,1R,Low,1.0,1.0,0.0,0.0,self,1.0163393020629883,1.0,7.0,45.0,Lalo,20230420
31,1R,Low,5.0,5.0,0.0,1.0,self,0.9997751712799072,-1.0,8.0,46.0,Lalo,20230420
32,1R,Low,1.0,1.0,0.0,0.0,self,1.016503095626831,1.0,0.0,49.0,Lalo,20230420
33,1R,Low,6.0,6.0,0.0,0.0,self,0.9980580806732178,1.0,1.0,50.0,Lalo,20230420
34,1R,Low,1.0,1.0,0.0,0.0,self,0.982811689376831,1.0,2.0,51.0,Lalo,20230420
35,1R,Low,2.0,2.0,0.0,0.0,self,0.999647855758667,1.0,3.0,52.0,Lalo,20230420
36,1R,Low,3.0,3.0,0.0,0.0,self,1.0498671531677246,1.0,4.0,53.0,Lalo,20230420
37,1R,Low,2.0,2.0,0.0,0.0,self,0.9990308284759521,1.0,0.0,62.0,Lalo,20230420
38,1R,Low,5.0,5.0,0.0,0.0,self,0.9831080436706543,1.0,1.0,63.0,Lalo,20230420
39,1R,Low,7.0,7.0,0.0,0.0,self,1.0000479221343994,1.0,2.0,64.0,Lalo,20230420
40,1R,Low,3.0,3.0,0.0,0.0,self,0.9828660488128662,1.0,3.0,65.0,Lalo,20230420
41,1R,Low,2.0,2.0,0.0,0.0,self,0.9837570190429688,1.0,4.0,66.0,Lalo,20230420
42,1R,Low,4.0,4.0,0.0,0.0,self,0.9998090267181396,1.0,5.0,67.0,Lalo,20230420
43,1R,Low,5.0,5.0,0.0,0.0,self,1.016432762145996,1.0,6.0,68.0,Lalo,20230420
44,1R,Low,1.0,1.0,0.0,0.0,self,0.9828112125396729,1.0,7.0,69.0,Lalo,20230420
45,1R,Low,5.0,5.0,0.0,0.0,self,0.9827756881713867,1.0,8.0,70.0,Lalo,20230420
46,1R,Low,5.0,5.0,0.0,0.0,self,0.998507022857666,1.0,9.0,71.0,Lalo,20230420
47,1R,Low,4.0,4.0,0.0,0.0,self,0.9832568168640137,1.0,10.0,72.0,Lalo,20230420
48,1R,Med,11.0,11.0,0.0,1.0,self,0.9814422130584717,-1.0,11.0,73.0,Lalo,20230420
49,1R,Low,6.0,6.0,0.0,0.0,self,0.9831819534301758,1.0,0.0,77.0,Lalo,20230420
50,1R,Low,8.0,8.0,0.0,0.0,self,0.9834492206573486,1.0,1.0,78.0,Lalo,20230420
51,1R,Med,9.0,9.0,0.0,0.0,self,1.0335211753845215,1.0,2.0,79.0,Lalo,20230420
52,1R,Low,1.0,1.0,0.0,0.0,self,0.9840757846832275,1.0,3.0,80.0,Lalo,20230420
