,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted
0,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[1.650216817855835, -1628950199.5666702]","[1.0, 0.0]","[2.0503878593444824, -1628950199.5666702]","[1.0, 0.0]",1.0,0.0,2.249495029449463,1628950201.617058,1,0,0,-1,0.6666666666666666,1.0,3,2,0
1,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.13473987579345703, -1628950204.63244]","[4.0, 0.0]","[0.601046085357666, -1628950204.63244]","[1.0, 0.0]",1.0,0.0,2.4663166999816895,1628950205.2334862,1,0,0,-1,1.0,1.0,4,4,0
2,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.03224301338195801, -1628950208.718115]","[4.0, 0.0]","[0.381911039352417, -1628950208.718115]","[1.0, 0.0]",1.0,0.0,1.866210699081421,1628950209.1000261,1,0,0,-1,1.0,1.0,1,1,0
3,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.04836010932922363, -1628950211.801426]","[4.0, 0.0]","[0.4318680763244629, -1628950211.801426]","[1.0, 0.0]",1.0,0.0,3.6661908626556396,1628950212.233294,1,0,0,-1,0.5,1.0,10,5,0
4,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.28203797340393066, -1628950216.8845692]","[4.0, 0.0]","[0.28203797340393066, -1628950216.8845692]","[1.0, 0.0]",1.0,0.0,2.4659438133239746,1628950217.1666071,1,0,0,-1,0.5,1.0,4,2,0
5,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.06577587127685547, -1628950220.467691]","[4.0, 0.0]","[0.31536316871643066, -1628950220.467691]","[1.0, 0.0]",1.0,0.0,1.8496458530426025,1628950220.783054,1,0,0,-1,1.0,1.0,1,1,0
6,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.21458792686462402, -1628950223.55115]","[4.0, 0.0]","[0.2486419677734375, -1628950223.55115]","[1.0, 0.0]",1.0,0.0,2.4828739166259766,1628950223.799792,1,0,0,-1,1.0,1.0,4,4,0
7,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.033390045166015625, -1628950227.133718]","[4.0, 0.0]","[0.2824268341064453, -1628950227.133718]","[1.0, 0.0]",1.0,0.0,3.466351270675659,1628950227.4161448,1,0,0,-1,0.6666666666666666,1.0,9,6,0
8,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.016354084014892578, -1628950231.716675]","[4.0, 0.0]","[0.33267998695373535, -1628950231.716675]","[1.0, 0.0]",1.0,0.0,3.6831610202789307,1628950232.049355,1,0,0,-1,0.7,1.0,10,7,0
9,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.01614069938659668, -1628950236.801134]","[4.0, 0.0]","[0.23157787322998047, -1628950236.801134]","[1.0, 0.0]",1.0,0.0,2.8987607955932617,1628950237.032712,1,0,0,-1,1.0,1.0,6,6,0
10,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.015472888946533203, -1628950240.884495]","[4.0, 0.0]","[0.380573034286499, -1628950240.884495]","[1.0, 0.0]",1.0,0.0,4.749688148498535,1628950241.265068,1,0,0,-1,0.6666666666666666,0.0,15,10,0
11,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.0, -1628950246.983818]","[2.0, 0.0]","[0.5318899154663086, -1628950246.983818]","[1.0, 0.0]",1.0,0.0,3.6663668155670166,1628950247.515708,1,0,0,-1,0.5,1.0,10,5,0
12,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.28232789039611816, -1628950252.066553]","[2.0, 0.0]","[0.38232874870300293, -1628950252.066553]","[0.0, 0.0]",0.0,0.0,4.749605178833008,1628950252.4488819,1,0,0,-1,0.5333333333333333,0.0,15,8,0
13,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.18216490745544434, -1628950258.150259]","[2.0, 0.0]","[0.4152059555053711, -1628950258.150259]","[0.0, 0.0]",0.0,0.0,4.749506950378418,1628950258.565465,1,0,0,-1,0.8,0.0,15,12,0
14,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.032833099365234375, -1628950264.249444]","[2.0, 0.0]","[0.28182196617126465, -1628950264.249444]","[0.0, 0.0]",0.0,0.0,4.750251054763794,1628950264.531266,1,0,0,-1,0.6666666666666666,0.0,15,10,0
15,"[1.0, 0.0]",1.0,0.0,1.0,"[0.3150010108947754, -1628950270.33359]","[1.0, 0.0]","[0.43117284774780273, -1628950270.33359]","[1.0, 0.0]",1.0,0.0,4.750065088272095,1628950270.7647629,1,0,0,1,0.4,0.0,15,6,0
16,"[1.0, 0.0]",1.0,0.0,1.0,"[0.0, -1628950276.432398]","[1.0, 0.0]","[0.5325689315795898, -1628950276.432398]","[1.0, 0.0]",1.0,0.0,3.0662429332733154,1628950276.964967,1,0,0,1,0.5714285714285714,1.0,7,4,0
17,"[1.0, 0.0]",1.0,0.0,1.0,"[0.14924097061157227, -1628950281.015643]","[4.0, 0.0]","[0.26590895652770996, -1628950281.015643]","[1.0, 0.0]",1.0,0.0,4.749504089355469,1628950281.2815518,1,0,0,1,0.4666666666666667,0.0,15,7,0
18,"[1.0, 0.0]",1.0,0.0,1.0,"[0.016872882843017578, -1628950287.115647]","[4.0, 0.0]","[0.3656580448150635, -1628950287.115647]","[1.0, 0.0]",1.0,0.0,4.749644041061401,1628950287.4813051,1,0,0,1,0.6666666666666666,0.0,15,10,0
19,"[1.0, 0.0]",1.0,0.0,1.0,"[0.05018806457519531, -1628950293.215359]","[3.0, 0.0]","[0.3157618045806885, -1628950293.215359]","[1.0, 0.0]",1.0,0.0,4.449591159820557,1628950293.5311208,1,0,0,1,0.5714285714285714,1.0,14,8,0
20,"[1.0, 0.0]",1.0,0.0,1.0,"[0.5011148452758789, -1628950298.279982]","[3.0, 0.0]","[0.8674159049987793, -1628950298.279982]","[1.0, 0.0]",1.0,0.0,4.266535043716431,1628950299.147398,1,0,0,1,0.6923076923076923,1.0,13,9,0
21,"[1.0, 0.0]",1.0,0.0,1.0,"[0.0, -1628950304.3657758]","[3.0, 0.0]","[0.28177523612976074, -1628950304.3657758]","[1.0, 0.0]",1.0,0.0,4.749648094177246,1628950304.647551,1,0,0,1,0.6,0.0,15,9,0
22,"[1.0, 0.0]",1.0,0.0,1.0,"[0.29839110374450684, -1628950310.4489741]","[3.0, 0.0]","[0.6150400638580322, -1628950310.4489741]","[1.0, 0.0]",1.0,0.0,3.1163718700408936,1628950311.0640142,1,0,0,1,0.8571428571428571,1.0,7,6,0
23,"[1.0, 0.0]",1.0,0.0,1.0,"[0.0, -1628950315.031204]","[2.0, 0.0]","[0.41535186767578125, -1628950315.031204]","[1.0, 0.0]",1.0,0.0,4.749496221542358,1628950315.4465559,1,0,0,1,0.5333333333333333,0.0,15,8,0
24,"[1.0, 0.0]",1.0,0.0,1.0,"[0.9485950469970703, -1628950321.115268]","[2.0, 0.0]","[1.2153937816619873, -1628950321.115268]","[1.0, 0.0]",1.0,0.0,3.26608943939209,1628950322.3306618,1,0,0,1,0.5,1.0,8,4,0
25,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.04957103729248047, -1628950326.698155]","[2.0, 0.0]","[0.33231115341186523, -1628950326.698155]","[0.0, 0.0]",0.0,0.0,4.749289035797119,1628950327.030466,1,0,0,1,0.5333333333333333,0.0,15,8,0
26,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.34885120391845703, -1628950332.7975318]","[2.0, 0.0]","[0.6992981433868408, -1628950332.7975318]","[0.0, 0.0]",0.0,0.0,4.749657154083252,1628950333.49683,1,0,0,1,0.6666666666666666,0.0,15,10,0
27,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.0, -1628950339.3974469]","[1.0, 0.0]","[2.6158201694488525, -1628950339.3974469]","[1.0, 0.0]",1.0,0.0,4.748893737792969,1628950342.013267,1,0,0,-1,0.7333333333333333,0.0,15,11,0
28,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.0, -1628950347.997211]","[1.0, 0.0]","[0.3491239547729492, -1628950347.997211]","[0.0, 0.0]",0.0,0.0,4.749640941619873,1628950348.346335,1,0,0,1,0.6,0.0,15,9,0
29,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.24851608276367188, -1628950354.097708]","[1.0, 0.0]","[0.6152389049530029, -1628950354.097708]","[1.0, 0.0]",1.0,0.0,2.048862934112549,1628950354.712947,1,0,0,-1,0.5,1.0,2,1,0
30,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.017149925231933594, -1628950357.680307]","[4.0, 0.0]","[0.26526904106140137, -1628950357.680307]","[1.0, 0.0]",1.0,0.0,2.4668521881103516,1628950357.945576,1,0,0,-1,0.5,1.0,4,2,0
31,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.0, -1628950361.264183]","[4.0, 0.0]","[0.23102283477783203, -1628950361.264183]","[1.0, 0.0]",1.0,0.0,4.750365257263184,1628950361.4952059,1,0,0,-1,0.5333333333333333,0.0,15,8,0
32,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.44854140281677246, -1628950367.3473878]","[3.0, 0.0]","[1.5810670852661133, -1628950367.3473878]","[1.0, 0.0]",1.0,0.0,4.750302314758301,1628950368.9284549,1,0,0,-1,0.8666666666666667,0.0,15,13,0
33,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.032694101333618164, -1628950374.946753]","[3.0, 0.0]","[0.4322209358215332, -1628950374.946753]","[1.0, 0.0]",1.0,0.0,2.2664170265197754,1628950375.378974,1,0,0,-1,0.6666666666666666,1.0,3,2,0
