,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted
0,"[1.0, 0.0]",1.0,0.0,1.0,"[1.9988410472869873, -1628812239.877867]","[1.0, 0.0]","[2.815211057662964, -1628812239.877867]","[1.0, 0.0]",1.0,0.0,4.667304992675781,1628812242.693078,1,0,0,1,0.8,1.0,15,12,0
1,"[1.0, 0.0]",1.0,0.0,1.0,"[0.0, -1628812248.4621382]","[4.0, 0.0]","[0.38106870651245117, -1628812248.4621382]","[1.0, 0.0]",1.0,0.0,4.750397205352783,1628812248.843207,1,0,0,1,0.3333333333333333,0.0,15,5,0
2,"[1.0, 0.0]",1.0,0.0,1.0,"[0.24860501289367676, -1628812254.562177]","[4.0, 0.0]","[0.48085713386535645, -1628812254.562177]","[1.0, 0.0]",1.0,0.0,2.099799871444702,1628812255.043034,1,0,0,1,1.0,1.0,2,2,0
3,"[1.0, 0.0]",1.0,0.0,1.0,"[0.016651153564453125, -1628812258.145519]","[4.0, 0.0]","[0.44835805892944336, -1628812258.145519]","[1.0, 0.0]",1.0,0.0,4.749888896942139,1628812258.593877,1,0,0,1,0.8,0.0,15,12,0
4,"[1.0, 0.0]",1.0,0.0,1.0,"[0.14874696731567383, -1628812264.228543]","[4.0, 0.0]","[0.7820239067077637, -1628812264.228543]","[1.0, 0.0]",1.0,0.0,4.749751091003418,1628812265.010567,1,0,0,1,0.5333333333333333,0.0,15,8,0
5,"[1.0, 0.0]",1.0,0.0,1.0,"[0.0, -1628812270.812385]","[3.0, 0.0]","[0.9814457893371582, -1628812270.812385]","[1.0, 0.0]",1.0,0.0,3.2830491065979004,1628812271.7938309,1,0,0,1,0.625,1.0,8,5,0
6,"[1.0, 0.0]",1.0,0.0,1.0,"[0.04997515678405762, -1628812275.89426]","[3.0, 0.0]","[0.5323390960693359, -1628812275.89426]","[1.0, 0.0]",1.0,0.0,4.750172138214111,1628812276.426599,1,0,0,1,0.7333333333333333,0.0,15,11,0
7,"[1.0, 0.0]",1.0,0.0,1.0,"[0.26674318313598633, -1628812281.9604428]","[3.0, 0.0]","[0.5334782600402832, -1628812281.9604428]","[1.0, 0.0]",1.0,0.0,1.8495280742645264,1628812282.493921,1,0,0,1,1.0,1.0,1,1,0
8,"[1.0, 0.0]",1.0,0.0,1.0,"[0.2006700038909912, -1628812285.0438452]","[3.0, 0.0]","[0.48329973220825195, -1628812285.0438452]","[1.0, 0.0]",1.0,0.0,2.7164201736450195,1628812285.527145,1,0,0,1,1.0,1.0,5,5,0
9,"[1.0, 0.0]",1.0,0.0,1.0,"[0.36763501167297363, -1628812288.626338]","[3.0, 0.0]","[0.6834290027618408, -1628812288.626338]","[1.0, 0.0]",1.0,0.0,4.750340938568115,1628812289.309767,1,0,0,1,0.5333333333333333,0.0,15,8,0
10,"[1.0, 0.0]",1.0,0.0,1.0,"[0.0, -1628812295.227786]","[3.0, 0.0]","[0.48251891136169434, -1628812295.227786]","[1.0, 0.0]",1.0,0.0,3.6497621536254883,1628812295.710305,1,0,0,1,0.7,1.0,10,7,0
11,"[1.0, 0.0]",1.0,0.0,1.0,"[0.017188072204589844, -1628812300.327743]","[3.0, 0.0]","[0.4492819309234619, -1628812300.327743]","[1.0, 0.0]",1.0,0.0,4.749754905700684,1628812300.777025,1,0,0,1,0.7333333333333333,0.0,15,11,0
12,"[1.0, 0.0]",1.0,0.0,1.0,"[0.0, -1628812306.4106529]","[3.0, 0.0]","[0.4660830497741699, -1628812306.4106529]","[1.0, 0.0]",1.0,0.0,4.749827146530151,1628812306.876736,1,0,0,1,0.5333333333333333,0.0,15,8,0
13,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.06619477272033691, -1628812312.494625]","[3.0, 0.0]","[0.4656057357788086, -1628812312.494625]","[0.0, 0.0]",0.0,0.0,4.749638319015503,1628812312.9602308,1,0,0,1,0.4666666666666667,0.0,15,7,0
14,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.0, -1628812318.578161]","[2.0, 0.0]","[1.8486571311950684, -1628812318.578161]","[0.0, 0.0]",0.0,0.0,4.74968695640564,1628812320.4268181,1,0,0,1,0.4666666666666667,0.0,15,7,0
15,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.9149858951568604, -1628812326.161865]","[1.0, 0.0]","[1.0483551025390625, -1628812326.161865]","[0.0, 0.0]",0.0,0.0,4.749693870544434,1628812327.21022,1,0,0,1,0.6666666666666666,0.0,15,10,0
