,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted
382,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.03230118751525879, -1628433847.656288]","[4.0, 0.0]","[0.5154283046722412, -1628433847.656288]","[1.0, 0.0]",1.0,0.0,4.48292088508606,1628433848.1717162,1,0,0,-1,0.42857142857142855,1.0,14,6,0
383,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.06499195098876953, -1628433853.739956]","[3.0, 0.0]","[0.9150490760803223, -1628433853.739956]","[1.0, 0.0]",1.0,0.0,4.74862003326416,1628433854.655005,1,0,0,-1,0.9333333333333333,0.0,15,14,0
384,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.2988309860229492, -1628433860.339396]","[2.0, 0.0]","[0.4654660224914551, -1628433860.339396]","[1.0, 0.0]",1.0,0.0,2.0997328758239746,1628433860.804862,1,0,0,-1,1.0,1.0,2,2,0
385,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.016628026962280273, -1628433863.9230149]","[2.0, 0.0]","[0.5152082443237305, -1628433863.9230149]","[1.0, 0.0]",1.0,0.0,4.74947190284729,1628433864.4382231,1,0,0,-1,0.6666666666666666,0.0,15,10,0
386,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[1.4331328868865967, -1628433870.0216691]","[2.0, 0.0]","[1.7166788578033447, -1628433870.0216691]","[1.0, 0.0]",1.0,0.0,3.0493109226226807,1628433871.738348,1,0,0,-1,0.5714285714285714,1.0,7,4,0
387,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.4991800785064697, -1628433875.5888798]","[2.0, 0.0]","[0.7324881553649902, -1628433875.5888798]","[1.0, 0.0]",1.0,0.0,4.74948787689209,1628433876.321368,1,0,0,-1,0.4666666666666667,0.0,15,7,0
388,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.01620197296142578, -1628433882.189554]","[2.0, 0.0]","[0.4483070373535156, -1628433882.189554]","[0.0, 0.0]",0.0,0.0,4.748871088027954,1628433882.637861,1,0,0,-1,0.9333333333333333,0.0,15,14,0
389,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.0, -1628433888.2889652]","[1.0, 0.0]","[0.4321577548980713, -1628433888.2889652]","[0.0, 0.0]",0.0,0.0,4.749608039855957,1628433888.721123,1,0,0,-1,0.7333333333333333,0.0,15,11,0
390,"[1.0, 0.0]",1.0,0.0,1.0,"[0.2995181083679199, -1628433894.371501]","[1.0, 0.0]","[0.7328898906707764, -1628433894.371501]","[1.0, 0.0]",1.0,0.0,3.749556064605713,1628433895.1043909,1,0,0,1,1.0,1.0,10,10,0
391,"[1.0, 0.0]",1.0,0.0,1.0,"[0.04986310005187988, -1628433899.955195]","[4.0, 0.0]","[0.3491191864013672, -1628433899.955195]","[1.0, 0.0]",1.0,0.0,2.2495739459991455,1628433900.3043141,1,0,0,1,1.0,1.0,3,3,0
392,"[1.0, 0.0]",1.0,0.0,1.0,"[0.1322922706604004, -1628433903.5388858]","[4.0, 0.0]","[0.43204712867736816, -1628433903.5388858]","[1.0, 0.0]",1.0,0.0,2.6661860942840576,1628433903.970933,1,0,0,1,1.0,1.0,5,5,0
393,"[1.0, 0.0]",1.0,0.0,1.0,"[0.3151068687438965, -1628433907.6216571]","[4.0, 0.0]","[0.5658257007598877, -1628433907.6216571]","[1.0, 0.0]",1.0,0.0,2.8495962619781494,1628433908.1874828,1,0,0,1,0.6666666666666666,1.0,6,4,0
394,"[1.0, 0.0]",1.0,0.0,1.0,"[0.915114164352417, -1628433912.205775]","[4.0, 0.0]","[1.165065050125122, -1628433912.205775]","[1.0, 0.0]",1.0,0.0,2.666187047958374,1628433913.37084,1,0,0,1,0.8,1.0,5,4,0
