,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted
0,"[-1.0, 0.0]",-1.0,0.0,1.0,"[1.1002728939056396, -1628350013.899416]","[1.0, 0.0]","[1.5828959941864014, -1628350013.899416]","[0.0, 0.0]",0.0,0.0,4.750564098358154,1628350015.482312,1,0,0,-1,0.6666666666666666,0.0,15,10,0
1,"[1.0, 0.0]",1.0,0.0,1.0,"[0.6987709999084473, -1628350021.4844952]","[2.0, 0.0]","[1.0318677425384521, -1628350021.4844952]","[1.0, 0.0]",1.0,0.0,2.4663240909576416,1628350022.516363,1,0,0,1,0.75,1.0,4,3,0
2,"[1.0, 0.0]",1.0,0.0,1.0,"[0.4655611515045166, -1628350026.084127]","[3.0, 0.0]","[1.28224515914917, -1628350026.084127]","[1.0, 0.0]",1.0,0.0,3.682896852493286,1628350027.366372,1,0,0,1,0.8,1.0,10,8,0
3,"[1.0, 0.0]",1.0,0.0,1.0,"[0.49793004989624023, -1628350032.18475]","[3.0, 0.0]","[1.34804105758667, -1628350032.18475]","[1.0, 0.0]",1.0,0.0,3.0498039722442627,1628350033.5327911,1,0,0,1,0.7142857142857143,1.0,7,5,0
4,"[1.0, 0.0]",1.0,0.0,1.0,"[0.2652318477630615, -1628350037.784524]","[3.0, 0.0]","[0.9483370780944824, -1628350037.784524]","[1.0, 0.0]",1.0,0.0,4.682891845703125,1628350038.732861,1,0,0,1,0.4666666666666667,1.0,15,7,0
5,"[1.0, 0.0]",1.0,0.0,1.0,"[0.4652860164642334, -1628350044.384376]","[2.0, 0.0]","[0.9816949367523193, -1628350044.384376]","[1.0, 0.0]",1.0,0.0,2.866456985473633,1628350045.366071,1,0,0,1,0.6666666666666666,1.0,6,4,0
6,"[1.0, 0.0]",1.0,0.0,1.0,"[0.5661039352416992, -1628350048.950021]","[3.0, 0.0]","[1.1659448146820068, -1628350048.950021]","[1.0, 0.0]",1.0,0.0,4.74969220161438,1628350050.1159658,1,0,0,1,0.3333333333333333,0.0,15,5,0
7,"[1.0, 0.0]",1.0,0.0,1.0,"[0.7644238471984863, -1628350056.051489]","[2.0, 0.0]","[1.5313549041748047, -1628350056.051489]","[1.0, 0.0]",1.0,0.0,4.749361038208008,1628350057.582844,1,0,0,1,0.4,0.0,15,6,0
8,"[1.0, 0.0]",1.0,0.0,1.0,"[0.5999307632446289, -1628350063.132492]","[2.0, 0.0]","[1.4492878913879395, -1628350063.132492]","[1.0, 0.0]",1.0,0.0,2.0671520233154297,1628350064.58178,1,0,0,1,0.5,1.0,2,1,0
9,"[1.0, 0.0]",1.0,0.0,1.0,"[0.3491690158843994, -1628350067.733357]","[2.0, 0.0]","[1.6324830055236816, -1628350067.733357]","[1.0, 0.0]",1.0,0.0,4.748797178268433,1628350069.36584,1,0,0,1,0.6666666666666666,0.0,15,10,0
