,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
81,"[1.0, 1.0]",1.0,1.0,1.0,"[0.4323110580444336, 0.24871206283569336]","[4.0, 4.0]","[0.6820380687713623, 0.4655029773712158]","[1.0, 1.0]",1.0,1.0,3.4997398853302,1631649325.543819,1,1,0,1,1.0,1.0,5,5,0,82,"[0, 0]","[0, 0]","[0, 0]","[9, 8]","[0, 0]","[9, 8]","[0, 0]","[0, 0]","[0, 0]","[9, 8]","[0, 0]","[9, 8]",1R,1R,8.0,9
82,"[1.0, 1.0]",1.0,1.0,1.0,"[0.3500487804412842, 0.0]","[4.0, 4.0]","[0.5829787254333496, 0.13334989547729492]","[1.0, 1.0]",1.0,1.0,2.882996082305908,1631649330.5436668,1,1,0,1,1.0,1.0,2,2,0,83,"[0, 0]","[0, 0]","[0, 0]","[8, 7]","[0, 0]","[8, 7]","[0, 0]","[0, 0]","[0, 0]","[8, 7]","[0, 0]","[8, 7]",1R,1R,9.0,10
83,"[1.0, 1.0]",1.0,1.0,1.0,"[0.1660149097442627, 0.0]","[4.0, 4.0]","[0.5667760372161865, 1.4331109523773193]","[1.0, 1.0]",1.0,1.0,5.582809925079346,1631649335.976908,1,1,0,1,0.6,0.0,15,9,0,84,"[0, 0]","[0, 0]","[0, 0]","[7, 6]","[0, 0]","[7, 6]","[0, 0]","[0, 0]","[0, 0]","[7, 6]","[0, 0]","[7, 6]",1NR,1NR,10.0,11
84,"[1.0, 1.0]",1.0,1.0,1.0,"[0.34867095947265625, 0.0]","[3.0, 3.0]","[0.9145002365112305, 0.8152461051940918]","[1.0, 1.0]",1.0,1.0,4.48362398147583,1631649343.5592692,0,1,1,1,0.9,1.0,10,9,0,85,"[0, 0]","[0, 0]","[0, 0]","[6, 5]","[0, 0]","[6, 5]","[0, 0]","[0, 0]","[0, 0]","[6, 5]","[0, 0]","[6, 5]",1R,1R,11.0,12
85,"[1.0, 1.0]",1.0,1.0,1.0,"[0.39763903617858887, 0.0]","[4.0, 4.0]","[0.5989859104156494, 0.29788899421691895]","[1.0, 1.0]",1.0,1.0,3.0826802253723145,1631649349.8269498,1,1,0,1,0.6666666666666666,1.0,3,2,0,86,"[0, 0]","[0, 0]","[0, 0]","[5, 4]","[0, 0]","[5, 4]","[0, 0]","[0, 0]","[0, 0]","[5, 4]","[0, 0]","[5, 4]",1R,1R,12.0,13
86,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.2830467224121094, 0.08320093154907227]","[4.0, 4.0]","[0.6829328536987305, 0.2662978172302246]","[0.0, 0.0]",0.0,0.0,5.848731994628906,1631649354.493325,0,1,1,1,0.4,0.0,15,6,0,87,"[0, 0]","[0, 0]","[0, 0]","[4, 3]","[0, 0]","[4, 3]","[0, 0]","[0, 0]","[0, 0]","[4, 3]","[0, 0]","[4, 3]",1NR,1NR,13.0,1
87,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.3475792407989502, 1.0481910705566406]","[3.0, 3.0]","[0.6816539764404297, 1.6148290634155273]","[0.0, 0.0]",0.0,0.0,5.583022117614746,1631649363.009505,1,1,0,1,0.6666666666666666,0.0,15,10,0,88,"[0, 0]","[0, 0]","[0, 0]","[3, 2]","[0, 0]","[3, 2]","[0, 0]","[0, 0]","[0, 0]","[3, 2]","[0, 0]","[3, 2]",2NR,2NR,14.0,2
88,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.4659237861633301, 0.23270773887634277]","[2.0, 2.0]","[0.8157670497894287, 0.682478666305542]","[0.0, 0.0]",0.0,0.0,5.849410772323608,1631649370.2926762,0,1,1,1,0.7333333333333333,0.0,15,11,0,89,"[0, 1]","[0, 0]","[0, 1]","[2, 1]","[0, 0]","[2, 1]","[0, 1]","[0, 0]","[0, 1]","[2, 1]","[0, 0]","[2, 1]",3NR,3NR,15.0,3
89,"[1.0, -1.0]",1.0,-1.0,-1.0,"[0.7829649448394775, 0.28286170959472656]","[1.0, 2.0]","[1.0329899787902832, 0.69980788230896]","[0.0, 1.0]",0.0,1.0,5.582963943481445,1631649378.109249,1,-1,0,1,0.9333333333333332,0.0,15,14,0,90,"[1, 0]","[0, 0]","[1, 0]","[1, 13]","[0, 13]","[1, 0]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",4NR,4NR,16.0,4
90,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.432905912399292, 0.499359130859375]","[4.0, 3.0]","[0.9661118984222412, 0.6987779140472412]","[1.0, 1.0]",1.0,1.0,5.582821130752564,1631649385.625702,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,91,"[0, 0]","[0, 0]","[0, 0]","[13, 12]","[13, 12]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[13, 12]","[13, 12]","[0, 0]",1NRO,5NR,17.0,5
