,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.6,AP,0.5714285714285714,0.631578947368421,2021_09_28
1,-10,0.675,AP,0.6842105263157895,0.6666666666666666,2021_09_28
2,-9,0.825,AP,0.7777777777777778,0.9230769230769231,2021_09_28
3,-8,0.925,AP,0.8571428571428571,1.0,2021_09_28
4,-7,0.975,AP,0.9285714285714286,1.0,2021_09_28
5,-6,0.975,AP,1.0,0.9545454545454546,2021_09_28
6,-5,0.95,AP,0.9473684210526315,0.9523809523809523,2021_09_28
7,-4,0.875,AP,0.8235294117647058,0.9130434782608695,2021_09_28
8,-3,0.875,AP,0.9259259259259259,0.7692307692307693,2021_09_28
9,-2,0.925,AP,0.92,0.9333333333333333,2021_09_28
10,-1,0.825,AP,0.75,0.875,2021_09_28
11,0,0.175,AP,0.15,0.2,2021_09_28
12,1,0.3333333333333333,AP,0.3684210526315789,0.3,2021_09_28
13,2,0.7692307692307693,AP,0.7,0.8421052631578947,2021_09_28
14,3,0.8461538461538461,AP,0.7,1.0,2021_09_28
15,4,0.9743589743589743,AP,0.9444444444444444,1.0,2021_09_28
16,5,0.9487179487179487,AP,1.0,0.9047619047619048,2021_09_28
17,6,0.9743589743589743,AP,0.9473684210526315,1.0,2021_09_28
18,7,0.9230769230769231,AP,0.9411764705882353,0.9090909090909091,2021_09_28
19,8,0.9487179487179487,AP,0.9130434782608695,1.0,2021_09_28
20,9,0.9487179487179487,AP,1.0,0.8461538461538461,2021_09_28
21,10,0.8205128205128205,AP,0.875,0.782608695652174,2021_09_28
