,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
0,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.4327812194824219, 1.1327481269836426]","[2.0, 1.0]","[0.8662421703338623, 1.2998061180114746]","[1.0, 1.0]",1.0,1.0,5.849141836166382,1632858442.167467,0,-1,1,-1,0.6,0.0,15,9,0,1,"[0, 1]","[0, 1]","[0, 0]","[2, 1]","[2, 1]","[0, 0]","[0, 1]","[0, 1]","[0, 0]","[2, 1]","[2, 1]","[0, 0]",1NRO,1NR,0.0,1
1,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[0.5488870143890381, 0.3995811939239502]","[2.0, 1.0]","[0.982943058013916, 0.749535083770752]","[1.0, 0.0]",1.0,0.0,5.582887172698975,1632858449.933627,1,1,0,-1,0.7333333333333333,0.0,15,11,0,2,"[1, 0]","[1, 0]","[0, 0]","[1, 3]","[1, 0]","[0, 3]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",2NRO,2NR,1.0,2
2,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.9644737243652344, 0.11584782600402832]","[2.0, 1.0]","[1.1654279232025146, 0.5488379001617432]","[0.0, 0.0]",0.0,0.0,5.849437952041626,1632858457.700257,0,1,1,1,0.6666666666666666,0.0,15,10,0,3,"[0, 0]","[0, 0]","[0, 0]","[4, 2]","[0, 0]","[4, 2]","[0, 0]","[0, 0]","[0, 0]","[3, 2]","[3, 0]","[0, 2]",3NRO,3NR,2.0,3
3,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.48420000076293945, 0.400022029876709]","[2.0, 1.0]","[0.8340981006622314, 0.5676522254943848]","[0.0, 0.0]",0.0,0.0,5.582937955856323,1632858465.433275,1,1,0,1,0.5333333333333333,0.0,15,8,0,4,"[0, 1]","[0, 0]","[0, 1]","[3, 1]","[0, 0]","[3, 1]","[0, 1]","[0, 0]","[0, 1]","[2, 1]","[2, 0]","[0, 1]",4NRO,4NR,3.0,4
4,"[1.0, -1.0]",1.0,-1.0,-1.0,"[0.36645007133483887, 0.0]","[1.0, 1.0]","[0.6163568496704102, 0.16641688346862793]","[0.0, 1.0]",0.0,1.0,5.849585294723511,1632858472.800073,0,1,1,-1,0.6,0.0,15,9,0,5,"[0, 1]","[0, 1]","[0, 0]","[2, 1]","[0, 1]","[2, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",5NRO,5NR,4.0,5
5,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.3983018398284912, 1.4818129539489746]","[1.0, 1.0]","[0.6316359043121338, 1.5309779644012451]","[0.0, 0.0]",0.0,0.0,5.85012674331665,1632858481.299246,0,1,1,1,0.8,0.0,15,12,0,6,"[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",6NRO,6NR,5.0,6
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.2314159870147705, 0.48151588439941406]","[1.0, 1.0]","[0.81473708152771, 0.614764928817749]","[1.0, 1.0]",1.0,1.0,2.69968581199646,1632858489.183084,1,-1,0,-1,1.0,1.0,1,1,0,7,"[0, 0]","[0, 0]","[0, 0]","[15, 13]","[15, 13]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[14, 13]","[0, 13]","[14, 0]",1R,1R,0.0,7
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.2490229606628418, 0.38235902786254883]","[4.0, 4.0]","[0.615731954574585, 0.4994239807128906]","[1.0, 1.0]",1.0,1.0,5.582904100418091,1632858493.5830028,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,8,"[0, 0]","[0, 0]","[0, 0]","[14, 12]","[14, 12]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[13, 12]","[0, 12]","[13, 0]",1NR,1NR,1.0,8
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.1644139289855957, 0.032155752182006836]","[2.0, 4.0]","[0.4819786548614502, 0.24797582626342773]","[1.0, 1.0]",1.0,1.0,4.699536323547363,1632858500.5495548,0,-1,1,-1,0.8181818181818182,1.0,11,9,0,9,"[0, 0]","[0, 0]","[0, 0]","[13, 11]","[13, 11]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[12, 11]","[0, 11]","[12, 0]",1R,1R,2.0,9
9,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.31656980514526367, 0.21636104583740234]","[4.0, 4.0]","[0.6157467365264893, 0.3655829429626465]","[1.0, 1.0]",1.0,1.0,2.7003731727600098,1632858506.7656078,1,-1,0,-1,1.0,1.0,1,1,0,10,"[0, 0]","[0, 0]","[0, 0]","[12, 10]","[12, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[11, 10]","[0, 10]","[11, 0]",1R,1R,3.0,10
10,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.2819242477416992, 0.016515254974365234]","[4.0, 4.0]","[0.4989340305328369, 0.23261618614196777]","[1.0, 1.0]",1.0,1.0,4.882901191711426,1632858510.7160509,0,-1,1,-1,0.5833333333333334,1.0,12,7,0,11,"[0, 0]","[0, 0]","[0, 0]","[11, 9]","[11, 9]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[10, 9]","[0, 9]","[10, 0]",1R,1R,4.0,11
11,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.0, 0.01569509506225586]","[4.0, 4.0]","[0.2976651191711426, 0.08160996437072754]","[1.0, 1.0]",1.0,1.0,3.300323009490967,1632858517.11522,1,-1,0,-1,1.0,1.0,4,4,0,12,"[0, 0]","[0, 0]","[0, 0]","[10, 8]","[10, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 8]","[0, 8]","[9, 0]",1R,1R,5.0,12
12,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.21619892120361328, 0.06704521179199219]","[4.0, 4.0]","[0.4328591823577881, 0.21619892120361328]","[1.0, 1.0]",1.0,1.0,5.848658084869385,1632858521.832612,0,-1,1,-1,0.7333333333333333,0.0,15,11,0,13,"[0, 0]","[0, 0]","[0, 0]","[9, 7]","[9, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 7]","[0, 7]","[8, 0]",1NR,1NR,6.0,13
13,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.2991447448730469, 0.43270277976989746]","[4.0, 4.0]","[0.5492479801177979, 0.6659398078918457]","[1.0, 1.0]",1.0,1.0,3.2995400428771973,1632858529.132594,1,-1,0,-1,1.0,1.0,4,4,0,14,"[0, 0]","[0, 0]","[0, 0]","[8, 6]","[8, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 6]","[0, 6]","[7, 0]",1R,1R,7.0,14
14,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.10034775733947754, 0.0]","[4.0, 4.0]","[0.38359689712524414, 0.2836887836456299]","[1.0, 1.0]",1.0,1.0,5.149883985519409,1632858533.93243,1,-1,0,-1,0.5384615384615384,1.0,13,7,0,15,"[0, 0]","[0, 0]","[0, 0]","[7, 5]","[7, 5]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 5]","[0, 5]","[6, 0]",1R,1R,8.0,15
15,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.29878807067871094, 0.0]","[4.0, 4.0]","[0.51558518409729, 0.19896507263183594]","[0.0, 0.0]",0.0,0.0,5.84942889213562,1632858540.665846,0,-1,1,-1,0.7333333333333333,0.0,15,11,0,16,"[0, 0]","[0, 0]","[0, 0]","[6, 4]","[6, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5, 4]","[0, 4]","[5, 0]",1NR,1NR,9.0,1
16,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.35015416145324707, 1.1501379013061523]","[4.0, 4.0]","[0.5668060779571533, 1.200026035308838]","[0.0, 0.0]",0.0,0.0,5.849456071853638,1632858548.915657,0,-1,1,-1,0.7333333333333333,0.0,15,11,0,17,"[0, 0]","[0, 0]","[0, 0]","[5, 3]","[5, 3]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[4, 3]","[0, 3]","[4, 0]",2NR,2NR,10.0,2
17,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.34871387481689453, 0.0]","[2.0, 4.0]","[0.5987169742584229, 0.3655819892883301]","[0.0, 0.0]",0.0,0.0,5.58284592628479,1632858556.415476,1,-1,0,-1,0.6,0.0,15,9,0,18,"[0, 0]","[0, 0]","[0, 0]","[4, 2]","[4, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 2]","[0, 2]","[3, 0]",3NR,3NR,11.0,3
18,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.2158982753753662, 0.3494541645050049]","[2.0, 4.0]","[0.48269104957580566, 0.4660003185272217]","[0.0, 0.0]",0.0,0.0,5.849419116973877,1632858563.3821,0,-1,1,-1,0.8,0.0,15,12,0,19,"[0, 1]","[0, 1]","[0, 0]","[3, 1]","[3, 1]","[0, 0]","[0, 1]","[0, 1]","[0, 0]","[2, 1]","[0, 1]","[2, 0]",4NR,4NR,12.0,4
19,"[-1.0, 1.0]",-1.0,1.0,1.0,"[0.33261680603027344, 0.04991579055786133]","[1.0, 3.0]","[0.9496407508850098, 1.2485008239746094]","[0.0, 1.0]",0.0,1.0,5.850296974182129,1632858571.731107,0,-1,1,1,0.7333333333333333,0.0,15,11,0,20,"[0, 1]","[0, 0]","[0, 1]","[2, 1]","[2, 0]","[0, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",1NRO,5NR,13.0,5
20,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.3167762756347656, 0.04955315589904785]","[1.0, 2.0]","[0.5831332206726074, 0.3167762756347656]","[0.0, 0.0]",0.0,0.0,5.58287787437439,1632858579.148483,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,21,"[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",1NRG,6NR,14.0,6
21,"[1.0, 1.0]",1.0,1.0,1.0,"[0.3162422180175781, 0.6494829654693604]","[1.0, 2.0]","[0.8161032199859619, 0.9828591346740723]","[1.0, 1.0]",1.0,1.0,3.899507761001587,1632858586.648391,0,1,1,1,0.7142857142857143,1.0,7,5,0,22,"[0, 0]","[0, 0]","[0, 0]","[12, 11]","[0, 0]","[12, 11]","[0, 0]","[0, 0]","[0, 0]","[22, 11]","[22, 0]","[0, 11]",1R,1R,0.0,7
22,"[1.0, 1.0]",1.0,1.0,1.0,"[0.21518206596374512, 0.0]","[4.0, 4.0]","[0.4485599994659424, 0.23197698593139648]","[1.0, 1.0]",1.0,1.0,3.0997321605682373,1632858592.198288,1,1,0,1,1.0,1.0,3,3,0,23,"[0, 0]","[0, 0]","[0, 0]","[11, 10]","[0, 0]","[11, 10]","[0, 0]","[0, 0]","[0, 0]","[21, 10]","[21, 0]","[0, 10]",1R,1R,1.0,8
23,"[1.0, 1.0]",1.0,1.0,1.0,"[0.11657905578613281, 0.0]","[4.0, 4.0]","[0.3324732780456543, 0.21551108360290527]","[1.0, 1.0]",1.0,1.0,3.8833298683166495,1632858596.664447,1,1,0,1,0.8571428571428571,1.0,7,6,0,24,"[0, 0]","[0, 0]","[0, 0]","[10, 9]","[0, 0]","[10, 9]","[0, 0]","[0, 0]","[0, 0]","[20, 9]","[20, 0]","[0, 9]",1R,1R,2.0,9
24,"[1.0, 1.0]",1.0,1.0,1.0,"[0.29990100860595703, 0.0]","[4.0, 4.0]","[0.516416072845459, 0.3495819568634033]","[1.0, 1.0]",1.0,1.0,3.4826760292053223,1632858601.915002,0,1,1,1,0.4,1.0,5,2,0,25,"[0, 0]","[0, 0]","[0, 0]","[9, 8]","[0, 0]","[9, 8]","[0, 0]","[0, 0]","[0, 0]","[19, 8]","[19, 0]","[0, 8]",1R,1R,3.0,10
25,"[1.0, 1.0]",1.0,1.0,1.0,"[0.133469820022583, 0.033590078353881836]","[4.0, 4.0]","[0.41707396507263184, 0.316774845123291]","[1.0, 1.0]",1.0,1.0,3.0825750827789307,1632858606.898407,1,1,0,1,1.0,1.0,3,3,0,26,"[0, 0]","[0, 0]","[0, 0]","[8, 7]","[0, 0]","[8, 7]","[0, 0]","[0, 0]","[0, 0]","[18, 7]","[18, 0]","[0, 7]",1R,1R,4.0,11
26,"[1.0, 1.0]",1.0,1.0,1.0,"[0.03325009346008301, 0.03325009346008301]","[4.0, 4.0]","[0.3320651054382324, 0.14890027046203613]","[1.0, 1.0]",1.0,1.0,4.9003541469573975,1632858611.414652,1,1,0,1,0.6666666666666666,1.0,12,8,0,27,"[0, 0]","[0, 0]","[0, 0]","[7, 6]","[0, 0]","[7, 6]","[0, 0]","[0, 0]","[0, 0]","[17, 6]","[17, 0]","[0, 6]",1R,1R,5.0,12
27,"[1.0, 1.0]",1.0,1.0,1.0,"[0.2668921947479248, 0.03405427932739258]","[4.0, 4.0]","[0.4494950771331787, 0.2337191104888916]","[1.0, 1.0]",1.0,1.0,4.71680212020874,1632858617.597215,0,1,1,1,0.7272727272727273,1.0,11,8,0,28,"[0, 0]","[0, 0]","[0, 0]","[6, 5]","[0, 0]","[6, 5]","[0, 0]","[0, 0]","[0, 0]","[16, 5]","[16, 0]","[0, 5]",1R,1R,6.0,13
28,"[1.0, 1.0]",1.0,1.0,1.0,"[0.2653501033782959, 0.16554498672485352]","[4.0, 4.0]","[0.5321431159973145, 0.41500210762023926]","[1.0, 1.0]",1.0,1.0,2.882884740829468,1632858623.7812731,0,1,1,1,1.0,1.0,2,2,0,29,"[0, 0]","[0, 0]","[0, 0]","[5, 4]","[0, 0]","[5, 4]","[0, 0]","[0, 0]","[0, 0]","[15, 4]","[15, 0]","[0, 4]",1R,1R,7.0,14
29,"[1.0, 1.0]",1.0,1.0,1.0,"[0.5489170551300049, 0.016016006469726562]","[4.0, 4.0]","[1.2492430210113525, 0.19902920722961426]","[1.0, 1.0]",1.0,1.0,5.482555150985718,1632858629.081439,1,1,0,1,0.8,1.0,15,12,0,30,"[0, 0]","[0, 0]","[0, 0]","[4, 3]","[0, 0]","[4, 3]","[0, 0]","[0, 0]","[0, 0]","[14, 3]","[14, 0]","[0, 3]",1R,1R,8.0,15
30,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.41594719886779785, 0.5658259391784668]","[4.0, 4.0]","[0.6493039131164551, 0.6662249565124512]","[0.0, 0.0]",0.0,0.0,5.848165273666382,1632858636.081482,0,1,1,1,0.6666666666666666,0.0,15,10,0,31,"[0, 0]","[0, 0]","[0, 0]","[3, 2]","[0, 0]","[3, 2]","[0, 0]","[0, 0]","[0, 0]","[13, 2]","[13, 0]","[0, 2]",1NR,1NR,9.0,1
31,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.08292770385742188, 0.0]","[2.0, 3.0]","[0.6153779029846191, 0.2822268009185791]","[0.0, 0.0]",0.0,0.0,5.583001136779785,1632858643.630912,1,1,0,1,0.6666666666666666,0.0,15,10,0,32,"[0, 1]","[0, 0]","[0, 1]","[2, 1]","[0, 0]","[2, 1]","[0, 1]","[0, 0]","[0, 1]","[12, 1]","[12, 0]","[0, 1]",2NR,2NR,10.0,2
