,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,Med,10.0,10.0,0.0,0.0,self,1.0,0.0,0.0,2021_06_18,SC
1,1R,Low,6.0,6.0,0.0,0.0,self,1.0,1.0,1.0,2021_06_18,SC
2,1R,Low,4.0,4.0,0.0,0.0,self,1.0,3.0,3.0,2021_06_18,SC
3,1R,Low,8.0,8.0,0.0,0.0,self,1.0,4.0,4.0,2021_06_18,SC
4,1R,Low,5.0,5.0,0.0,0.0,self,1.0,0.0,12.0,2021_06_18,SC
5,1R,Low,4.0,4.0,0.0,0.0,self,1.0,1.0,13.0,2021_06_18,SC
6,1R,Low,3.0,3.0,0.0,0.0,self,1.0,2.0,14.0,2021_06_18,SC
7,1R,Low,6.0,6.0,0.0,0.0,self,1.0,4.0,16.0,2021_06_18,SC
8,1R,Low,1.0,1.0,0.0,0.0,self,1.0,12.0,24.0,2021_06_18,SC
9,1R,Low,5.0,5.0,0.0,1.0,self,0.0,14.0,26.0,2021_06_18,SC
10,1R,Low,6.0,6.0,0.0,0.0,self,1.0,0.0,31.0,2021_06_18,SC
11,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,32.0,2021_06_18,SC
12,1R,Med,11.0,11.0,0.0,0.0,self,1.0,2.0,33.0,2021_06_18,SC
13,1R,Low,2.0,2.0,0.0,0.0,self,1.0,3.0,34.0,2021_06_18,SC
14,1R,Low,5.0,5.0,0.0,0.0,self,1.0,6.0,37.0,2021_06_18,SC
15,1R,High,12.0,12.0,0.0,1.0,self,0.0,10.0,41.0,2021_06_18,SC
16,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,46.0,2021_06_18,SC
17,1R,Low,5.0,5.0,1.0,0.0,self,0.0,1.0,47.0,2021_06_18,SC
18,1R,Low,5.0,5.0,0.0,0.0,self,1.0,3.0,49.0,2021_06_18,SC
19,1R,High,12.0,12.0,0.0,0.0,self,1.0,4.0,50.0,2021_06_18,SC
20,1R,Low,1.0,1.0,1.0,0.0,self,0.0,5.0,51.0,2021_06_18,SC
21,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,55.0,2021_06_18,SC
22,1R,Low,5.0,5.0,0.0,0.0,self,1.0,3.0,58.0,2021_06_18,SC
23,1R,Low,6.0,6.0,0.0,0.0,self,1.0,4.0,59.0,2021_06_18,SC
24,1R,Med,10.0,10.0,0.0,0.0,self,1.0,5.0,60.0,2021_06_18,SC
25,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,68.0,2021_06_18,SC
26,1R,Low,4.0,4.0,0.0,0.0,self,1.0,1.0,69.0,2021_06_18,SC
27,1R,Low,7.0,7.0,0.0,0.0,self,1.0,3.0,71.0,2021_06_18,SC
28,1R,Low,5.0,5.0,0.0,0.0,self,1.0,4.0,72.0,2021_06_18,SC
29,1R,Low,6.0,6.0,0.0,0.0,self,1.0,5.0,73.0,2021_06_18,SC
30,1R,High,13.0,13.0,0.0,0.0,self,1.0,6.0,74.0,2021_06_18,SC
