,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
26,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051556.1457882, 0.0]","[1.0, 0.0]",1.0,0.0,1.7666540145874023,1624051558.745593,1,-1,0,1,1.0,1.0,5,5,0,"[0, 0]"
27,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624051557.646986, 0.0]","[0.0, 1.0]",0.0,1.0,3.8667519092559814,1624051562.2622101,1,-1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
28,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624051563.247046, 0.0]","[0.0, 1.0]",0.0,1.0,3.8665270805358887,1624051567.562229,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
29,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624051568.3290431, 0.0]","[0.0, 1.0]",0.0,1.0,3.8666367530822754,1624051573.062019,1,-1,0,1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
30,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051573.913099, 0.0]","[1.0, 1.0]",1.0,1.0,3.866580009460449,1624051578.5952399,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
31,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051580.996546, 0.0]","[1.0, 1.0]",1.0,1.0,2.3667211532592773,1624051584.011797,1,-1,0,-1,0.75,1.0,8,6,0,"[0, 0]"
32,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051585.0789301, 0.0]","[1.0, 1.0]",1.0,1.0,2.3667027950286865,1624051588.07836,1,-1,0,-1,0.375,1.0,8,3,0,"[0, 0]"
33,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051587.7792408, 0.0]","[1.0, 1.0]",1.0,1.0,3.7664661407470703,1624051591.995164,1,-1,0,-1,0.7333333333333333,1.0,15,11,0,"[0, 0]"
34,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051595.479583, 0.0]","[1.0, 1.0]",1.0,1.0,1.1666460037231445,1624051597.294985,1,-1,0,-1,1.0,1.0,2,2,0,"[0, 0]"
35,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051595.3626068, 0.0]","[1.0, 1.0]",1.0,1.0,3.8667712211608887,1624051599.8940659,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
36,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051600.9289093, 0.0]","[1.0, 1.0]",1.0,1.0,3.88344669342041,1624051605.594767,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
37,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051608.445436, 0.0]","[1.0, 1.0]",1.0,1.0,1.9668231010437012,1624051611.8613539,1,-1,0,-1,0.8333333333333334,1.0,6,5,0,"[0, 0]"
38,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051611.1288252, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666248321533203,1624051615.461332,1,-1,0,-1,0.8,0.0,15,12,0,"[0, 0]"
39,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624051616.228859, 0.0]","[0.0, 1.0]",0.0,1.0,3.8668041229248047,1624051620.694562,1,-1,0,1,0.8,0.0,15,12,0,"[0, 0]"
40,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051621.8118873, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666648864746094,1624051626.2612941,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
41,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051627.6950557, 0.0]","[1.0, 1.0]",1.0,1.0,3.5834262371063232,1624051631.911032,1,-1,0,-1,0.8571428571428571,1.0,14,12,0,"[0, 0]"
42,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624051632.495546, 0.0]","[0.0, 0.0]",0.0,0.0,3.883254051208496,1624051637.144306,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
43,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624051638.0953453, 0.0]","[0.0, 0.0]",0.0,0.0,3.8666207790374756,1624051642.627562,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
44,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624051643.6787975, 0.0]","[0.0, 0.0]",0.0,0.0,3.866828680038452,1624051648.1940942,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
45,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051649.2796352, 0.0]","[1.0, 0.0]",1.0,0.0,3.866006851196289,1624051654.110676,1,-1,0,1,0.4666666666666667,0.0,15,7,0,"[0, 0]"
46,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051655.927551, 0.0]","[1.0, 0.0]",1.0,0.0,2.799981117248535,1624051659.4273438,1,-1,0,1,0.7,1.0,10,7,0,"[0, 0]"
47,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051660.577955, 0.0]","[1.0, 0.0]",1.0,0.0,2.7500240802764893,1624051663.760612,1,-1,0,1,0.5,1.0,10,5,0,"[0, 0]"
48,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624051663.5453753, 0.0]","[0.0, 0.0]",0.0,0.0,3.8831098079681396,1624051667.8439932,1,-1,0,-1,0.6,0.0,15,9,0,"[0, 0]"
49,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051670.760763, 0.0]","[1.0, 0.0]",1.0,0.0,1.750108003616333,1624051673.193717,1,-1,0,1,1.0,1.0,5,5,0,"[0, 0]"
50,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051672.5271688, 0.0]","[1.0, 0.0]",1.0,0.0,3.567432165145874,1624051676.89288,1,-1,0,1,0.8571428571428571,1.0,14,12,0,"[0, 0]"
51,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051680.2112868, 0.0]","[1.0, 0.0]",1.0,0.0,0.9666640758514404,1624051681.660398,1,-1,0,1,1.0,1.0,1,1,0,"[0, 0]"
52,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624051679.3947551, 0.0]","[0.0, 0.0]",0.0,0.0,3.866450786590576,1624051683.793749,1,-1,0,-1,0.9333333333333333,0.0,15,14,0,"[0, 0]"
53,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624051684.9951098, 0.0]","[0.0, 1.0]",0.0,1.0,3.8667311668395996,1624051689.326905,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
54,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624051690.0770047, 0.0]","[0.0, 1.0]",0.0,1.0,3.8842122554779053,1624051694.5925279,1,-1,0,1,0.8,0.0,15,12,0,"[0, 0]"
55,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051697.89378, 0.0]","[1.0, 1.0]",1.0,1.0,1.65106201171875,1624051700.142344,1,-1,0,-1,1.0,1.0,4,4,0,"[0, 0]"
56,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051698.760308, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666880130767822,1624051703.309931,1,-1,0,-1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
57,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051704.3446898, 0.0]","[1.0, 1.0]",1.0,1.0,3.866792917251587,1624051708.876481,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
58,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051711.6612167, 0.0]","[1.0, 1.0]",1.0,1.0,2.149905204772949,1624051714.542919,1,-1,0,-1,0.7142857142857143,1.0,7,5,0,"[0, 0]"
59,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051714.143918, 0.0]","[1.0, 1.0]",1.0,1.0,3.232694149017334,1624051718.059681,1,-1,0,-1,0.5,1.0,12,6,0,"[0, 0]"
60,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051718.861247, 0.0]","[1.0, 1.0]",1.0,1.0,3.616368055343628,1624051723.342985,1,-1,0,-1,0.7142857142857143,1.0,14,10,0,"[0, 0]"
61,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051724.21015, 0.0]","[1.0, 1.0]",1.0,1.0,3.8667778968811035,1624051728.542828,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
62,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624051729.2939382, 0.0]","[0.0, 1.0]",0.0,1.0,3.8832290172576904,1624051733.859457,1,-1,0,1,0.8666666666666667,0.0,15,13,0,"[0, 0]"
63,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624051734.893659, 0.0]","[1.0, 1.0]",1.0,1.0,3.866783857345581,1624051739.792673,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,"[0, 0]"
64,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624051740.9766998, 0.0]","[0.0, 1.0]",0.0,1.0,3.8666391372680664,1624051745.409225,1,-1,0,1,0.7333333333333333,0.0,15,11,0,"[0, 0]"
65,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624051746.576662, 0.0]","[0.0, 1.0]",0.0,1.0,3.866774082183838,1624051751.075841,1,-1,0,1,0.9333333333333333,0.0,15,14,0,"[0, 0]"
66,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624051752.1771443, 0.0]","[0.0, 0.0]",0.0,0.0,3.8667938709259033,1624051756.6924002,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
67,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[-1624051757.7770991, 0.0]","[0.0, 0.0]",0.0,0.0,3.8668007850646973,1624051762.2756631,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,"[0, 0]"
68,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051765.8596258, 0.0]","[1.0, 0.0]",1.0,0.0,1.3833141326904297,1624051767.892315,1,-1,0,1,1.0,1.0,3,3,0,"[0, 0]"
69,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051768.743104, 0.0]","[1.0, 0.0]",1.0,0.0,1.6000940799713135,1624051771.008832,1,-1,0,1,1.0,1.0,4,4,0,"[0, 0]"
70,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051769.559985, 0.0]","[1.0, 0.0]",1.0,0.0,3.8666231632232666,1624051774.1255019,1,-1,0,1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
71,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051776.060111, 0.0]","[1.0, 0.0]",1.0,0.0,2.950059175491333,1624051779.642016,1,-1,0,1,0.6363636363636364,1.0,11,7,0,"[0, 0]"
72,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051781.8269782, 0.0]","[1.0, 0.0]",1.0,0.0,1.7665987014770508,1624051784.2420852,1,-1,0,1,1.0,1.0,5,5,0,"[0, 0]"
73,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051784.458671, 0.0]","[1.0, 0.0]",1.0,0.0,2.200073003768921,1624051787.375242,1,-1,0,1,0.8571428571428571,1.0,7,6,0,"[0, 0]"
74,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624051786.676626, 0.0]","[1.0, 0.0]",1.0,0.0,3.5661191940307617,1624051790.9252968,1,-1,0,1,0.9285714285714286,1.0,14,13,0,"[0, 0]"
