,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
450,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9829380512237549,1.0,2.0,1.0,0.0,0.0,669.0,Lalo,20230215
451,1R,Low,7.0,7.0,0.0,0.0,Observer,2.6994078159332275,1.0,4.0,0.9744817991346624,0.0415179491083153,0.0,671.0,Lalo,20230215
452,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0164051055908203,1.0,5.0,0.8298453139217471,0.0,0.0,672.0,Lalo,20230215
453,1R,Low,4.0,4.0,0.0,0.0,Actor,0.9998037815093994,1.0,6.0,1.0,0.0,0.0,673.0,Lalo,20230215
454,1R,Low,7.0,7.0,0.0,0.0,Actor,1.0165660381317139,1.0,11.0,0.9998645645172826,0.0,0.0,678.0,Lalo,20230215
455,1R,Low,5.0,5.0,0.0,1.0,Observer,0.9835691452026367,-1.0,12.0,0.9106313079539078,0.0,0.0,679.0,Lalo,20230215
456,1R,Low,4.0,4.0,0.0,0.0,Actor,1.016740083694458,1.0,0.0,0.9999863979471076,0.0,0.0,682.0,Lalo,20230215
457,1R,Low,5.0,5.0,0.0,0.0,Actor,1.3842358589172363,1.0,1.0,1.0,0.0,0.0,683.0,Lalo,20230215
458,1R,Low,1.0,1.0,0.0,0.0,Observer,1.8665988445281982,1.0,2.0,1.0,0.0,0.0,684.0,Lalo,20230215
459,1R,Low,5.0,5.0,0.0,0.0,Observer,1.0000629425048828,1.0,4.0,0.9370368010409352,0.0908666665335878,0.0,686.0,Lalo,20230215
460,1R,Low,3.0,3.0,0.0,0.0,Observer,2.5326168537139893,1.0,5.0,0.99934930266847,0.0,0.0,687.0,Lalo,20230215
461,1R,Low,6.0,6.0,0.0,0.0,Observer,1.1833829879760742,1.0,7.0,0.9204951823340076,0.0,0.0,689.0,Lalo,20230215
462,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0002062320709229,1.0,8.0,1.0,0.0,0.0,690.0,Lalo,20230215
463,1R,Med,10.0,10.0,0.0,1.0,Observer,0.9835629463195801,-1.0,9.0,0.9305850412838472,0.1749421800211112,0.0,691.0,Lalo,20230215
464,1R,Low,4.0,4.0,0.0,0.0,Observer,1.3836479187011719,1.0,0.0,0.9999986033224596,0.0,0.0,693.0,Lalo,20230215
465,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9994218349456787,1.0,1.0,0.9105665307107198,0.0,0.0,694.0,Lalo,20230215
466,1R,Low,3.0,3.0,0.0,0.0,Observer,1.000427007675171,1.0,2.0,0.999477624972306,0.0,0.0,695.0,Lalo,20230215
467,1R,Low,2.0,2.0,0.0,0.0,Observer,0.9998068809509277,1.0,3.0,0.9991605518082892,0.0,0.0,696.0,Lalo,20230215
468,1R,Low,3.0,3.0,0.0,0.0,Actor,2.4002151489257812,1.0,4.0,1.0,0.0,0.0,697.0,Lalo,20230215
469,1R,Low,6.0,6.0,0.0,0.0,Actor-incongruent,0.9836618900299072,1.0,6.0,0.998178782029318,0.0,0.0,699.0,Lalo,20230215
470,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0165672302246094,1.0,8.0,0.8562231759656652,0.0,0.0,701.0,Lalo,20230215
471,1R,Low,5.0,5.0,0.0,0.0,Observer,0.9999332427978516,1.0,9.0,0.9999553738399394,0.0,0.0,702.0,Lalo,20230215
472,1R,Low,1.0,1.0,0.0,1.0,Observer,1.0329761505126953,-1.0,10.0,0.9992149957353196,0.0,0.0,703.0,Lalo,20230215
473,1R,Low,1.0,1.0,0.0,0.0,Actor,1.4336669445037842,1.0,0.0,0.999956920811621,0.0,0.0,709.0,Lalo,20230215
474,1R,Low,5.0,5.0,0.0,0.0,Actor,1.3833651542663574,1.0,2.0,1.0,0.0,0.0,711.0,Lalo,20230215
475,1R,Low,6.0,6.0,0.0,0.0,Actor,0.9836699962615967,1.0,3.0,1.0,0.0,0.0,712.0,Lalo,20230215
476,1R,Low,2.0,2.0,0.0,0.0,Actor-incongruent,1.517176866531372,1.0,4.0,0.8485663082437276,0.1586021505376344,0.0,713.0,Lalo,20230215
477,1R,Low,1.0,1.0,0.0,0.0,Observer,0.983177900314331,1.0,0.0,0.9991003466839016,0.0,0.0,716.0,Lalo,20230215
478,1R,Low,5.0,5.0,0.0,0.0,Actor,0.9827547073364258,1.0,1.0,1.0,0.0,0.0,717.0,Lalo,20230215
479,1R,Low,8.0,8.0,0.0,0.0,Observer,0.9828760623931885,1.0,2.0,0.9644767967183268,0.0,0.0,718.0,Lalo,20230215
480,1R,Low,7.0,7.0,0.0,0.0,Actor,1.00003981590271,1.0,3.0,0.9998316157876724,0.0,0.0,719.0,Lalo,20230215
481,1R,Low,5.0,5.0,0.0,0.0,Actor,0.9833762645721436,1.0,4.0,1.0,0.0,0.0,720.0,Lalo,20230215
482,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0008039474487305,1.0,5.0,1.0,0.0,0.0,721.0,Lalo,20230215
483,1R,Low,2.0,2.0,0.0,0.0,Observer,1.016643762588501,1.0,6.0,1.0,0.0,0.0,722.0,Lalo,20230215
484,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0170152187347412,1.0,7.0,0.8007662835249042,0.0,0.0,723.0,Lalo,20230215
485,1R,Low,1.0,1.0,0.0,0.0,Actor,1.033754825592041,1.0,8.0,0.9989866488559972,0.0,0.0,724.0,Lalo,20230215
486,1R,Low,2.0,2.0,0.0,0.0,Observer,1.1004011631011963,1.0,9.0,0.9992812344449264,0.0,0.0,725.0,Lalo,20230215
487,1R,Med,9.0,9.0,0.0,0.0,Observer-incongruent,2.166440963745117,1.0,11.0,0.6569476956481788,0.3347906525899373,0.0,727.0,Lalo,20230215
488,1R,Low,6.0,6.0,0.0,1.0,Actor,1.0004699230194092,-1.0,12.0,0.9476141438303743,0.0,0.0,728.0,Lalo,20230215
489,1R,Low,4.0,4.0,0.0,0.0,Actor,1.183518886566162,1.0,0.0,1.0,0.0,0.0,731.0,Lalo,20230215
490,1R,Low,7.0,7.0,0.0,0.0,Observer,1.0338468551635742,1.0,1.0,0.9866099031923716,0.1045841684580778,0.0,732.0,Lalo,20230215
491,1R,Low,3.0,3.0,0.0,0.0,Observer,1.0500307083129883,1.0,2.0,1.0,0.0,0.0,733.0,Lalo,20230215
492,1R,Low,6.0,6.0,0.0,0.0,Actor,1.033160924911499,1.0,3.0,1.0,0.1838095238095238,0.0,734.0,Lalo,20230215
493,1R,Low,6.0,6.0,0.0,0.0,Observer,1.0333781242370605,1.0,4.0,1.0,0.0,0.0,735.0,Lalo,20230215
494,1R,Low,2.0,2.0,0.0,0.0,Observer,1.383052110671997,1.0,5.0,1.0,0.0,0.0,736.0,Lalo,20230215
495,1R,Low,1.0,1.0,0.0,0.0,Actor,1.7669131755828857,1.0,6.0,0.9994911679815618,0.0,0.0,737.0,Lalo,20230215
496,1R,Low,8.0,8.0,0.0,1.0,Actor,1.0167288780212402,-1.0,8.0,1.0,0.0,0.0,739.0,Lalo,20230215
497,1R,Low,6.0,6.0,0.0,0.0,Actor-incongruent,1.0505139827728271,1.0,0.0,0.9343564547470854,0.0674777121776575,0.0,741.0,Lalo,20230215
498,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0171630382537842,1.0,1.0,0.9983831293497238,0.0,0.0,742.0,Lalo,20230215
499,1R,Med,9.0,9.0,0.0,0.0,Actor,1.0333240032196045,1.0,3.0,0.9945442875481386,0.0,0.0,744.0,Lalo,20230215
500,1R,Low,2.0,2.0,0.0,0.0,Actor,0.999993085861206,1.0,4.0,0.7862190812720848,0.0,0.0,745.0,Lalo,20230215
501,1R,Med,10.0,10.0,0.0,0.0,Observer,1.0163531303405762,1.0,5.0,1.0,0.0,0.0,746.0,Lalo,20230215
502,1R,Low,3.0,3.0,0.0,0.0,Actor,1.0500578880310059,1.0,6.0,1.0,0.0,0.0,747.0,Lalo,20230215
503,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9831812381744385,1.0,7.0,0.9997716693276396,0.0,0.0,748.0,Lalo,20230215
504,1R,Low,1.0,1.0,0.0,0.0,Observer,1.017021894454956,1.0,8.0,0.9866123188418928,0.0,0.0,749.0,Lalo,20230215
505,1R,Med,9.0,9.0,0.0,0.0,Actor,1.032392978668213,1.0,9.0,0.9998686602585244,0.0,0.0,750.0,Lalo,20230215
506,1R,Low,7.0,7.0,0.0,1.0,Observer,1.0164449214935303,-1.0,10.0,0.9999489756561454,0.0,0.0,751.0,Lalo,20230215
507,1R,Low,3.0,3.0,0.0,0.0,Observer,1.3331220149993896,1.0,0.0,0.9519834616951957,0.0111669614275096,0.0,754.0,Lalo,20230215
508,1R,Low,6.0,6.0,0.0,0.0,Actor,0.9839198589324951,1.0,1.0,0.9999168875143964,0.0,0.0,755.0,Lalo,20230215
509,1R,Low,2.0,2.0,0.0,0.0,Actor,1.3829801082611084,1.0,2.0,0.9998511970826832,0.0,0.0,756.0,Lalo,20230215
510,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0167663097381592,1.0,3.0,1.0,0.0,0.0,757.0,Lalo,20230215
511,1R,Med,9.0,9.0,0.0,0.0,Observer,1.049828052520752,1.0,4.0,1.0,0.004313725490196,0.0,758.0,Lalo,20230215
512,1R,Low,1.0,1.0,0.0,0.0,Actor,0.983273983001709,1.0,5.0,1.0,0.0,0.0,759.0,Lalo,20230215
513,1R,Low,8.0,8.0,0.0,0.0,Observer,0.9828550815582275,1.0,6.0,1.0,0.0,0.0,760.0,Lalo,20230215
514,1R,Low,3.0,3.0,0.0,0.0,Actor,1.1334378719329834,1.0,7.0,1.0,0.0,0.0,761.0,Lalo,20230215
515,1R,Low,8.0,8.0,0.0,1.0,Actor,1.0662789344787598,-1.0,8.0,1.0,0.0,0.0,762.0,Lalo,20230215
516,1R,Low,1.0,1.0,0.0,0.0,Actor,1.116697072982788,1.0,0.0,1.0,0.0,0.0,765.0,Lalo,20230215
517,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0170371532440186,1.0,1.0,1.0,0.0,0.0,766.0,Lalo,20230215
518,1R,Low,8.0,8.0,0.0,0.0,Actor,1.3007879257202148,1.0,2.0,0.9041772233908816,0.0,0.0,767.0,Lalo,20230215
519,1R,Low,5.0,5.0,0.0,0.0,Observer,1.0165958404541016,1.0,4.0,1.0,0.0,0.0,769.0,Lalo,20230215
520,1R,Low,2.0,2.0,0.0,0.0,Actor,1.016646146774292,1.0,5.0,0.9996898414382078,0.0,0.0,770.0,Lalo,20230215
521,1R,Low,2.0,2.0,0.0,0.0,Observer,0.9998378753662109,1.0,6.0,0.9991460931605288,0.0,0.0,771.0,Lalo,20230215
522,1R,Low,6.0,6.0,0.0,0.0,Actor,1.1491949558258057,1.0,8.0,0.9327801995918836,0.0,0.0,773.0,Lalo,20230215
523,1R,Low,5.0,5.0,0.0,0.0,Observer,1.0002222061157227,1.0,9.0,1.0,0.0,0.0,774.0,Lalo,20230215
524,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0164060592651367,1.0,10.0,0.7815727172221539,0.0,0.0,775.0,Lalo,20230215
525,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0502490997314453,1.0,0.0,0.9997003731077144,0.0,0.0,778.0,Lalo,20230215
526,1R,Low,2.0,2.0,0.0,0.0,Actor,1.066457748413086,1.0,2.0,0.9997357020552649,0.0,0.0,780.0,Lalo,20230215
527,1R,Low,1.0,1.0,0.0,0.0,Observer,1.5502221584320068,1.0,3.0,0.9179002372907062,0.0100068410408302,0.0,781.0,Lalo,20230215
528,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9834868907928467,1.0,4.0,0.997964934076448,0.0,0.0,782.0,Lalo,20230215
529,1R,Med,10.0,10.0,0.0,0.0,Actor,1.382714033126831,1.0,5.0,0.979909758805293,0.0,0.0,783.0,Lalo,20230215
530,1R,Low,6.0,6.0,0.0,0.0,Actor,1.017117977142334,1.0,6.0,0.9997611118835444,0.0,0.0,784.0,Lalo,20230215
531,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0004870891571045,1.0,7.0,1.0,0.0,0.0,785.0,Lalo,20230215
532,1R,Low,7.0,7.0,0.0,0.0,Actor,1.0164709091186523,1.0,8.0,0.999939750913857,0.0,0.0,786.0,Lalo,20230215
533,1R,Low,2.0,2.0,0.0,0.0,Actor-incongruent,1.033829927444458,1.0,9.0,0.8852740668759882,0.1218732941014744,0.0,787.0,Lalo,20230215
534,1R,Low,1.0,1.0,1.0,0.0,Observer-incongruent,1.1005470752716064,-1.0,12.0,0.6858130194034278,0.3255052838362537,0.0,790.0,Lalo,20230215
535,1R,Low,2.0,2.0,0.0,1.0,Observer-incongruent,3.1331050395965576,-1.0,13.0,1.0,0.0,0.0,791.0,Lalo,20230215
536,1R,Med,10.0,10.0,0.0,0.0,Observer,1.0168607234954834,1.0,0.0,1.0,0.0,0.0,794.0,Lalo,20230215
537,1R,Low,1.0,1.0,0.0,0.0,Observer,1.1333708763122559,1.0,1.0,0.4028511069294945,0.6221134804634741,0.0,795.0,Lalo,20230215
538,1R,Low,2.0,2.0,0.0,0.0,Observer,1.1000468730926514,1.0,2.0,0.9995818742409928,0.0,0.0,796.0,Lalo,20230215
539,1R,Med,10.0,10.0,0.0,0.0,Observer,1.2326650619506836,1.0,3.0,0.1829741985501239,0.7820840029456725,0.0,797.0,Lalo,20230215
