,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,total_polls,touched_polls,trial_aborted,trial_duration
122,122,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1671040101.595316,187,1,0,-1,1,0.15,0.5,0.7491841316223145,1.0,4,2,0,4.584014177322388
123,123,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040108.910964,131,1,0,-1,-1,0.15,0.5,0.7496402263641357,1.0,4,2,0,3.6333391666412354
124,124,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040116.227728,137,0,1,-1,-1,0.15,0.6666666666666666,0.7497532367706299,1.0,6,4,0,4.400379180908203
125,125,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040123.7767098,108,1,0,-1,-1,0.15,0.6428571428571429,0.7496547698974609,1.0,14,9,0,6.567239761352539
126,126,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040135.42648,188,0,1,-1,-1,0.15,0.8,0.7503130435943604,1.0,5,4,0,4.983874082565308
127,127,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040142.7920132,112,0,1,-1,-1,0.15,0.9333333333333333,0.7493259906768799,0.0,15,14,0,6.966314077377319
128,128,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040153.641491,119,1,0,-1,-1,0.15,1.0,0.749931812286377,1.0,1,1,0,2.4678540229797363
129,129,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040161.474132,228,0,1,-1,-1,0.15,0.5,0.7498471736907959,1.0,2,1,0,4.583601951599121
130,130,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040168.656877,166,0,1,-1,-1,0.15,0.8,0.7492918968200684,1.0,15,12,0,7.965892791748047
131,131,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671040181.1404102,211,0,1,-1,1,0.15,0.5555555555555556,0.749547004699707,1.0,9,5,0,6.649480104446411
132,132,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671040190.722383,163,0,1,-1,1,0.15,0.5,0.7502360343933105,1.0,2,1,0,3.551063060760498
133,133,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671040197.122654,119,1,0,1,-1,0.15,0.6666666666666666,0.7503840923309326,1.0,3,2,0,3.134077787399292
134,134,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040203.820766,118,1,0,1,1,0.15,1.0,0.7501771450042725,1.0,9,9,0,5.199598073959351
135,135,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040212.604537,113,1,0,1,1,0.15,0.25,0.7495498657226562,1.0,4,1,0,3.333505153656006
136,136,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040219.6034229,118,0,1,1,1,0.15,0.8,0.7489428520202637,1.0,5,4,0,3.748854160308838
137,137,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040227.1532302,129,0,1,1,1,0.15,1.0,0.7499840259552002,1.0,5,5,0,3.9163858890533447
138,138,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040234.6191518,125,1,0,1,1,0.15,0.6666666666666666,0.7497491836547852,1.0,3,2,0,3.3493010997772217
139,139,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040241.368423,112,1,0,1,1,0.15,0.8,0.7501680850982666,1.0,10,8,0,5.300413131713867
140,140,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040250.5507991,124,0,1,1,1,0.15,0.8333333333333334,0.7498950958251953,1.0,12,10,0,6.166455984115601
141,141,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040260.1503959,108,1,0,1,1,0.15,0.6666666666666666,0.7498488426208496,0.0,15,10,0,6.91718602180481
142,142,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040271.800537,167,1,0,1,1,0.15,1.0,0.7487330436706543,1.0,2,2,0,3.550185203552246
143,143,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040278.099095,116,1,0,1,1,0.15,0.6,0.7496709823608398,1.0,10,6,0,5.517635107040405
144,144,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040287.21504,111,0,1,1,1,0.15,0.75,0.7495448589324951,1.0,4,3,0,3.284583806991577
145,145,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040294.181772,117,1,0,1,1,0.15,0.75,0.7498018741607666,1.0,4,3,0,3.3839497566223145
146,146,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040301.1145458,114,0,1,1,1,0.15,0.5333333333333333,0.749488115310669,0.0,15,8,0,6.999401330947876
147,147,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040312.663669,162,1,0,1,1,0.15,0.8333333333333334,0.7500369548797607,1.0,12,10,0,6.816577911376953
148,148,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671040323.080391,153,0,1,-1,1,0.0,0.6666666666666666,0.7497482299804688,0.0,15,10,0,7.849346160888672
149,149,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040334.046531,113,0,1,-1,-1,0.0,0.6666666666666666,0.7494308948516846,0.0,15,10,0,7.032676935195923
150,150,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040346.094996,189,0,1,-1,-1,0.15,0.9230769230769231,0.7499940395355225,1.0,13,12,0,7.582633018493652
151,151,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040356.744256,146,1,0,-1,-1,0.15,0.6666666666666666,0.7483799457550049,1.0,6,4,0,4.5336997509002686
152,152,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040365.9436128,206,1,0,-1,-1,0.15,0.6666666666666666,0.7493710517883301,1.0,9,6,0,6.549943923950195
153,153,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040374.975992,132,0,1,-1,-1,0.15,1.0,0.7497239112854004,1.0,4,4,0,3.634530782699585
154,154,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040381.80878,108,0,1,-1,-1,0.15,1.0,0.7493278980255127,1.0,1,1,0,2.3009989261627197
155,155,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671040388.176754,139,0,1,-1,1,0.15,0.8,0.7494592666625977,0.0,15,12,0,7.432624340057373
156,156,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671040399.1750882,127,1,0,1,-1,0.0,0.8666666666666667,0.750359058380127,0.0,15,13,0,7.266916990280151
157,157,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040410.574215,149,1,0,1,1,0.0,0.6666666666666666,0.7496402263641357,0.0,15,10,0,7.799934148788452
158,158,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040421.839267,130,0,1,1,1,0.0,0.6,0.7499630451202393,0.0,15,9,0,7.466587066650391
159,159,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040432.838562,116,0,1,1,1,0.0,0.5333333333333333,0.750140905380249,0.0,15,8,0,7.0667078495025635
160,160,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1671040443.537409,108,1,0,-1,1,0.15,0.5,0.749600887298584,1.0,2,1,0,2.5670928955078125
161,161,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040449.87044,120,0,1,-1,-1,0.0,0.9333333333333333,0.7488548755645752,0.0,15,14,0,7.1148810386657715
162,162,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040461.2031941,149,1,0,-1,-1,0.0,0.6666666666666666,0.7493009567260742,0.0,15,10,0,7.599203109741211
163,163,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671040471.870593,107,1,0,1,-1,0.15,1.0,0.749586820602417,1.0,2,2,0,2.5508339405059814
164,164,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040478.269513,124,1,0,1,1,0.15,0.8,0.7497031688690186,0.0,15,12,0,7.183158874511719
165,165,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671040489.118892,118,0,1,-1,1,0.0,0.7333333333333333,0.7497100830078125,0.0,15,11,0,7.2827980518341064
166,166,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040503.167061,298,0,1,1,1,0.15,0.5,0.7500050067901611,1.0,12,6,0,9.216622114181519
167,167,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040514.316266,182,1,0,1,1,0.15,1.0,0.7495579719543457,0.0,15,15,0,8.200412273406982
168,168,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040525.631979,141,1,0,1,1,0.15,0.6666666666666666,0.750373125076294,1.0,6,4,0,4.467767000198364
169,169,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040533.365728,119,0,1,1,1,0.15,1.0,0.7508149147033691,1.0,1,1,0,2.501405954360962
170,170,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040539.2812202,110,1,0,1,1,0.15,1.0,0.7495028972625732,1.0,3,3,0,2.933210849761963
171,171,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040545.864515,115,1,0,1,1,0.15,0.6,0.7501869201660156,0.0,15,9,0,7.066759824752808
172,172,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671040556.7810712,122,0,1,-1,1,0.0,0.7333333333333333,0.7492570877075195,0.0,15,11,0,7.148845911026001
173,173,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040569.245574,215,0,1,1,1,0.15,1.0,0.7496728897094727,1.0,1,1,0,4.101577997207642
174,174,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1671040575.396127,121,1,0,-1,1,0.15,0.75,0.7496597766876221,1.0,4,3,0,3.5171127319335938
175,175,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040583.244832,165,0,1,-1,-1,0.15,1.0,0.750236988067627,1.0,1,1,0,3.2502527236938477
176,176,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671040589.4456031,127,1,0,1,-1,0.0,0.5333333333333333,0.7501721382141113,0.0,15,8,0,7.2352190017700195
177,177,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671040600.311311,118,1,0,1,-1,0.0,0.6666666666666666,0.7500998973846436,0.0,15,10,0,7.099658966064453
178,178,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040611.292917,126,1,0,-1,-1,0.15,1.0,0.7497091293334961,1.0,2,2,0,2.8663899898529053
179,179,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040617.592936,118,1,0,-1,-1,0.15,0.9333333333333333,0.7493009567260742,0.0,15,14,0,7.283145904541016
180,180,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671040628.892854,134,0,1,-1,1,0.15,0.7777777777777778,0.7490711212158203,1.0,9,7,0,5.382189035415649
181,181,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040638.457524,164,1,0,1,1,0.0,0.7333333333333333,0.7495310306549072,0.0,15,11,0,7.916287899017334
182,182,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040649.724523,138,0,1,1,1,0.0,0.6,0.7502529621124268,0.0,15,9,0,7.466764688491821
183,183,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040660.6731179,121,1,0,1,1,0.0,0.6666666666666666,0.750067949295044,0.0,15,10,0,7.117491006851196
184,184,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040671.488791,117,1,0,-1,-1,0.15,0.5333333333333333,0.7660548686981201,0.0,15,8,0,7.2660298347473145
185,185,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040683.121228,155,1,0,-1,-1,0.15,0.5,0.7494399547576904,1.0,14,7,0,7.367172718048096
186,186,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040693.7880251,126,1,0,-1,-1,0.0,0.8666666666666667,0.7498879432678223,0.0,15,13,0,7.416406869888306
187,187,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040706.1534379,198,1,0,1,1,0.15,1.0,0.7492220401763916,1.0,3,3,0,4.449758052825928
188,188,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040712.7362509,108,0,1,1,1,0.15,0.6666666666666666,0.7494630813598633,0.0,15,10,0,7.11701512336731
189,189,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040723.735412,116,1,0,1,1,0.15,0.75,0.750708818435669,1.0,8,6,0,4.717495918273926
190,190,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040731.984958,110,0,1,1,1,0.15,0.6666666666666666,0.7494540214538574,1.0,3,2,0,2.9336369037628174
191,191,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040738.467336,109,1,0,1,1,0.15,1.0,0.7496051788330078,1.0,4,4,0,3.26767897605896
192,192,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040745.283725,107,1,0,1,1,0.15,1.0,0.74957275390625,1.0,2,2,0,2.583568811416626
193,193,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040751.433204,107,0,1,1,1,0.15,0.7333333333333333,0.7494709491729736,0.0,15,11,0,6.900044202804565
194,194,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040762.216183,115,1,0,1,1,0.15,0.6666666666666666,0.7495391368865967,1.0,3,2,0,3.017454147338867
195,195,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040768.665556,107,0,1,1,1,0.15,0.7333333333333333,0.7499120235443115,0.0,15,11,0,7.0442259311676025
196,196,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671040779.6938329,121,0,1,-1,1,0.0,0.6666666666666666,0.7492811679840088,0.0,15,10,0,7.132087230682373
197,197,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671040793.659828,306,1,0,1,-1,0.15,0.5,0.7494070529937744,1.0,4,2,0,6.684786081314087
198,198,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040800.77513,107,1,0,1,1,0.0,0.6666666666666666,0.7497661113739014,0.0,15,10,0,6.883551836013794
199,199,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671040812.9753711,201,0,1,-1,1,0.15,0.625,0.7497522830963135,1.0,8,5,0,6.184018135070801
200,200,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040822.2568629,163,1,0,-1,-1,0.15,0.7777777777777778,0.7498323917388916,1.0,9,7,0,5.833977222442627
201,201,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040831.1064289,123,0,1,-1,-1,0.15,1.0,0.7497222423553467,1.0,8,8,0,4.816415071487427
202,202,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671040840.0891678,153,1,0,-1,-1,0.15,0.5333333333333333,0.7494416236877441,0.0,15,8,0,7.683045864105225
203,203,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671040850.906346,113,1,0,1,-1,0.0,0.7333333333333333,0.7499861717224121,0.0,15,11,0,7.001936197280884
204,204,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040861.787816,121,0,1,1,1,0.0,0.7333333333333333,0.749788761138916,0.0,15,11,0,7.168170928955078
205,205,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671040874.620501,236,0,1,1,1,0.0,0.8666666666666667,0.7497408390045166,0.0,15,13,0,9.049519062042236
206,206,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671040903.018878,1165,0,1,-1,1,0.15,0.6,0.7496058940887451,1.0,5,3,0,21.215792894363403
207,207,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671041005.328468,266,0,1,1,1,0.0,0.7333333333333333,0.7483730316162109,0.0,15,11,0,9.732218980789185
208,208,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671043863.3605912,155,0,1,1,1,0.15,0.6666666666666666,0.74993896484375,1.0,3,2,0,3.7002382278442383
209,209,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671043869.894303,108,0,1,1,1,0.15,0.6363636363636364,0.7496261596679688,1.0,11,7,0,5.584141254425049
210,210,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671043879.3267531,118,1,0,1,-1,0.15,0.8,0.7500710487365723,1.0,5,4,0,3.733550786972046
211,211,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671043886.908801,133,0,1,-1,-1,0.0,0.8666666666666667,0.7495298385620117,0.0,15,13,0,7.3493897914886475
212,212,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1671043897.84331,123,1,0,-1,1,0.0,0.6666666666666666,0.7485651969909668,0.0,15,10,0,7.249178171157837
213,213,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1671043908.642356,111,0,1,1,-1,0.15,0.6666666666666666,0.7505791187286377,1.0,3,2,0,2.9673831462860107
214,214,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671043915.156981,109,0,1,1,1,0.15,0.8666666666666667,0.7502918243408203,0.0,15,13,0,6.949895143508911
215,215,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671043926.289453,135,1,0,1,1,0.15,0.6923076923076923,0.7494549751281738,1.0,13,9,0,6.6832709312438965
216,216,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671043936.3557818,114,1,0,1,1,0.15,0.7272727272727273,0.7491497993469238,1.0,11,8,0,5.682389974594116
217,217,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671043945.789644,118,0,1,-1,1,0.0,0.8666666666666667,0.7496960163116455,0.0,15,13,0,7.06665301322937
218,218,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671043957.020776,143,1,0,1,1,0.0,0.7333333333333333,0.750575065612793,0.0,15,11,0,7.5000059604644775
219,219,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671043967.704352,108,0,1,-1,1,0.15,1.0,0.7489728927612305,1.0,1,1,0,2.232912063598633
220,220,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671043974.6697202,179,0,1,-1,-1,0.15,0.8666666666666667,0.7493751049041748,0.0,15,13,0,8.09951901435852
221,221,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671043985.8686771,137,0,1,1,1,0.0,0.8666666666666667,0.7492010593414307,0.0,15,13,0,7.4833879470825195
222,222,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671043997.31879,149,1,0,1,-1,0.0,0.7333333333333333,0.7492532730102539,0.0,15,11,0,7.582556247711182
223,223,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671044008.167825,118,1,0,-1,-1,0.15,0.8,0.7494518756866455,1.0,5,4,0,3.733489990234375
224,224,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671044015.583508,122,1,0,-1,-1,0.15,1.0,0.7500412464141846,1.0,1,1,0,2.4673900604248047
225,225,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1671044021.666873,124,1,0,-1,1,0.15,0.8,0.7495479583740234,0.0,15,12,0,7.365128993988037
226,226,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671044034.482046,225,0,1,1,1,0.0,0.7333333333333333,0.7492642402648926,0.0,15,11,0,8.88308310508728
227,227,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671044055.114175,699,1,0,1,1,0.0,0.8,0.7507948875427246,0.0,15,12,0,16.749579668045044
228,228,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671044066.447813,120,1,0,1,-1,0.0,0.8,0.7501599788665771,0.0,15,12,0,7.100888967514038
229,229,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671044077.230657,115,0,1,-1,1,0.0,0.8666666666666667,0.7501559257507324,0.0,15,13,0,7.049079895019531
230,230,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671044087.8954828,107,0,1,-1,-1,0.0,0.8,0.7496325969696045,0.0,15,12,0,6.915781736373901
231,231,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671044098.8110662,123,0,1,-1,-1,0.0,0.7333333333333333,0.7497470378875732,0.0,15,11,0,7.149708032608032
232,232,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671044109.71052,123,0,1,1,1,0.15,0.8333333333333334,0.7491250038146973,1.0,6,5,0,4.1497650146484375
233,233,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671044117.4766011,121,1,0,1,1,0.15,0.8,0.7502751350402832,0.0,15,12,0,7.182543039321899
234,234,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1671044128.343201,116,0,1,1,-1,0.15,1.0,0.7484710216522217,1.0,6,6,0,4.048635959625244
235,235,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1671044136.076736,120,1,0,-1,1,0.0,0.6,0.7498960494995117,0.0,15,9,0,7.149847030639648
236,236,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671044147.2406569,136,0,1,1,1,0.15,0.6666666666666666,0.7500851154327393,1.0,3,2,0,3.3673911094665527
237,237,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671044153.874439,116,0,1,1,1,0.15,0.5555555555555556,0.7498228549957275,1.0,9,5,0,5.0498011112213135
238,238,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671044162.456458,107,0,1,1,1,0.15,1.0,0.7496278285980225,1.0,3,3,0,2.900106906890869
239,239,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671044169.889445,164,0,1,1,1,0.15,0.6,0.7502081394195557,0.0,15,9,0,8.033181190490723
240,240,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671044180.82189,110,1,0,1,1,0.15,0.5714285714285714,0.7499179840087891,1.0,7,4,0,4.29950213432312
241,241,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671044188.738234,109,1,0,1,1,0.0,0.7333333333333333,0.7491540908813477,0.0,15,11,0,6.933471918106079
242,242,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671044199.6058822,120,1,0,1,-1,0.0,0.6,0.7496588230133057,0.0,15,9,0,7.099560022354126
243,243,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671044211.086265,159,0,1,-1,-1,0.15,0.9,0.7484087944030762,1.0,10,9,0,6.098765850067139
244,244,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671044220.3530428,126,1,0,-1,-1,0.15,0.8333333333333334,0.7497599124908447,1.0,6,5,0,4.216306924819946
245,245,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671044227.8683798,107,0,1,-1,-1,0.15,0.6,0.7500820159912109,1.0,5,3,0,3.5504908561706543
246,246,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671044235.084948,111,1,0,-1,-1,0.15,0.5,0.7498788833618164,1.0,8,4,0,4.633217811584473
247,247,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671044243.934655,145,1,0,-1,-1,0.15,0.875,0.749122142791748,1.0,8,7,0,5.217121124267578
248,248,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671044252.2003992,109,1,0,-1,-1,0.15,1.0,0.7499227523803711,1.0,1,1,0,2.28375506401062
249,249,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1671044260.267757,243,1,0,-1,1,0.15,0.7142857142857143,0.7499210834503174,1.0,7,5,0,6.5172319412231445
250,250,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1671044268.9663591,149,1,0,-1,1,0.15,0.7333333333333333,0.7497296333312988,0.0,15,11,0,7.617294788360596
