,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,total_polls,touched_polls,trial_aborted,trial_duration
28,28,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036714.344088,120,1,0,1,1,0.15,0.75,0.7484650611877441,1.0,4,3,0,3.4496729373931885
29,29,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036721.359883,119,0,1,1,1,0.15,0.8666666666666667,0.749824047088623,0.0,15,13,0,7.283756971359253
30,30,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671036732.6101508,132,0,1,-1,1,0.0,0.7333333333333333,0.7499740123748779,0.0,15,11,0,7.399140119552612
31,31,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671036743.6082969,122,1,0,-1,-1,0.0,0.4666666666666667,0.7493550777435303,0.0,15,7,0,7.132488012313843
32,32,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671036755.07372,158,1,0,-1,-1,0.0,0.9333333333333333,0.7498700618743896,0.0,15,14,0,7.8172101974487305
33,33,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671036765.890034,110,1,0,-1,-1,0.0,0.6,0.7492427825927734,0.0,15,9,0,7.132669925689697
34,34,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671036776.890303,117,1,0,-1,-1,0.0,0.7333333333333333,0.7497920989990234,0.0,15,11,0,7.050310373306274
35,35,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671036787.7727559,121,0,1,-1,1,0.0,0.6666666666666666,0.7495810985565186,0.0,15,10,0,7.331878185272217
36,36,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036798.871253,122,0,1,1,1,0.15,1.0,0.7502789497375488,1.0,1,1,0,2.5173449516296387
37,37,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036804.804029,113,0,1,1,1,0.15,0.6666666666666666,0.749722957611084,1.0,6,4,0,3.9844748973846436
38,38,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036812.353468,110,1,0,1,1,0.15,0.8461538461538461,0.7499301433563232,1.0,13,11,0,6.317113161087036
39,39,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671036822.436357,114,0,1,1,1,0.0,0.9333333333333333,0.7497348785400391,0.0,15,14,0,7.1830761432647705
40,40,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671036833.43564,118,0,1,1,1,0.0,0.6666666666666666,0.74965500831604,0.0,15,10,0,7.199105978012085
41,41,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671036844.2690291,111,0,1,-1,1,0.15,0.5,0.7500619888305664,1.0,2,1,0,2.6662778854370117
42,42,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671036851.1176581,148,0,1,-1,-1,0.15,0.5,0.7494189739227295,1.0,10,5,0,5.916179895401001
43,43,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671036860.3670819,126,1,0,-1,-1,0.15,0.6666666666666666,0.7496891021728516,1.0,15,10,0,7.217543125152588
44,44,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671036871.166942,116,0,1,-1,-1,0.15,0.875,0.7485649585723877,1.0,8,7,0,4.715481281280518
45,45,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671036879.4822552,113,0,1,-1,-1,0.15,0.6666666666666666,0.7498819828033447,1.0,3,2,0,3.016904830932617
46,46,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671036886.4822452,137,1,0,-1,-1,0.15,0.5714285714285714,0.7500369548797607,1.0,7,4,0,4.716994047164917
47,47,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671036894.647351,124,1,0,-1,-1,0.15,0.75,0.7493760585784912,1.0,4,3,0,3.5665111541748047
48,48,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671036901.897244,128,1,0,-1,-1,0.15,0.5,0.7501301765441895,1.0,2,1,0,2.900736093521118
49,49,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671036908.214387,119,1,0,-1,-1,0.15,0.4,0.749117374420166,1.0,5,2,0,3.750113010406494
50,50,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671036916.146365,153,1,0,-1,-1,0.15,0.5,0.748917818069458,1.0,2,1,0,3.4003098011016846
51,51,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671036922.829407,134,1,0,-1,-1,0.15,1.0,0.7489919662475586,1.0,1,1,0,2.666073799133301
52,52,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671036929.011652,131,1,0,-1,-1,0.0,0.7333333333333333,0.7487387657165527,0.0,15,11,0,7.282610893249512
53,53,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036940.2612648,142,1,0,1,1,0.15,0.8666666666666667,0.7498230934143066,0.0,15,13,0,7.516364812850952
54,54,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036951.210644,122,1,0,1,1,0.15,1.0,0.7492117881774902,1.0,1,1,0,2.4666988849639893
55,55,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036957.19349,119,0,1,1,1,0.15,0.7272727272727273,0.7502861022949219,1.0,11,8,0,5.816854238510132
56,56,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036966.6927302,118,1,0,1,1,0.15,0.7142857142857143,0.7495570182800293,1.0,7,5,0,4.40028715133667
57,57,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671036974.7766662,120,0,1,1,1,0.15,0.7333333333333333,0.749427080154419,0.0,15,11,0,7.299278974533081
58,58,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671036985.610142,107,0,1,-1,1,0.0,0.9333333333333333,0.74969482421875,0.0,15,14,0,6.917061805725098
59,59,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671036996.374738,113,1,0,1,-1,0.15,0.7333333333333333,0.7500040531158447,0.0,15,11,0,7.001461982727051
60,60,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1671037007.2742772,124,0,1,1,-1,0.15,1.0,0.7495269775390625,1.0,2,2,0,2.8345537185668945
61,61,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671037013.789402,130,1,0,1,1,0.15,0.8,0.7500510215759277,1.0,5,4,0,3.934654951095581
62,62,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671037021.089453,115,1,0,1,1,0.15,0.5454545454545454,0.7498350143432617,1.0,11,6,0,5.700670957565308
63,63,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671037030.438529,112,1,0,1,1,0.15,1.0,0.7494008541107178,1.0,1,1,0,2.300461769104004
64,64,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671037036.4878452,125,1,0,1,1,0.15,0.8888888888888888,0.749340295791626,1.0,9,8,0,5.199832201004028
65,65,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671037045.1206322,111,0,1,1,1,0.15,1.0,0.7488901615142822,1.0,2,2,0,2.649510145187378
66,66,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671037051.403691,115,0,1,1,1,0.15,0.9285714285714286,0.7655129432678223,1.0,14,13,0,6.699589252471924
67,67,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671037062.002862,126,1,0,1,1,0.15,0.5,0.7501182556152344,1.0,12,6,0,6.200744152069092
68,68,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671037071.635482,109,1,0,1,1,0.0,0.6,0.7502310276031494,0.0,15,9,0,7.133884906768799
69,69,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671037084.084256,203,0,1,-1,-1,0.15,0.7333333333333333,0.7495579719543457,0.0,15,11,0,8.63348913192749
70,70,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671037095.600477,146,0,1,-1,-1,0.15,0.8,0.7496881484985352,0.0,15,12,0,7.750576972961426
71,71,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671037107.032532,140,0,1,-1,-1,0.15,1.0,0.7509379386901855,1.0,5,5,0,4.1164209842681885
72,72,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671037114.399221,118,1,0,-1,-1,0.15,0.5,0.7502639293670654,1.0,8,4,0,4.733200788497925
73,73,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671037122.81549,121,0,1,-1,-1,0.15,0.6,0.7493691444396973,1.0,5,3,0,3.850498914718628
74,74,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671037130.231043,119,0,1,-1,-1,0.15,0.6666666666666666,0.7493057250976562,1.0,3,2,0,3.0829975605010986
75,75,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671037138.5310998,218,0,1,-1,-1,0.15,0.5,0.7492988109588623,1.0,4,2,0,5.066802978515625
76,76,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671037147.297411,220,1,0,1,-1,0.0,0.8,0.750654935836792,0.0,15,12,0,8.801586866378784
77,77,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671037158.16293,114,0,1,1,1,0.0,0.8666666666666667,0.750356912612915,0.0,15,13,0,7.000025987625122
78,78,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671037168.9126558,114,0,1,1,1,0.0,0.6666666666666666,0.7499783039093018,0.0,15,10,0,7.216485261917114
79,79,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671037179.744894,107,1,0,1,1,0.0,0.7333333333333333,0.7498078346252441,0.0,15,11,0,7.083308935165405
80,80,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1671037194.009848,314,0,1,1,1,0.0,0.7333333333333333,0.749791145324707,0.0,15,11,0,10.350779056549072
81,81,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671039729.720125,356,0,1,1,1,0.15,0.5,0.7495391368865967,1.0,6,3,0,8.033303022384644
82,82,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671039737.802892,131,0,1,1,1,0.15,0.7142857142857143,0.7495760917663574,1.0,14,10,0,6.9823760986328125
83,83,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671039748.3187551,117,1,0,1,1,0.15,0.5,0.7661612033843994,1.0,2,1,0,2.7334561347961426
84,84,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671039754.467937,108,0,1,1,1,0.15,0.4666666666666667,0.7491867542266846,0.0,15,7,0,6.983311891555786
85,85,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671039767.617461,253,1,0,1,1,0.15,1.0,0.7500529289245605,1.0,4,4,0,5.650249004364014
86,86,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671039774.5505831,107,0,1,1,1,0.15,1.0,0.7661328315734863,1.0,1,1,0,2.2503409385681152
87,87,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671039780.367012,110,1,0,1,1,0.15,1.0,0.7494289875030518,1.0,1,1,0,2.3003151416778564
88,88,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671039786.3664901,119,0,1,1,1,0.15,1.0,0.748866081237793,1.0,2,2,0,2.81655216217041
89,89,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671039792.866144,126,1,0,1,1,0.15,0.6,0.7497789859771729,0.0,15,9,0,7.21666693687439
90,90,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671039804.898392,187,0,1,-1,-1,0.0,0.6666666666666666,0.7495090961456299,0.0,15,10,0,8.233124017715454
91,91,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671039815.580875,107,0,1,-1,-1,0.0,0.8,0.7495298385620117,0.0,15,12,0,6.9657580852508545
92,92,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1671039826.931495,145,0,1,-1,1,0.0,0.7333333333333333,0.749643087387085,0.0,15,11,0,7.565859079360962
93,93,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671039837.8143559,117,0,1,-1,1,0.15,0.875,0.7501370906829834,1.0,8,7,0,4.715600967407227
94,94,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671039846.1630778,116,0,1,-1,1,0.15,0.5,0.749849796295166,1.0,2,1,0,2.7173099517822266
95,95,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671039852.346287,109,1,0,1,-1,0.0,0.6,0.767035961151123,0.0,15,9,0,6.9999377727508545
96,96,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1671039865.945311,281,0,1,1,-1,0.0,0.7333333333333333,0.7493491172790527,0.0,15,11,0,9.982035160064697
97,97,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1671039877.8780951,165,1,0,-1,1,0.15,0.5714285714285714,0.7495851516723633,1.0,7,4,0,5.18411111831665
98,98,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671039886.177366,132,0,1,-1,-1,0.15,0.6666666666666666,0.7493340969085693,0.0,15,10,0,7.4994261264801025
99,99,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671039897.310452,124,0,1,-1,1,0.15,0.4,0.7500569820404053,1.0,5,2,0,3.849656105041504
100,100,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671039904.625668,115,1,0,1,-1,0.0,0.6666666666666666,0.749176025390625,0.0,15,10,0,7.017693042755127
101,101,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671039915.5586529,125,1,0,1,-1,0.0,0.8,0.7499170303344727,0.0,15,12,0,7.217671871185303
102,102,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1671039928.091491,217,0,1,-1,1,0.15,0.5,0.7502110004425049,1.0,2,1,0,4.3996992111206055
103,103,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671039934.856137,142,1,0,-1,-1,0.15,0.6666666666666666,0.7493948936462402,1.0,6,4,0,4.483334302902222
