,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,date_time
0,0,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683566280.4138932,116,7.0494749546051025,1,0,-1,0,0.15,0.7333333333333333,[1.133315086364746],0.0,7.0494749546051025,15,11,0,8.048887014389038,2023_05_08_13_17_57
1,1,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683566291.063265,109,6.933017015457153,1,0,1,0,0.0,0.6,[1.0162010192871094],0.0,6.933017015457153,15,9,0,7.932132005691528,2023_05_08_13_18_08
2,2,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683566309.028598,549,10.248457193374634,1,0,-1,0,0.15,0.6666666666666666,[8.348585367202759],1.0,10.248457193374634,3,2,0,11.248195171356201,2023_05_08_13_18_18
3,3,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683566315.794998,109,7.132546901702881,1,0,-1,0,0.15,0.4,[1.0165157318115234],0.0,7.132546901702881,15,6,0,8.132972717285156,2023_05_08_13_18_32
4,4,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683566326.911206,125,7.382400989532471,1,0,1,0,0.0,0.4,[1.2835042476654053],0.0,7.382400989532471,15,6,0,8.382626056671143,2023_05_08_13_18_43
5,5,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683566338.860451,175,8.015531063079834,1,0,1,0,0.0,0.8,[2.1159300804138184],0.0,8.015531063079834,15,12,0,9.015599012374878,2023_05_08_13_18_54
6,6,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683566349.676001,118,7.265512943267822,1,0,-1,0,0.15,0.4666666666666667,[1.1658577919006348],0.0,7.265512943267822,15,7,0,8.265647888183594,2023_05_08_13_19_06
7,7,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683566815.293534,1286,26.748232126235962,1,0,1,0,0.0,0.4666666666666667,[20.64843988418579],0.0,26.748232126235962,15,7,0,27.748083114624023,2023_05_08_13_26_32
8,8,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683566826.943126,107,7.099319934844971,1,0,1,0,0.0,0.5333333333333333,[0.9832010269165039],0.0,7.099319934844971,15,8,0,8.098814964294434,2023_05_08_13_27_04
9,9,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683566837.875654,114,3.0165600776672363,1,0,-1,0,0.15,0.6666666666666666,[1.1000950336456299],1.0,3.0165600776672363,3,2,0,4.0164549350738525,2023_05_08_13_27_14
10,10,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683566844.541606,121,7.3160400390625,1,0,-1,0,0.15,0.4666666666666667,[1.2164192199707031],0.0,7.3160400390625,15,7,0,8.315811157226562,2023_05_08_13_27_21
11,11,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683566855.907667,140,7.64966893196106,1,0,1,0,0.0,0.7333333333333333,[1.534196138381958],0.0,7.64966893196106,15,11,0,8.64966106414795,2023_05_08_13_27_32
12,12,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683566866.807165,112,6.9659199714660645,1,0,-1,0,0.0,0.6666666666666666,[1.0673940181732178],0.0,6.9659199714660645,15,10,0,7.965506076812744,2023_05_08_13_27_43
13,13,[1.0],1.0,0,1.0,1.0,0,[1.0],1683566877.756267,128,4.616213083267212,1,0,1,0,0.15,0.5714285714285714,[1.3332839012145996],1.0,4.616213083267212,7,4,0,5.6160829067230225,2023_05_08_13_27_54
14,14,[1.0],1.0,0,1.0,1.0,0,[1.0],1683566885.87227,121,7.182897090911865,1,0,1,0,0.15,0.6666666666666666,[1.2164559364318848],0.0,7.182897090911865,15,10,0,8.182965993881226,2023_05_08_13_28_02
15,15,[1.0],1.0,0,1.0,1.0,0,[1.0],1683566896.872138,127,6.899446725845337,1,0,1,0,0.15,0.35714285714285715,[1.3163647651672363],1.0,6.899446725845337,14,5,0,7.900386810302734,2023_05_08_13_28_13
16,16,[1.0],1.0,0,1.0,1.0,0,[1.0],1683566907.170709,108,6.999863147735596,1,0,1,0,0.15,0.7333333333333333,[0.9998493194580078],0.0,6.999863147735596,15,11,0,7.999499082565308,2023_05_08_13_28_24
17,17,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683566917.903784,108,6.9496588706970215,1,0,-1,0,0.0,0.6666666666666666,[0.9996731281280518],0.0,6.9496588706970215,15,10,0,7.948992967605591,2023_05_08_13_28_35
