,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.5512820512820513,L,0.5121951219512195,0.5945945945945946,20230223
1,-10,0.759493670886076,L,0.7857142857142857,0.7297297297297297,20230223
2,-9,0.9367088607594937,L,0.9565217391304348,0.9090909090909091,20230223
3,-8,0.9620253164556962,L,1.0,0.9318181818181818,20230223
4,-7,0.9746835443037974,L,0.972972972972973,0.9761904761904762,20230223
5,-6,0.9620253164556962,L,0.9302325581395349,1.0,20230223
6,-5,0.9367088607594937,L,0.9347826086956522,0.9393939393939394,20230223
7,-4,0.8734177215189873,L,0.8837209302325582,0.8611111111111112,20230223
8,-3,0.9113924050632911,L,0.875,0.9487179487179487,20230223
9,-2,0.8227848101265823,L,0.7714285714285715,0.8636363636363636,20230223
10,-1,0.8354430379746836,L,0.7804878048780488,0.8947368421052632,20230223
11,0,0.16455696202531644,L,0.12903225806451613,0.1875,20230223
12,1,0.379746835443038,L,0.38636363636363635,0.37142857142857144,20230223
13,2,0.810126582278481,L,0.7906976744186046,0.8333333333333334,20230223
14,3,0.9620253164556962,L,1.0,0.918918918918919,20230223
15,4,0.9615384615384616,L,0.9705882352941176,0.9545454545454546,20230223
16,5,0.9615384615384616,L,0.9210526315789473,1.0,20230223
17,6,1.0,L,1.0,1.0,20230223
18,7,0.9487179487179487,L,0.975609756097561,0.918918918918919,20230223
19,8,0.9487179487179487,L,0.9318181818181818,0.9705882352941176,20230223
20,9,0.9102564102564102,L,0.9069767441860465,0.9142857142857143,20230223
21,10,0.8461538461538461,L,0.8611111111111112,0.8333333333333334,20230223
