,Unnamed: 0,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,history,pos_in_block,switched
0,0,0,[1.0],1.0,0,1.0,1.0,0,[1.0],1680634623.1479,207,4.317072153091431,1,0,1,0,0.15,1.0,[2.6664371490478516],1.0,4.317072153091431,2,2,0,5.316898107528687,1R,0.0,1.0
1,1,1,[1.0],1.0,0,1.0,1.0,0,[1.0],1680634629.247182,108,6.565871000289917,1,0,1,0,0.15,0.7142857142857143,[0.9993071556091309],1.0,6.565871000289917,14,10,0,7.5655529499053955,1R,1.0,1.0
2,2,2,[1.0],1.0,0,1.0,1.0,0,[1.0],1680634639.496524,116,3.7153799533844,1,0,1,0,0.15,0.6,[1.1330070495605469],1.0,3.7153799533844,5,3,0,4.715192079544067,1R,2.0,1.0
3,3,3,[1.0],1.0,0,1.0,1.0,0,[1.0],1680634646.496141,107,4.566293001174927,1,0,1,0,0.15,0.625,[0.9836699962615967],1.0,4.566293001174927,8,5,0,5.565989971160889,1R,3.0,1.0
4,4,4,[1.0],1.0,0,1.0,1.0,0,[1.0],1680634654.5290089,107,3.899580955505371,1,0,1,0,0.15,0.5,[0.9830911159515381],1.0,3.899580955505371,6,3,0,4.899253129959106,1R,4.0,1.0
5,5,5,[1.0],1.0,0,1.0,1.0,0,[1.0],1680634661.896945,109,6.96603798866272,1,0,1,0,0.15,0.8666666666666667,[1.0163497924804688],1.0,6.96603798866272,15,13,0,7.9656147956848145,1R,5.0,1.0
6,6,6,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1680634672.3947022,108,6.915933132171631,1,0,-1,0,0.0,0.6,[0.9995670318603516],0.0,6.915933132171631,15,9,0,7.9155659675598145,,,
7,7,7,[1.0],1.0,0,1.0,1.0,0,[1.0],1680634682.8776262,109,3.0997767448425293,1,0,1,0,0.15,1.0,[1.016362190246582],1.0,3.0997767448425293,3,3,0,4.099636077880859,1R,7.0,1.0
8,8,8,[1.0],1.0,0,1.0,1.0,0,[1.0],1680634689.3270469,107,2.899639844894409,1,0,1,0,0.15,1.0,[0.9827437400817871],1.0,2.899639844894409,3,3,0,3.8994460105896,1R,8.0,1.0
9,9,9,[1.0],1.0,0,1.0,1.0,0,[1.0],1680634695.626139,107,2.899970054626465,1,0,1,0,0.15,1.0,[0.9831020832061768],1.0,2.899970054626465,3,3,0,3.899548292160034,1R,9.0,1.0
10,10,10,[1.0],1.0,0,1.0,1.0,0,[1.0],1680634701.975756,109,2.965071201324463,1,0,1,0,0.15,1.0,[1.015091896057129],1.0,2.965071201324463,3,3,0,3.9647371768951416,1R,10.0,1.0
11,11,11,[1.0],1.0,0,1.0,1.0,0,[1.0],1680634708.3418949,110,5.61626410484314,1,0,1,0,0.15,0.9090909090909092,[1.0331270694732666],1.0,5.61626410484314,11,10,0,6.615904092788696,1R,11.0,1.0
12,12,12,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1680634717.4079611,107,6.9659178256988525,1,0,1,0,0.0,0.9333333333333332,[0.9831380844116211],0.0,6.9659178256988525,15,14,0,7.965592861175537,1NR,12.0,1.0
13,13,13,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1680634728.0240169,113,5.0330650806427,1,0,-1,0,0.15,0.5555555555555556,[1.0841140747070312],1.0,5.0330650806427,9,5,0,6.032749176025391,1R,0.0,1.0
