Unnamed: 0,trial_idx,trial_start_time,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,difficulty,trial_aborted,trial_duration,date_time,trial_num,switched_self,n_pre_switch_self,switched_actor,n_pre_switch_actor,history,alt_history,pos_in_block,pos_in_block_obj,attention_narrow,attention_wide,attention_full,attention_control_narrow,attention_control_wide,attention_control_full,attention_narrow_L,attention_wide_L,attention_full_L,attention_control_narrow_L,attention_control_wide_L,attention_control_full_L
0,0,1670518151.702315,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1670518154.019611,139,3.11637282371521,0,1,1,-1,0.15,1.0,"[1.5153729915618896, 1.4818828105926514]",1.0,3.11637282371521,2,2,1.623100605649254,0,4.115987777709961,2022_12_08_11_49_10,1,"[1, 0]","[1, 2]","[0, 0]","[2, 2]",1R,1R,0.0,1,,,,,,,,,,,,
1,1,1670518158.400564,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1670518160.28525,113,3.0172128677368164,1,0,1,1,0.15,1.0,"[1.083345890045166, 0.9833779335021973]",1.0,3.0172128677368164,3,3,1.4271690123444032,0,4.016674041748047,2022_12_08_11_49_17,2,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",1R,1R,1.0,2,,,,,,,,,,,,
2,2,1670518165.000035,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1670518166.934738,116,7.033718109130859,1,0,-1,-1,0.0,0.7333333333333333,"[1.1331541538238525, 0.9829530715942383]",0.0,7.033718109130859,15,11,1.7652504676657954,0,8.03226089477539,2022_12_08_11_49_23,3,"[0, 0]","[2, 2]","[0, 0]","[2, 2]",1NRO,1NR,2.0,3,,,,,,,,,,,,
3,3,1670518175.782569,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1670518177.83441,123,7.366310119628906,1,0,-1,-1,0.0,0.4,"[1.2502241134643555, 0.999993085861206]",0.0,7.366310119628906,15,6,2.6570222405504067,0,8.365483045578003,2022_12_08_11_49_34,4,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",2NRO,2NR,3.0,4,,,,,,,,,,,,
4,4,1670518186.914574,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1670518188.883142,118,7.066572666168213,0,1,1,1,0.15,0.7333333333333333,"[1.16790771484375, 0.9838206768035889]",0.0,7.066572666168213,15,11,1.4336562884474884,0,8.06751799583435,2022_12_08_11_49_45,5,"[0, 1]","[5, 1]","[0, 1]","[2, 1]",1NRG,3NR,4.0,5,,,,,,,,,,,,
5,5,1670518197.730529,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1670518199.5330088,108,6.950207948684692,0,1,-1,1,0.0,0.9333333333333332,"[0.9846761226654053, 1.0007710456848145]",0.0,6.950207948684692,15,14,1.415409691874212,0,7.967473983764648,2022_12_08_11_49_56,6,"[0, 0]","[4, 3]","[1, 0]","[1, 3]",1NRO,4NR,5.0,6,,,,,,,,,,,,
6,6,1670518208.446488,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1670518210.432723,119,7.083234071731567,0,1,-1,1,0.0,0.6666666666666666,"[1.1840848922729492, 0.9840607643127441]",0.0,7.083234071731567,15,10,1.4646202212046908,0,8.084022998809814,2022_12_08_11_50_07,7,"[0, 0]","[3, 2]","[1, 0]","[1, 2]",2NRO,5NR,6.0,7,,,,,,,,,,,,
7,7,1670518219.280242,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1670518221.0983,109,7.115330934524536,0,1,-1,1,0.0,0.7333333333333333,"[1.015990972518921, 0.9825892448425293]",0.0,7.115330934524536,15,11,1.286479493728457,0,8.115231037139893,2022_12_08_11_50_18,8,"[0, 1]","[2, 1]","[1, 1]","[1, 1]",3NRO,6NR,7.0,8,,,,,,,,,,,,
8,8,1670518230.145438,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1670518232.31298,129,4.600473165512085,1,0,1,1,0.15,0.7142857142857143,"[1.3668370246887207, 1.0834879875183105]",1.0,4.600473165512085,7,5,1.4006763249624352,0,5.600171089172363,2022_12_08_11_50_29,9,"[1, 0]","[1, 2]","[1, 0]","[1, 3]",1R,1R,8.0,9,,,,,,,,,,,,
9,9,1670518238.395058,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1670518240.397439,120,7.0995728969573975,1,0,-1,1,0.0,0.6666666666666666,"[1.2000439167022705, 0.9830682277679443]",0.0,7.0995728969573975,15,10,1.8808053085725864,0,8.09939193725586,2022_12_08_11_50_37,10,"[1, 1]","[1, 1]","[1, 0]","[1, 2]",1NRO,1NR,9.0,10,,,,,,,,,,,,
