Unnamed: 0,trial_idx,trial_start_time,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,difficulty,trial_aborted,trial_duration,date_time,trial_num,switched_self,n_pre_switch_self,switched_actor,n_pre_switch_actor,history,alt_history,pos_in_block,pos_in_block_obj,attention_narrow,attention_wide,attention_full,attention_control_narrow,attention_control_wide,attention_control_full,attention_narrow_L,attention_wide_L,attention_full_L,attention_control_narrow_L,attention_control_wide_L,attention_control_full_L
0,0,1675364000.038965,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1675364006.587381,392,7.996944904327393,0,1,-1,-1,0.15,0.75,"[2.7139201164245605, 5.746905088424683]",1.0,7.996944904327393,4,3,1.7557517709653128,0,8.997840881347656,2023_02_02_13_53_18,1,"[1, 0]","[1, 4]","[1, 0]","[1, 2]",1R,1R,0.0,1,0.7619047619047619,0.7694962042788129,0.8778467908902692,0.0,0.0,0.1331953071083506,,,,,,
1,1,1675364011.852388,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1675364014.837174,179,8.082667827606201,1,0,1,-1,0.0,0.7333333333333333,"[2.18257999420166, 0.9827289581298828]",0.0,8.082667827606201,15,11,1.2896481412955294,0,9.082213878631592,2023_02_02_13_53_30,2,"[0, 0]","[2, 3]","[0, 1]","[2, 1]",1NRO,1NR,1.0,2,0.520546021880551,0.5387318896622532,0.6300523225015534,0.0,0.0,0.0336340780478793,0.3199148353898532,0.3234346807670032,0.8721394656716047,0.0035198453771499,0.0418470505950052,0.1196747428230991
2,2,1675364023.734462,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1675364025.703655,118,7.28328800201416,1,0,1,-1,0.0,0.6666666666666666,"[1.1669669151306152, 0.984058141708374]",0.0,7.28328800201416,15,10,1.4670972462531249,0,8.282674789428711,2023_02_02_13_53_42,3,"[1, 0]","[1, 2]","[1, 1]","[1, 1]",2NRO,2NR,2.0,3,0.516701557306751,0.5435212751633265,0.5724040482396385,0.0050638628120806,0.0078771199299032,0.0564526928309735,0.0046887618630584,0.207805925770751,0.207805925770751,0.013878735114653,0.1982408515701118,0.4634372225446985
3,3,1675364034.7837062,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1675364036.6518831,112,6.96706485748291,1,0,-1,-1,0.15,0.4666666666666667,"[1.0663328170776367, 0.9835548400878906]",0.0,6.96706485748291,15,7,2.234780018261074,0,7.966526985168457,2023_02_02_13_53_53,4,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",1NRG,3NR,3.0,4,0.7817448216002596,0.8005113889605059,0.9508394129191454,0.0011729104600153,0.0015638806133538,0.0019548507666923,0.4732693706128454,0.8591569119551655,0.9999061671560118,0.0,0.0,0.0
4,4,1675364045.4994838,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1675364052.783913,436,12.582622289657593,0,1,1,1,0.0,0.4666666666666667,"[1.1667571067810059, 6.483314275741577]",0.0,12.582622289657593,15,7,2.340841866214895,0,13.582114219665527,2023_02_02_13_54_04,5,"[1, 0]","[1, 2]","[1, 0]","[1, 2]",1NRO,4NR,4.0,5,0.5938062396694767,0.6203356058904513,0.8621103264149372,0.0302923968906165,0.0436511557678449,0.0455326711026658,0.3454374412041392,0.3454374412041392,1.0,0.0,0.0,0.0
5,5,1675364062.099139,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1675364064.850629,165,7.865429162979126,0,1,1,-1,0.0,0.9333333333333332,"[1.6329350471496582, 1.949328899383545]",0.0,7.865429162979126,15,14,0.8994202863005714,0,8.866349220275879,2023_02_02_13_54_21,6,"[1, 1]","[1, 1]","[0, 1]","[2, 1]",2NRO,5NR,5.0,6,0.0748440991567283,0.0801065748786858,0.2878769126418953,0.0005847195246619,0.0031185041315303,0.2917750428063083,0.367887763055339,0.3696414653156664,0.9672642244738892,0.0325409197194076,0.034294621979735,0.034294621979735
6,6,1675364073.747929,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1675364075.6504471,114,7.050025939941406,1,0,1,-1,0.0,0.5333333333333333,"[0.9832799434661865, 1.100449800491333]",0.0,7.050025939941406,15,8,1.0643141944181296,0,8.050496101379395,2023_02_02_13_54_32,7,"[1, 0]","[1, 8]","[1, 1]","[1, 1]",3NRO,6NR,6.0,7,0.4719138634234608,0.5011543202872042,0.5470482823846028,0.0,0.0168471506433488,0.0168471506433488,0.2962774768312026,0.3464316379418441,0.92717422161294,0.0009682270484679,0.0073585255683566,0.0619665311019508
7,7,1675364084.5302331,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1675364086.5984042,124,7.166553735733032,0,1,-1,-1,0.15,0.4,"[1.2666478157043457, 1.0002477169036865]",0.0,7.166553735733032,15,6,1.6250796922438715,0,8.166318893432617,2023_02_02_13_54_43,8,"[0, 0]","[7, 7]","[0, 0]","[7, 7]",1NRG,7NR,7.0,8,0.6574345624864391,0.665645163623647,0.7088485648456223,0.0005864715098005,0.0097745251633428,0.1761369434434379,0.6754196887865095,0.9012112200595684,0.970023877209453,0.0,0.0,0.0
8,8,1675364095.463009,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1675364097.431127,118,2.416794776916504,1,0,-1,-1,0.15,1.0,"[1.167052984237671, 1.0829188823699951]",1.0,2.416794776916504,1,1,1.6742704947672618,0,3.4335618019104004,2023_02_02_13_54_54,9,"[0, 0]","[6, 6]","[0, 0]","[6, 6]",1R,1R,8.0,9,0.7555630839447651,0.9985022466290702,0.9985022466290702,0.0,0.0,0.0,0.6057906458797327,1.0,1.0,0.0,0.0,0.0
9,9,1675364101.462618,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1675364103.347134,113,5.366389751434326,1,0,-1,-1,0.15,0.8,"[1.066908836364746, 1.083329677581787]",1.0,5.366389751434326,10,8,1.373943514298601,0,6.3659327030181885,2023_02_02_13_55_00,10,"[0, 0]","[5, 5]","[0, 0]","[5, 5]",1R,1R,9.0,10,0.8572659391154509,0.8707639287765652,1.0,0.0,0.0,0.0,0.1197618548449605,0.2518732534748931,0.8710736348795335,0.0,0.0,0.0005743973853475
10,10,1675364110.511708,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1675364112.363445,111,5.949841022491455,0,1,-1,-1,0.15,0.9166666666666666,"[1.049818992614746, 0.9999279975891113]",1.0,5.949841022491455,12,11,1.1928904977697017,0,6.949761867523193,2023_02_02_13_55_09,11,"[0, 0]","[4, 4]","[0, 0]","[4, 4]",1R,1R,10.0,11,0.7432411658981385,0.7896022366534393,0.800582490253379,0.0007320169066626,0.0053681239821927,0.0697856117685054,0.5010978287387168,1.0,1.0,0.0,0.0,0.0
11,11,1675364120.14467,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1675364121.945837,108,6.933590888977051,1,0,-1,-1,0.15,0.6666666666666666,"[0.9830818176269531, 0.9995808601379395]",1.0,6.933590888977051,15,10,1.508362874335906,0,7.932337045669556,2023_02_02_13_55_19,12,"[0, 0]","[3, 3]","[0, 0]","[3, 3]",1R,1R,11.0,12,0.9512955386713424,0.9649327878433664,1.0,0.0,0.0,0.0,0.6164531421670888,0.784399605045733,0.999885437927149,0.0,0.0,0.0
12,12,1675364130.827104,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1675364132.645437,109,6.916424751281738,1,0,-1,-1,0.0,0.6666666666666666,"[1.0169548988342285, 0.9997849464416504]",0.0,6.916424751281738,15,10,1.426514254202334,0,7.915777921676636,2023_02_02_13_55_29,13,"[0, 0]","[2, 2]","[0, 0]","[2, 2]",1NR,1NR,12.0,1,0.9242406200917256,0.9242406200917256,0.999908299375732,0.0,0.0,0.0,0.4741450187672666,0.6817912084294675,0.8552207472527935,0.0074299013250128,0.0119269468638363,0.0735169183738112
13,13,1675364141.493695,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1675364143.7112908,133,7.532816171646118,1,0,-1,-1,0.0,0.6666666666666666,"[1.4162230491638184, 1.1494331359863281]",0.0,7.532816171646118,15,10,1.6723480762380147,0,8.53226113319397,2023_02_02_13_55_40,14,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",2NR,2NR,13.0,2,0.8455918205071894,0.9161046891057042,0.9393589330052144,0.0,0.0022504106999526,0.0461334193490282,0.1985987442708169,0.198973812720809,0.5453495262885134,0.0,0.0,0.0318808182493285
14,14,1675364152.775577,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675364155.093318,139,7.416547775268555,1,0,1,1,0.15,0.6666666666666666,"[1.517354965209961, 0.9828968048095703]",1.0,7.416547775268555,15,10,1.90304241519045,0,8.4166259765625,2023_02_02_13_55_51,15,"[0, 0]","[8, 2]","[0, 0]","[3, 2]",1R,1R,0.0,3,0.7593730700658389,0.8221311750299578,0.9688282453835858,0.0,0.0,0.0,0.2994704844087076,0.3343792900568739,1.0,0.0,0.0,0.0
15,15,1675364163.958122,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675364166.0429518,125,3.1847259998321533,0,1,1,1,0.15,0.3333333333333333,"[1.2838919162750244, 0.9830808639526367]",1.0,3.1847259998321533,3,1,1.8528848591382745,0,4.1832780838012695,2023_02_02_13_56_02,16,"[0, 1]","[7, 1]","[0, 1]","[2, 1]",1R,1R,1.0,4,0.4091243829037513,0.410033548199093,0.7600621869056359,0.0,0.0,0.0,0.4727272727272727,0.4727272727272727,1.0,0.0,0.0,0.0
16,16,1675364170.724443,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1675364173.09334,142,7.499274253845215,0,1,-1,1,0.0,0.6,"[1.4166150093078613, 1.567026138305664]",0.0,7.499274253845215,15,9,2.4217454456700365,0,8.500957012176514,2023_02_02_13_56_09,17,"[0, 0]","[6, 2]","[1, 0]","[1, 6]",1NRO,1NR,2.0,5,0.1293997116290398,0.1352285274681858,0.1733101242839393,0.1055015666885415,0.1447489266721242,0.6912975585227085,0.2247979975312379,0.7853357873995365,0.9186213762555688,0.0,0.0343900134511919,0.0343900134511919
17,17,1675364181.99061,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1675364184.042536,123,4.149573087692261,1,0,1,-1,0.15,0.8333333333333334,"[1.249640941619873, 1.0001060962677002]",1.0,4.149573087692261,6,5,1.2398319567908644,0,5.150061130523682,2023_02_02_13_56_20,18,"[0, 1]","[5, 1]","[0, 0]","[5, 5]",1R,1R,3.0,6,0.8512869399428027,0.894184938036225,1.0,0.0,0.0,0.0,0.3665395614871306,0.3755958055290753,0.7578646329837941,0.0371782650142993,0.0409914204003813,0.3188751191611058
18,18,1675364189.773112,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675364191.675004,114,7.000433921813965,0,1,1,1,0.15,0.8666666666666667,"[1.0997819900512695, 1.0663397312164307]",0.0,7.000433921813965,15,13,1.747054576304223,0,7.999031066894531,2023_02_02_13_56_28,19,"[0, 0]","[4, 4]","[0, 0]","[4, 4]",1NR,1NR,4.0,7,0.3280990006471496,0.441701813147742,0.7545494895693388,0.0,0.0084077813038304,0.0383238403616456,0.3046354249170467,0.3335738349861885,0.9999393857675076,0.0,0.0,0.0
19,19,1675364200.522079,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675364203.123931,156,5.433520078659058,0,1,1,1,0.15,0.875,"[1.800436019897461, 1.2505950927734375]",1.0,5.433520078659058,8,7,2.096960175793864,0,6.433690071105957,2023_02_02_13_56_39,20,"[0, 0]","[3, 3]","[0, 0]","[3, 3]",1R,1R,5.0,8,0.3146429755689993,0.3315934388993158,0.5251112285870954,0.0,0.0,0.0081220970124433,0.3008474576271186,0.3619350282485876,1.0,0.0,0.0,0.0
20,20,1675364209.638381,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1675364212.706057,184,7.849965810775757,1,0,1,1,0.15,0.7857142857142857,"[1.1665840148925781, 2.266517162322998]",1.0,7.849965810775757,14,11,1.4791412531864188,0,8.8492910861969,2023_02_02_13_56_48,21,"[0, 0]","[2, 2]","[0, 0]","[2, 2]",1R,1R,6.0,9,0.5769068716740449,0.6103628700313654,0.6465371682552181,0.0,0.0,0.0014636999281327,0.4336733787036326,0.4336733787036326,0.9999161508971895,0.0,0.0,0.0
