,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.5882352941176471,O,0.5277777777777778,0.65625,20230117
1,-10,0.7536231884057971,O,0.75,0.7575757575757576,20230117
2,-9,0.8985507246376812,O,0.8787878787878788,0.9166666666666666,20230117
3,-8,0.8985507246376812,O,0.9230769230769231,0.8837209302325582,20230117
4,-7,0.9130434782608695,O,0.96875,0.8648648648648649,20230117
5,-6,0.8260869565217391,O,0.8048780487804879,0.8571428571428571,20230117
6,-5,0.9420289855072463,O,1.0,0.8666666666666667,20230117
7,-4,0.7971014492753623,O,0.8108108108108109,0.78125,20230117
8,-3,0.782608695652174,O,0.7666666666666667,0.7948717948717948,20230117
9,-2,0.7391304347826086,O,0.7647058823529411,0.7142857142857143,20230117
10,-1,0.6521739130434783,O,0.6216216216216216,0.6875,20230117
11,0,0.3188405797101449,O,0.29411764705882354,0.34285714285714286,20230117
12,1,0.6086956521739131,O,0.6428571428571429,0.5555555555555556,20230117
13,2,0.8695652173913043,O,0.8857142857142857,0.8529411764705882,20230117
14,3,0.9130434782608695,O,0.9583333333333334,0.8888888888888888,20230117
15,4,0.9420289855072463,O,0.96875,0.918918918918919,20230117
16,5,0.8840579710144928,O,0.8857142857142857,0.8823529411764706,20230117
17,6,0.9855072463768116,O,1.0,0.9629629629629629,20230117
18,7,0.8823529411764706,O,0.8780487804878049,0.8888888888888888,20230117
19,8,0.8676470588235294,O,0.875,0.8611111111111112,20230117
20,9,0.7941176470588235,O,0.8148148148148148,0.7804878048780488,20230117
21,10,0.7647058823529411,O,0.7941176470588235,0.7352941176470589,20230117
