,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
372,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.41645216941833496, 0.466799259185791]","[3.0, 2.0]","[0.41645216941833496, 0.9664881229400635]","[1.0, 1.0]",1.0,1.0,5.332903861999512,1628723642.890719,0,-1,1,-1,0.9285714285714286,1.0,14,13,0,373,"[0, 0]","[0, 0]","[0, 0]","[8, 8]","[8, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 8]","[8, 8]","[0, 0]",1R,1R,3.0,6
373,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.8502271175384521, 0.41641807556152344]","[4.0, 4.0]","[0.8502271175384521, 0.5501461029052734]","[1.0, 1.0]",1.0,1.0,2.683013916015625,1628723649.840548,0,-1,1,-1,1.0,1.0,1,1,0,374,"[0, 0]","[0, 0]","[0, 0]","[7, 7]","[7, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 7]","[7, 7]","[0, 0]",1R,1R,4.0,7
374,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.3157618045806885, 0.44835996627807617]","[4.0, 4.0]","[0.3157618045806885, 1.0485429763793945]","[1.0, 1.0]",1.0,1.0,4.283504962921143,1628723654.640022,1,-1,0,-1,0.8888888888888888,1.0,9,8,0,375,"[0, 0]","[0, 0]","[0, 0]","[6, 6]","[6, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 6]","[6, 6]","[0, 0]",1R,1R,5.0,8
375,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[1.1496250629425049, 0.28307414054870605]","[4.0, 4.0]","[1.1496250629425049, 0.7830080986022949]","[1.0, 1.0]",1.0,1.0,3.0996298789978027,1628723660.823832,1,-1,0,-1,1.0,1.0,3,3,0,376,"[0, 0]","[0, 0]","[0, 0]","[5, 5]","[5, 5]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5, 5]","[5, 5]","[0, 0]",1R,1R,6.0,9
376,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[1.082061767578125, 0.04950976371765137]","[4.0, 4.0]","[1.0986607074737549, 0.34867262840270996]","[1.0, 1.0]",1.0,1.0,5.582998037338257,1628723665.873823,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,377,"[0, 0]","[0, 0]","[0, 0]","[4, 4]","[4, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[4, 4]","[4, 4]","[0, 0]",1NR,1NR,7.0,10
377,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.5490062236785889, 0.08305501937866211]","[3.0, 1.0]","[0.5665268898010254, 0.43329405784606934]","[1.0, 1.0]",1.0,1.0,3.699892997741699,1628723672.9237728,0,-1,1,-1,0.8333333333333334,1.0,6,5,0,378,"[0, 0]","[0, 0]","[0, 0]","[3, 3]","[3, 3]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 3]","[3, 3]","[0, 0]",1R,1R,8.0,11
378,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.9668149948120117, 0.15006709098815918]","[4.0, 4.0]","[0.9668149948120117, 0.38346123695373535]","[0.0, 0.0]",0.0,0.0,5.5826733112335205,1628723678.4074209,1,-1,0,-1,0.8,0.0,15,12,0,379,"[0, 0]","[0, 0]","[0, 0]","[2, 2]","[2, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2, 2]","[2, 2]","[0, 0]",1NR,1NR,9.0,1
379,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.6013820171356201, 0.2509901523590088]","[3.0, 1.0]","[0.6170980930328369, 1.083524227142334]","[0.0, 0.0]",0.0,0.0,5.850328683853149,1628723686.0895832,0,-1,1,-1,0.8666666666666667,0.0,15,13,0,380,"[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",2NR,2NR,10.0,2
380,"[1.0, 1.0]",1.0,1.0,1.0,"[1.6990010738372803, 0.0]","[2.0, 3.0]","[1.6990010738372803, 0.3991680145263672]","[1.0, 1.0]",1.0,1.0,5.849090814590454,1628723694.790064,0,1,1,1,0.6666666666666666,0.0,15,10,0,381,"[1, 0]","[0, 0]","[1, 0]","[1, 10]","[0, 0]","[1, 10]","[1, 0]","[0, 0]","[1, 0]","[1, 10]","[0, 0]","[1, 10]",1NRO,3NR,11.0,3
381,"[-1.0, 1.0]",-1.0,1.0,1.0,"[0.5495481491088867, 0.03267407417297363]","[2.0, 1.0]","[0.5495481491088867, 0.3493020534515381]","[0.0, 1.0]",0.0,1.0,3.0990030765533447,1628723702.22385,0,-1,1,1,0.6666666666666666,1.0,3,2,0,382,"[1, 0]","[1, 0]","[0, 0]","[1, 9]","[1, 0]","[0, 9]","[0, 0]","[0, 0]","[0, 0]","[18, 9]","[18, 0]","[0, 9]",1R,1R,0.0,4
