,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
0,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[4.733428001403809, 8.716557025909424]","[1.0, 1.0]","[4.733428001403809, 9.016048908233643]","[1.0, 0.0]",1.0,0.0,4.700123310089111,1628371733.858708,1,1,0,-1,0.3636363636363636,1.0,11,4,0,1,"[0, 1]","[0, 0]","[0, 1]","[14, 1]","[14, 0]","[0, 1]","[0, 0]","[0, 0]","[0, 0]","[12, 11]","[0, 11]","[12, 0]",1R,1R,0.0,1
1,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[4.13162088394165, 1.3982839584350586]","[4.0, 4.0]","[4.231478929519653, 1.580899715423584]","[1.0, 1.0]",1.0,1.0,3.482694864273072,1628371744.175589,0,-1,1,-1,1.0,1.0,5,5,0,2,"[0, 0]","[0, 0]","[0, 0]","[13, 10]","[13, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[11, 10]","[0, 10]","[11, 0]",1R,1R,1.0,2
2,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[2.116895914077759, 0.5499598979949951]","[4.0, 4.0]","[2.2323927879333496, 1.000201940536499]","[1.0, 1.0]",1.0,1.0,3.323214292526245,1628371750.758026,1,-1,0,-1,0.25,1.0,4,1,0,3,"[0, 0]","[0, 0]","[0, 0]","[12, 9]","[12, 9]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[10, 9]","[0, 9]","[10, 0]",1R,1R,2.0,3
3,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[2.0168709754943848, 1.900179147720337]","[4.0, 4.0]","[2.0168709754943848, 2.866868019104004]","[1.0, 1.0]",1.0,1.0,5.849474906921387,1628371757.975384,0,-1,1,-1,0.6,0.0,15,9,0,4,"[0, 0]","[0, 0]","[0, 0]","[11, 8]","[11, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 8]","[0, 8]","[9, 0]",1NR,1NR,3.0,4
4,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[1.3167061805725098, 1.3333592414855957]","[3.0, 3.0]","[1.3167061805725098, 1.7665879726409912]","[1.0, 1.0]",1.0,1.0,5.582901954650879,1628371766.458417,1,-1,0,-1,0.4,0.0,15,6,0,5,"[0, 0]","[0, 0]","[0, 0]","[10, 7]","[10, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 7]","[0, 7]","[8, 0]",2NR,2NR,4.0,5
5,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[1.2815730571746826, 2.165099859237671]","[2.0, 2.0]","[1.315087080001831, 2.464503049850464]","[1.0, 1.0]",1.0,1.0,4.700294017791748,1628371775.757759,1,-1,0,-1,0.4545454545454545,1.0,11,5,0,6,"[0, 0]","[0, 0]","[0, 0]","[9, 6]","[9, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 6]","[0, 6]","[7, 0]",1R,1R,5.0,6
6,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.9981136322021484, 0.5152077674865723]","[4.0, 4.0]","[1.0652265548706055, 1.0652265548706055]","[1.0, 1.0]",1.0,1.0,5.082957267761231,1628371782.4413388,1,-1,0,-1,0.6923076923076923,1.0,13,9,0,7,"[0, 0]","[0, 0]","[0, 0]","[8, 5]","[8, 5]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 5]","[0, 5]","[6, 0]",1R,1R,6.0,7
7,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.733130931854248, 0.48293089866638184]","[4.0, 4.0]","[0.7665269374847412, 0.9995908737182617]","[1.0, 1.0]",1.0,1.0,5.583132982254028,1628371789.474582,1,-1,0,-1,0.4666666666666667,0.0,15,7,0,8,"[0, 0]","[0, 0]","[0, 0]","[7, 4]","[7, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5, 4]","[0, 4]","[5, 0]",1NR,1NR,7.0,8
8,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[1.7652668952941895, 1.3320560455322266]","[3.0, 2.0]","[1.798638105392456, 1.9983408451080322]","[1.0, 1.0]",1.0,1.0,3.3171403408050537,1628371798.0567958,0,-1,1,-1,0.75,1.0,4,3,0,9,"[0, 0]","[0, 0]","[0, 0]","[6, 3]","[6, 3]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[4, 3]","[0, 3]","[4, 0]",1R,1R,8.0,9
9,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[1.133065938949585, 0.44950079917907715]","[4.0, 4.0]","[1.133065938949585, 0.7495477199554443]","[1.0, 1.0]",1.0,1.0,3.29927396774292,1628371803.257774,0,-1,1,-1,1.0,1.0,4,4,0,10,"[0, 0]","[0, 0]","[0, 0]","[5, 2]","[5, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 2]","[0, 2]","[3, 0]",1R,1R,9.0,10
10,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[1.4317901134490967, 0.23190712928771973]","[4.0, 4.0]","[1.4317901134490967, 0.5817520618438721]","[1.0, 1.0]",1.0,1.0,5.84945011138916,1628371809.157475,0,-1,1,-1,0.6666666666666666,0.0,15,10,0,11,"[0, 1]","[0, 1]","[0, 0]","[4, 1]","[4, 1]","[0, 0]","[0, 1]","[0, 1]","[0, 0]","[2, 1]","[0, 1]","[2, 0]",1NR,1NR,10.0,11
11,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[1.383354902267456, 1.5003201961517334]","[4.0, 1.0]","[1.383354902267456, 1.833745002746582]","[1.0, 0.0]",1.0,0.0,5.848600149154663,1628371817.640713,0,-1,1,1,0.8,0.0,15,12,0,12,"[0, 1]","[0, 0]","[0, 1]","[3, 1]","[3, 0]","[0, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",1NRO,2NR,11.0,12
12,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[2.415800094604492, 0.7989933490753174]","[3.0, 2.0]","[2.415800094604492, 2.0656509399414062]","[0.0, 0.0]",0.0,0.0,5.582810878753662,1628371826.823798,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,13,"[0, 0]","[0, 0]","[0, 0]","[2, 2]","[2, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2, 2]","[2, 2]","[0, 0]",1NRG,3NR,12.0,1
13,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[2.081521987915039, 1.8985028266906738]","[2.0, 1.0]","[2.081521987915039, 2.5984787940979004]","[0.0, 0.0]",0.0,0.0,5.58292818069458,1628371836.09014,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,14,"[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",2NRG,4NR,13.0,2
14,"[1.0, 1.0]",1.0,1.0,1.0,"[1.683426856994629, 0.8667149543762207]","[2.0, 2.0]","[1.683426856994629, 1.4997899532318115]","[1.0, 1.0]",1.0,1.0,3.0993361473083496,1628371844.256848,1,1,0,1,1.0,1.0,3,3,0,15,"[0, 0]","[0, 0]","[0, 0]","[5, 5]","[0, 0]","[5, 5]","[0, 0]","[0, 0]","[0, 0]","[5, 5]","[0, 0]","[5, 5]",1R,1R,0.0,3
15,"[1.0, 1.0]",1.0,1.0,1.0,"[0.6492900848388672, 0.5492150783538818]","[4.0, 4.0]","[0.7158679962158203, 1.1152100563049316]","[1.0, 1.0]",1.0,1.0,4.516819953918457,1628371849.289112,1,1,0,1,0.8,1.0,10,8,0,16,"[0, 0]","[0, 0]","[0, 0]","[4, 4]","[0, 0]","[4, 4]","[0, 0]","[0, 0]","[0, 0]","[4, 4]","[0, 0]","[4, 4]",1R,1R,1.0,4
16,"[1.0, 1.0]",1.0,1.0,1.0,"[0.5162029266357422, 0.39924001693725586]","[4.0, 4.0]","[0.5162029266357422, 0.5991780757904053]","[1.0, 1.0]",1.0,1.0,5.849562883377075,1628371855.35631,0,1,1,1,0.6666666666666666,0.0,15,10,0,17,"[0, 0]","[0, 0]","[0, 0]","[3, 3]","[0, 0]","[3, 3]","[0, 0]","[0, 0]","[0, 0]","[3, 3]","[0, 0]","[3, 3]",1NR,1NR,2.0,5
17,"[1.0, 1.0]",1.0,1.0,1.0,"[1.031747817993164, 0.2649979591369629]","[3.0, 3.0]","[1.031747817993164, 0.48091816902160645]","[1.0, 1.0]",1.0,1.0,5.848790168762207,1628371863.3728929,0,1,1,1,0.6,0.0,15,9,0,18,"[0, 0]","[0, 0]","[0, 0]","[2, 2]","[0, 0]","[2, 2]","[0, 0]","[0, 0]","[0, 0]","[2, 2]","[0, 0]","[2, 2]",2NR,2NR,3.0,6
18,"[1.0, 1.0]",1.0,1.0,1.0,"[0.6483151912689209, 0.4144420623779297]","[2.0, 2.0]","[0.6483151912689209, 0.5818009376525879]","[1.0, 1.0]",1.0,1.0,5.583064079284668,1628371871.08924,1,1,0,1,0.6666666666666666,0.0,15,10,0,19,"[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",3NR,3NR,4.0,7
19,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[1.6483681201934814, 1.1159899234771729]","[2.0, 1.0]","[1.6483681201934814, 1.2991328239440918]","[0.0, 0.0]",0.0,0.0,5.58361291885376,1628371879.188336,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,20,"[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",1NRO,4NR,5.0,8
20,"[1.0, 1.0]",1.0,1.0,1.0,"[2.6484031677246094, 1.1150472164154053]","[1.0, 1.0]","[2.6484031677246094, 1.5660791397094727]","[1.0, 1.0]",1.0,1.0,2.700108051300049,1628371888.271652,0,1,1,1,1.0,1.0,1,1,0,21,"[0, 0]","[0, 0]","[0, 0]","[8, 7]","[0, 0]","[8, 7]","[0, 0]","[0, 0]","[0, 0]","[21, 7]","[21, 0]","[0, 7]",1R,1R,6.0,9
21,"[1.0, 1.0]",1.0,1.0,1.0,"[1.9483189582824707, 0.2976078987121582]","[4.0, 4.0]","[1.9483189582824707, 0.5477678775787354]","[1.0, 1.0]",1.0,1.0,5.316440105438232,1628371894.155319,1,1,0,1,0.7142857142857143,1.0,14,10,0,22,"[0, 0]","[0, 0]","[0, 0]","[7, 6]","[0, 0]","[7, 6]","[0, 0]","[0, 0]","[0, 0]","[20, 6]","[20, 0]","[0, 6]",1R,1R,7.0,10
22,"[1.0, 1.0]",1.0,1.0,1.0,"[0.7328441143035889, 0.48276805877685547]","[4.0, 4.0]","[0.7328441143035889, 0.8328268527984619]","[1.0, 1.0]",1.0,1.0,2.682770252227783,1628371901.1218848,1,1,0,1,1.0,1.0,1,1,0,23,"[0, 0]","[0, 0]","[0, 0]","[6, 5]","[0, 0]","[6, 5]","[0, 0]","[0, 0]","[0, 0]","[19, 5]","[19, 0]","[0, 5]",1R,1R,8.0,11
23,"[1.0, 1.0]",1.0,1.0,1.0,"[0.3987429141998291, 0.3314018249511719]","[4.0, 4.0]","[0.3987429141998291, 0.515434980392456]","[1.0, 1.0]",1.0,1.0,4.482780933380127,1628371905.405166,1,1,0,1,0.6,1.0,10,6,0,24,"[0, 0]","[0, 0]","[0, 0]","[5, 4]","[0, 0]","[5, 4]","[0, 0]","[0, 0]","[0, 0]","[18, 4]","[18, 0]","[0, 4]",1R,1R,9.0,12
