,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
373,1R,Low,7.0,7.0,0.0,0.0,self,0.9825007915496826,1.0,13.0,522.0,Offenbach,20230314
374,1R,Low,5.0,5.0,0.0,0.0,self,1.0836260318756104,1.0,14.0,523.0,Offenbach,20230314
375,1R,Low,1.0,1.0,0.0,0.0,self,1.0167272090911865,1.0,15.0,524.0,Offenbach,20230314
376,1R,Low,2.0,2.0,0.0,0.0,self,1.2166121006011963,1.0,0.0,527.0,Offenbach,20230314
377,1R,Low,7.0,7.0,0.0,0.0,self,1.099071979522705,1.0,1.0,528.0,Offenbach,20230314
378,1R,Low,3.0,3.0,0.0,0.0,self,0.9993410110473633,1.0,2.0,529.0,Offenbach,20230314
379,1R,Low,2.0,2.0,0.0,0.0,self,1.1495227813720703,1.0,3.0,530.0,Offenbach,20230314
380,1R,Low,1.0,1.0,0.0,0.0,self,1.0168440341949463,1.0,4.0,531.0,Offenbach,20230314
381,1R,Low,4.0,4.0,0.0,0.0,self,1.001824140548706,1.0,6.0,533.0,Offenbach,20230314
382,1R,Low,5.0,5.0,0.0,0.0,self,0.9835798740386963,1.0,7.0,534.0,Offenbach,20230314
383,1R,Med,10.0,10.0,0.0,0.0,self,1.1166000366210938,1.0,8.0,535.0,Offenbach,20230314
384,1R,Low,6.0,6.0,0.0,0.0,self,1.0324993133544922,1.0,9.0,536.0,Offenbach,20230314
385,1R,Low,5.0,5.0,0.0,0.0,self,1.0834660530090332,1.0,10.0,537.0,Offenbach,20230314
386,1R,Low,1.0,1.0,0.0,1.0,self,0.9832918643951416,-1.0,11.0,538.0,Offenbach,20230314
387,1R,Low,4.0,4.0,0.0,0.0,self,1.016615867614746,1.0,0.0,540.0,Offenbach,20230314
388,1R,Low,1.0,1.0,0.0,0.0,self,1.233386754989624,1.0,1.0,541.0,Offenbach,20230314
389,1R,Low,1.0,1.0,0.0,0.0,self,0.9832470417022705,1.0,2.0,542.0,Offenbach,20230314
390,1R,Low,3.0,3.0,0.0,0.0,self,0.9821751117706299,1.0,5.0,545.0,Offenbach,20230314
391,1R,Low,4.0,4.0,0.0,0.0,self,1.049820899963379,1.0,6.0,546.0,Offenbach,20230314
392,1R,Low,3.0,3.0,0.0,0.0,self,1.017054796218872,1.0,8.0,548.0,Offenbach,20230314
393,1R,Med,11.0,11.0,0.0,0.0,self,0.9825131893157959,1.0,9.0,549.0,Offenbach,20230314
394,1R,Low,4.0,4.0,0.0,1.0,self,1.4175260066986084,-1.0,10.0,550.0,Offenbach,20230314
395,1R,Low,7.0,7.0,0.0,0.0,self,1.2167558670043945,1.0,0.0,552.0,Offenbach,20230314
396,1R,Med,9.0,9.0,0.0,0.0,self,0.9839878082275391,1.0,1.0,553.0,Offenbach,20230314
397,1R,Low,1.0,1.0,0.0,0.0,self,1.216235637664795,1.0,2.0,554.0,Offenbach,20230314
398,1R,Low,2.0,2.0,0.0,0.0,self,0.9839780330657959,1.0,3.0,555.0,Offenbach,20230314
399,1R,Low,7.0,7.0,0.0,0.0,self,1.4831712245941162,1.0,4.0,556.0,Offenbach,20230314
400,1R,Low,6.0,6.0,0.0,0.0,self,0.9996809959411621,1.0,5.0,557.0,Offenbach,20230314
401,1R,Low,2.0,2.0,0.0,0.0,self,0.9830501079559326,1.0,7.0,559.0,Offenbach,20230314
402,1R,Low,1.0,1.0,0.0,0.0,self,0.9835131168365479,1.0,8.0,560.0,Offenbach,20230314
403,1R,Low,3.0,3.0,0.0,1.0,self,0.9827167987823486,-1.0,9.0,561.0,Offenbach,20230314
404,1R,Low,1.0,1.0,0.0,0.0,self,1.0155410766601562,1.0,0.0,563.0,Offenbach,20230314
405,1R,Low,2.0,2.0,0.0,0.0,self,1.1993958950042725,1.0,1.0,564.0,Offenbach,20230314
