,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,1.0,1.0,1.0,0.0,Actor,1.1831269264221191,-1.0,0.0,0.0,Offenbach,20230828
1,1R,Low,8.0,8.0,0.0,0.0,Actor-incongruent,1.3167271614074707,1.0,2.0,2.0,Offenbach,20230828
2,1R,Low,7.0,7.0,0.0,0.0,Actor,1.2163910865783691,1.0,3.0,3.0,Offenbach,20230828
3,1R,Low,3.0,3.0,0.0,0.0,Actor,4.666426658630371,1.0,4.0,4.0,Offenbach,20230828
4,1R,Med,10.0,10.0,0.0,0.0,Actor-incongruent,1.0834758281707764,1.0,6.0,6.0,Offenbach,20230828
5,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,1.2324652671813965,1.0,7.0,7.0,Offenbach,20230828
6,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,1.1328840255737305,1.0,8.0,8.0,Offenbach,20230828
7,1R,Low,8.0,8.0,1.0,0.0,Observer,7.966781139373779,-1.0,0.0,10.0,Offenbach,20230828
8,1R,Low,5.0,5.0,0.0,0.0,Actor,1.01652193069458,1.0,6.0,16.0,Offenbach,20230828
9,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0331311225891113,1.0,8.0,18.0,Offenbach,20230828
10,1R,Low,2.0,2.0,1.0,0.0,Observer-incongruent,1.1165270805358887,-1.0,10.0,20.0,Offenbach,20230828
11,1R,Low,2.0,2.0,0.0,1.0,Actor-incongruent,1.0170938968658447,-1.0,12.0,22.0,Offenbach,20230828
12,1R,Low,7.0,7.0,1.0,0.0,Observer-incongruent,1.1826062202453613,-1.0,0.0,24.0,Offenbach,20230828
13,1R,Low,3.0,3.0,1.0,0.0,Observer-incongruent,1.3329339027404785,-1.0,1.0,25.0,Offenbach,20230828
14,1R,Low,8.0,8.0,1.0,0.0,Observer-incongruent,0.9822790622711182,-1.0,2.0,26.0,Offenbach,20230828
15,1R,High,12.0,12.0,0.0,0.0,Observer-incongruent,1.215900182723999,1.0,3.0,27.0,Offenbach,20230828
16,1R,Low,1.0,1.0,0.0,0.0,Actor,1.7170517444610596,1.0,4.0,28.0,Offenbach,20230828
17,1R,Low,6.0,6.0,0.0,0.0,Actor,2.7006919384002686,1.0,5.0,29.0,Offenbach,20230828
18,1R,Med,10.0,10.0,0.0,0.0,Observer,1.4826290607452393,1.0,6.0,30.0,Offenbach,20230828
19,1R,Low,5.0,5.0,0.0,0.0,Actor,1.7165579795837402,1.0,7.0,31.0,Offenbach,20230828
20,1R,Med,11.0,11.0,1.0,0.0,Actor,1.8339109420776367,-1.0,8.0,32.0,Offenbach,20230828
21,1R,Low,1.0,1.0,0.0,1.0,Actor-incongruent,0.9823567867279053,-1.0,11.0,35.0,Offenbach,20230828
22,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9996647834777832,1.0,0.0,38.0,Offenbach,20230828
23,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0661818981170654,1.0,1.0,39.0,Offenbach,20230828
24,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0662500858306885,1.0,2.0,40.0,Offenbach,20230828
25,1R,Low,1.0,1.0,0.0,0.0,Observer,1.033099889755249,1.0,4.0,42.0,Offenbach,20230828
26,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0833852291107178,1.0,5.0,43.0,Offenbach,20230828
27,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9828741550445557,1.0,6.0,44.0,Offenbach,20230828
28,1R,Med,11.0,11.0,0.0,0.0,Observer,1.01668381690979,1.0,7.0,45.0,Offenbach,20230828
29,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9834780693054199,1.0,8.0,46.0,Offenbach,20230828
30,1R,Low,5.0,5.0,0.0,0.0,Actor,0.9830813407897949,1.0,9.0,47.0,Offenbach,20230828
31,1R,Low,1.0,1.0,0.0,0.0,Observer,1.1828620433807373,1.0,10.0,48.0,Offenbach,20230828
32,1R,Low,6.0,6.0,0.0,0.0,Actor,0.9993088245391846,1.0,11.0,49.0,Offenbach,20230828
33,1R,Low,2.0,2.0,0.0,1.0,Actor,0.9844882488250732,-1.0,12.0,50.0,Offenbach,20230828
