,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
496,1R,Low,4.0,4.0,0.0,0.0,Actor,1.516714096069336,1.0,3.0,775.0,Lalo,20230828
497,1R,Low,5.0,5.0,0.0,0.0,Actor,1.06636381149292,1.0,4.0,776.0,Lalo,20230828
498,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0161957740783691,1.0,5.0,777.0,Lalo,20230828
499,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9998519420623779,1.0,6.0,778.0,Lalo,20230828
500,1R,Low,1.0,1.0,0.0,0.0,Observer,1.3491523265838623,1.0,8.0,780.0,Lalo,20230828
501,1R,Low,6.0,6.0,0.0,0.0,Observer,1.2483370304107666,1.0,9.0,781.0,Lalo,20230828
502,1R,Low,6.0,6.0,0.0,1.0,Observer-incongruent,1.5477161407470703,-1.0,11.0,783.0,Lalo,20230828
503,1R,Low,1.0,1.0,0.0,0.0,Actor,1.1825449466705322,1.0,0.0,786.0,Lalo,20230828
504,1R,Low,5.0,5.0,0.0,0.0,Observer,1.100046157836914,1.0,2.0,788.0,Lalo,20230828
505,1R,Low,5.0,5.0,0.0,0.0,Actor,1.0332388877868652,1.0,3.0,789.0,Lalo,20230828
506,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0503859519958496,1.0,4.0,790.0,Lalo,20230828
507,1R,Low,2.0,2.0,0.0,0.0,Observer,1.066420078277588,1.0,5.0,791.0,Lalo,20230828
508,1R,Low,5.0,5.0,0.0,0.0,Observer,1.0673201084136963,1.0,6.0,792.0,Lalo,20230828
509,1R,Low,3.0,3.0,0.0,0.0,Observer,1.0165119171142578,1.0,7.0,793.0,Lalo,20230828
510,1R,Low,1.0,1.0,0.0,0.0,Observer,1.5165507793426514,1.0,8.0,794.0,Lalo,20230828
511,1R,Low,5.0,5.0,0.0,0.0,Actor,0.9995260238647461,1.0,10.0,796.0,Lalo,20230828
512,1R,Low,4.0,4.0,0.0,0.0,Actor-incongruent,1.066209077835083,1.0,11.0,797.0,Lalo,20230828
513,1R,Low,1.0,1.0,0.0,0.0,Observer,0.9996500015258789,1.0,0.0,800.0,Lalo,20230828
514,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9994287490844727,1.0,1.0,801.0,Lalo,20230828
515,1R,Med,10.0,10.0,0.0,0.0,Actor,1.0496070384979248,1.0,2.0,802.0,Lalo,20230828
516,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9990899562835693,1.0,3.0,803.0,Lalo,20230828
517,1R,Low,1.0,1.0,0.0,0.0,Observer,1.000101089477539,1.0,4.0,804.0,Lalo,20230828
518,1R,Low,6.0,6.0,0.0,0.0,Observer,0.9993669986724854,1.0,5.0,805.0,Lalo,20230828
519,1R,Low,8.0,8.0,0.0,0.0,Actor-incongruent,1.0165770053863525,1.0,10.0,810.0,Lalo,20230828
520,1R,Med,10.0,10.0,0.0,0.0,Observer,1.0493881702423096,1.0,11.0,811.0,Lalo,20230828
521,1R,Low,1.0,1.0,0.0,1.0,Actor,1.2496299743652344,-1.0,13.0,813.0,Lalo,20230828
522,1R,Low,2.0,2.0,0.0,0.0,Observer,1.2168591022491455,1.0,0.0,816.0,Lalo,20230828
