,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,Med,11.0,11.0,0.0,0.0,self,1.0,0.0,3.0,2021_06_07,HS
1,1R,Low,8.0,8.0,0.0,0.0,self,1.0,1.0,4.0,2021_06_07,HS
2,1R,Low,7.0,7.0,0.0,0.0,self,1.0,2.0,5.0,2021_06_07,HS
3,1R,Low,6.0,6.0,0.0,0.0,self,1.0,7.0,10.0,2021_06_07,HS
4,1R,Low,4.0,4.0,0.0,1.0,self,0.0,12.0,15.0,2021_06_07,HS
5,1R,High,15.0,15.0,0.0,0.0,self,1.0,0.0,22.0,2021_06_07,HS
6,1R,Med,10.0,10.0,0.0,0.0,self,1.0,1.0,23.0,2021_06_07,HS
7,1R,Low,6.0,6.0,0.0,0.0,self,1.0,2.0,24.0,2021_06_07,HS
8,1R,Low,2.0,2.0,0.0,0.0,self,1.0,4.0,26.0,2021_06_07,HS
9,1R,Low,4.0,4.0,0.0,1.0,self,0.0,5.0,27.0,2021_06_07,HS
10,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,33.0,2021_06_07,HS
11,1R,Low,2.0,2.0,0.0,0.0,self,1.0,1.0,34.0,2021_06_07,HS
12,1R,Low,5.0,5.0,0.0,0.0,self,1.0,4.0,37.0,2021_06_07,HS
13,1R,Low,6.0,6.0,0.0,1.0,self,0.0,6.0,39.0,2021_06_07,HS
14,1R,Low,6.0,6.0,0.0,0.0,self,1.0,0.0,47.0,2021_06_07,HS
15,1R,Low,2.0,2.0,0.0,0.0,self,1.0,1.0,48.0,2021_06_07,HS
16,1R,Low,6.0,6.0,0.0,0.0,self,1.0,2.0,49.0,2021_06_07,HS
17,1R,High,12.0,12.0,0.0,1.0,self,0.0,3.0,50.0,2021_06_07,HS
18,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,61.0,2021_06_07,HS
19,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,62.0,2021_06_07,HS
20,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,69.0,2021_06_07,HS
21,1R,Low,2.0,2.0,1.0,0.0,self,0.0,1.0,70.0,2021_06_07,HS
22,1R,Low,2.0,2.0,0.0,1.0,self,0.0,5.0,74.0,2021_06_07,HS
23,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,82.0,2021_06_07,HS
24,1R,Low,5.0,5.0,0.0,0.0,self,1.0,2.0,84.0,2021_06_07,HS
25,1R,Med,9.0,9.0,0.0,0.0,self,1.0,3.0,85.0,2021_06_07,HS
26,1R,Low,1.0,1.0,0.0,1.0,self,0.0,4.0,86.0,2021_06_07,HS
27,1R,Med,9.0,9.0,0.0,1.0,self,0.0,0.0,97.0,2021_06_07,HS
28,1R,Low,6.0,6.0,0.0,0.0,self,1.0,0.0,105.0,2021_06_07,HS
29,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,106.0,2021_06_07,HS
30,1R,Low,5.0,5.0,0.0,0.0,self,1.0,2.0,107.0,2021_06_07,HS
31,1R,Low,7.0,7.0,0.0,0.0,self,1.0,4.0,109.0,2021_06_07,HS
32,1R,Low,3.0,3.0,0.0,1.0,self,0.0,5.0,110.0,2021_06_07,HS
33,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,118.0,2021_06_07,HS
34,1R,Low,7.0,7.0,0.0,0.0,self,1.0,1.0,119.0,2021_06_07,HS
35,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,120.0,2021_06_07,HS
36,1R,Low,2.0,2.0,0.0,1.0,self,0.0,3.0,121.0,2021_06_07,HS
37,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,127.0,2021_06_07,HS
38,1R,Med,11.0,11.0,0.0,0.0,self,1.0,1.0,128.0,2021_06_07,HS
39,1R,Low,3.0,3.0,0.0,0.0,self,1.0,2.0,129.0,2021_06_07,HS
40,1R,Low,6.0,6.0,0.0,0.0,self,1.0,4.0,131.0,2021_06_07,HS
41,1R,Low,1.0,1.0,0.0,0.0,self,1.0,5.0,132.0,2021_06_07,HS
42,1R,Low,3.0,3.0,0.0,1.0,self,0.0,6.0,133.0,2021_06_07,HS
43,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,143.0,2021_06_07,HS
44,1R,Low,4.0,4.0,0.0,0.0,self,1.0,1.0,144.0,2021_06_07,HS
45,1R,Low,1.0,1.0,0.0,0.0,self,1.0,2.0,145.0,2021_06_07,HS
46,1R,Low,5.0,5.0,0.0,1.0,self,0.0,3.0,146.0,2021_06_07,HS
47,1R,Low,4.0,4.0,0.0,0.0,self,1.0,0.0,155.0,2021_06_07,HS
48,1R,Med,10.0,10.0,0.0,0.0,self,1.0,1.0,156.0,2021_06_07,HS
49,1R,Low,5.0,5.0,0.0,0.0,self,1.0,2.0,157.0,2021_06_07,HS
50,1R,High,12.0,12.0,0.0,0.0,self,1.0,3.0,158.0,2021_06_07,HS
51,1R,Med,9.0,9.0,0.0,0.0,self,1.0,4.0,159.0,2021_06_07,HS
52,1R,Low,8.0,8.0,0.0,0.0,self,1.0,0.0,168.0,2021_06_07,HS
53,1R,Low,5.0,5.0,0.0,0.0,self,1.0,1.0,169.0,2021_06_07,HS
54,1R,Low,8.0,8.0,0.0,0.0,self,1.0,2.0,170.0,2021_06_07,HS
55,1R,Low,1.0,1.0,0.0,0.0,self,1.0,3.0,171.0,2021_06_07,HS
56,1R,Low,2.0,2.0,0.0,0.0,self,1.0,4.0,172.0,2021_06_07,HS
57,1R,Low,2.0,2.0,0.0,0.0,self,1.0,0.0,179.0,2021_06_07,HS
58,1R,Low,3.0,3.0,0.0,0.0,self,1.0,1.0,180.0,2021_06_07,HS
59,1R,Low,6.0,6.0,0.0,0.0,self,1.0,4.0,183.0,2021_06_07,HS
60,1R,Low,5.0,5.0,0.0,1.0,self,0.0,6.0,185.0,2021_06_07,HS
61,1R,Low,2.0,2.0,0.0,0.0,self,1.0,22.0,201.0,2021_06_07,HS
62,1R,Low,7.0,7.0,0.0,0.0,self,1.0,23.0,202.0,2021_06_07,HS
63,1R,Low,1.0,1.0,0.0,0.0,self,1.0,24.0,203.0,2021_06_07,HS
64,1R,Low,1.0,1.0,0.0,0.0,self,1.0,25.0,204.0,2021_06_07,HS
65,1R,Low,7.0,7.0,0.0,0.0,self,1.0,27.0,206.0,2021_06_07,HS
66,1R,Low,2.0,2.0,0.0,1.0,self,0.0,28.0,207.0,2021_06_07,HS
67,1R,Low,7.0,7.0,0.0,0.0,self,1.0,0.0,209.0,2021_06_07,HS
68,1R,Low,2.0,2.0,0.0,0.0,self,1.0,1.0,210.0,2021_06_07,HS
69,1R,Low,7.0,7.0,0.0,0.0,self,1.0,2.0,211.0,2021_06_07,HS
70,1R,Low,2.0,2.0,0.0,0.0,self,1.0,3.0,212.0,2021_06_07,HS
71,1R,Low,1.0,1.0,0.0,0.0,self,1.0,4.0,213.0,2021_06_07,HS
72,1R,Low,7.0,7.0,0.0,0.0,self,1.0,7.0,216.0,2021_06_07,HS
