Unnamed: 0,trial_idx,trial_start_time,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,difficulty,trial_aborted,trial_duration,date_time,trial_num,switched_self,n_pre_switch_self,switched_actor,n_pre_switch_actor,history,alt_history,pos_in_block,pos_in_block_obj,attention_narrow,attention_wide,attention_full,attention_control_narrow,attention_control_wide,attention_control_full,attention_narrow_L,attention_wide_L,attention_full_L,attention_control_narrow_L,attention_control_wide_L,attention_control_full_L
0,0,1673548344.8654668,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1673548349.73336,292,5.966634273529053,0,1,1,1,0.15,0.3333333333333333,"[3.11607027053833, 4.066822290420532]",1.0,5.966634273529053,3,1,1.95589778219296,0,6.966385126113892,2023_01_12_13_32_23,1,"[0, 1]","[2, 1]","[0, 1]","[2, 1]",1R,1R,0.0,1,0.6025198435624883,0.6025198435624883,0.82914739801424,0.0,0.0,0.0,,,,,,
1,1,1673548354.531468,"[1.0, -1.0]",1.0,-1.0,1.0,1.0,-1.0,"[1.0, -1.0]",1673548357.682704,189,8.267268896102905,1,0,1,-1,0.15,0.6,"[2.3495891094207764, 1.6000950336456299]",0.0,8.267268896102905,15,9,1.815093569266505,0,9.26636815071106,2023_01_12_13_32_33,2,"[1, 0]","[1, 2]","[1, 1]","[1, 1]",1NR,1NR,1.0,2,0.809041309431021,0.8858144972720187,0.9694076383476228,0.0319563522992985,0.0331254871395167,0.0331254871395167,,,,,,
2,2,1673548366.61379,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1673548369.9984589,202,8.483046054840088,1,0,-1,-1,0.0,0.6,"[2.5662031173706055, 1.3491439819335938]",0.0,8.483046054840088,15,9,1.4074690736451034,0,9.482550859451294,2023_01_12_13_32_45,3,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",1NRO,2NR,2.0,3,0.808199767278222,0.811523278657934,0.9559982733407124,0.0265880910376967,0.0295206010786191,0.0328441124583312,,,,,,
3,3,1673548378.913323,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1673548381.914447,180,8.13214898109436,0,1,1,1,0.15,0.7333333333333333,"[2.199660062789917, 1.3827409744262695]",0.0,8.13214898109436,15,11,1.6630626049644657,0,9.131957054138184,2023_01_12_13_32_57,4,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",1NRG,3NR,3.0,4,0.8729602033886826,0.8848094629362371,0.9658117782039451,0.0,0.0,0.0,,,,,,
4,4,1673548390.845206,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1673548394.730051,232,8.983170986175537,1,0,-1,-1,0.0,0.8,"[3.0839359760284424, 0.9829208850860596]",0.0,8.983170986175537,15,12,1.7328153804162745,0,9.983031034469604,2023_01_12_13_33_09,5,"[1, 1]","[1, 1]","[1, 1]","[1, 1]",1NRO,4NR,4.0,5,0.805914261045602,0.8438442383970932,0.9562655630213583,0.0,0.0,0.0005865460415179,,,,,,
5,5,1673548403.660627,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1673548406.6787882,181,4.783612251281738,0,1,1,1,0.15,0.6,"[1.5170841217041016, 2.217400074005127]",1.0,4.783612251281738,5,3,1.4042861970612437,0,5.783867120742798,2023_01_12_13_33_22,6,"[0, 0]","[2, 5]","[0, 0]","[2, 5]",1R,1R,5.0,6,0.8660406704952477,0.8660406704952477,0.9997133966148544,0.0,0.0,0.0,,,,,,
6,6,1673548412.110752,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1673548414.428446,139,4.232925891876221,1,0,1,1,0.15,0.6,"[1.516268014907837, 0.9994018077850342]",1.0,4.232925891876221,5,3,1.7486403399650363,0,5.24981689453125,2023_01_12_13_33_31,7,"[1, 0]","[1, 4]","[1, 0]","[1, 4]",1R,1R,6.0,7,0.8528183716075156,0.8575156576200418,1.0,0.0,0.0,0.0,,,,,,
7,7,1673548419.993034,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1673548423.478645,209,4.583812236785889,0,1,1,-1,0.15,0.3333333333333333,"[2.6836721897125244, 1.016732931137085]",1.0,4.583812236785889,3,1,1.787795948181356,0,5.583632230758667,2023_01_12_13_33_38,8,"[1, 0]","[1, 3]","[0, 0]","[4, 3]",1R,1R,7.0,8,0.4570862481660073,0.45799677854084,0.648297626880871,0.0,0.0,0.2094219862115173,,,,,,
8,8,1673548428.225725,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1673548430.010122,107,3.550321102142334,1,0,1,1,0.15,0.6,"[0.9842500686645508, 0.9842500686645508]",1.0,3.550321102142334,5,3,1.7408503280579628,0,4.550390958786011,2023_01_12_13_33_47,9,"[0, 0]","[9, 2]","[0, 0]","[3, 2]",1R,1R,8.0,9,0.9269949066213922,0.9688737973967176,1.0,0.0,0.0,0.0,,,,,,
9,9,1673548435.3587992,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1673548437.343251,119,7.283411741256714,0,1,1,1,0.15,0.6666666666666666,"[1.183159589767456, 0.9831669330596924]",0.0,7.283411741256714,15,10,1.821311129381028,0,8.299068927764893,2023_01_12_13_33_54,10,"[0, 1]","[8, 1]","[0, 1]","[2, 1]",1NR,1NR,9.0,10,0.7085606773283161,0.8205079962370649,0.9642521166509878,0.0,0.0,0.0,,,,,,
