,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
0,1R,Low,2.0,2.0,1.0,0.0,Observer-incongruent,0.9832618236541748,-1.0,0.0,,,0.0,0.0,Lalo,20221205
1,1R,Low,3.0,3.0,0.0,0.0,Actor,12.915675163269043,1.0,11.0,,,0.0,11.0,Lalo,20221205
2,1R,Low,2.0,2.0,1.0,0.0,Observer,2.716356039047241,-1.0,12.0,,,0.0,12.0,Lalo,20221205
3,1R,Low,5.0,5.0,0.0,0.0,Actor,3.4663209915161133,1.0,19.0,,,0.0,19.0,Lalo,20221205
4,1R,Low,3.0,3.0,0.0,0.0,Observer,8.398985862731934,1.0,20.0,,,0.0,20.0,Lalo,20221205
5,1R,Low,2.0,2.0,0.0,0.0,Actor,1.150231122970581,1.0,21.0,,,0.0,21.0,Lalo,20221205
6,1R,Low,6.0,6.0,0.0,0.0,Actor,0.9833331108093262,1.0,22.0,,,0.0,22.0,Lalo,20221205
7,1R,Low,5.0,5.0,0.0,0.0,Actor,1.033219814300537,1.0,24.0,,,0.0,24.0,Lalo,20221205
8,1R,Low,5.0,5.0,0.0,0.0,Observer,0.9848330020904541,1.0,27.0,,,0.0,27.0,Lalo,20221205
9,1R,Low,5.0,5.0,0.0,0.0,Actor,1.0511770248413086,1.0,0.0,,,0.0,32.0,Lalo,20221205
10,1R,Med,9.0,9.0,1.0,0.0,Observer,0.9994852542877197,-1.0,1.0,,,0.0,33.0,Lalo,20221205
11,1R,Low,5.0,5.0,0.0,0.0,Observer-incongruent,0.983220100402832,1.0,2.0,,,0.0,34.0,Lalo,20221205
12,1R,Low,4.0,4.0,0.0,0.0,Actor,0.9998180866241455,1.0,3.0,,,0.0,35.0,Lalo,20221205
13,1R,Low,3.0,3.0,0.0,0.0,Actor-incongruent,1.0499529838562012,1.0,0.0,,,0.0,40.0,Lalo,20221205
14,1R,Low,5.0,5.0,0.0,0.0,Observer,1.016489028930664,1.0,1.0,,,0.0,41.0,Lalo,20221205
15,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0165579319000244,1.0,2.0,,,0.0,42.0,Lalo,20221205
16,1R,Med,9.0,9.0,0.0,0.0,Actor,0.98415207862854,1.0,4.0,,,0.0,44.0,Lalo,20221205
17,1R,Low,1.0,1.0,0.0,0.0,Actor,1.1502950191497803,1.0,5.0,,,0.0,45.0,Lalo,20221205
18,1R,Med,9.0,9.0,1.0,0.0,Actor,8.416321039199829,-1.0,9.0,,,0.0,49.0,Lalo,20221205
19,1R,Low,4.0,4.0,0.0,1.0,Observer-incongruent,4.616652965545654,-1.0,10.0,,,0.0,50.0,Lalo,20221205
0,1NR,Med,11.0,11.0,0.0,0.0,Actor,3.799534797668457,1.0,23.0,,,0.0,23.0,Lalo,20221205
1,1NR,Med,10.0,10.0,1.0,0.0,Actor,0.9831051826477051,-1.0,25.0,,,0.0,25.0,Lalo,20221205
2,1NR,Low,8.0,8.0,1.0,1.0,Observer,1.0001788139343262,1.0,28.0,,,0.0,28.0,Lalo,20221205
3,1NR,Med,9.0,9.0,0.0,0.0,Observer,0.9829437732696533,1.0,4.0,,,0.0,36.0,Lalo,20221205
4,1NR,Low,8.0,8.0,0.0,0.0,Observer,3.549570083618164,1.0,3.0,,,0.0,43.0,Lalo,20221205
5,1NR,Low,6.0,6.0,0.0,0.0,Observer,3.9829800128936768,1.0,6.0,,,0.0,46.0,Lalo,20221205
6,1NR,Low,3.0,3.0,1.0,1.0,Observer,1.516930103302002,1.0,11.0,,,0.0,51.0,Lalo,20221205
0,2NR,Low,6.0,14.0,1.0,1.0,Observer-incongruent,0.9832167625427246,1.0,29.0,,,0.0,29.0,Lalo,20221205
1,2NR,Low,5.0,14.0,1.0,0.0,Observer,1.0327799320220947,-1.0,5.0,,,0.0,37.0,Lalo,20221205
2,2NR,Low,2.0,8.0,1.0,0.0,Observer,6.3156819343566895,-1.0,7.0,,,0.0,47.0,Lalo,20221205
3,2NR,Low,4.0,7.0,0.0,1.0,Observer-incongruent,16.79927396774292,-1.0,12.0,,,0.0,52.0,Lalo,20221205
0,3NR,Low,8.0,22.0,1.0,1.0,Observer-incongruent,0.9834110736846924,1.0,30.0,,,0.0,30.0,Lalo,20221205
1,3NR,Low,3.0,11.0,0.0,0.0,Observer-incongruent,6.632884979248047,1.0,8.0,,,0.0,48.0,Lalo,20221205
2,3NR,High,12.0,19.0,0.0,1.0,Actor,11.232765197753906,-1.0,13.0,,,0.0,53.0,Lalo,20221205
0,4NR,Low,6.0,28.0,1.0,1.0,Observer-incongruent,0.9999878406524658,1.0,31.0,,,0.0,31.0,Lalo,20221205
1,4NR,Med,10.0,29.0,0.0,1.0,Observer,5.24774694442749,-1.0,14.0,,,0.0,54.0,Lalo,20221205
