,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
0,1R,Low,2.0,2.0,0.0,0.0,Actor-incongruent,1.4495890140533447,1.0,0.0,,,0.0,0.0,Offenbach,20221205
1,1R,Low,3.0,3.0,0.0,0.0,Observer,1.3329100608825684,1.0,11.0,,,0.0,11.0,Offenbach,20221205
2,1R,Low,2.0,2.0,1.0,0.0,Actor,1.1167678833007812,-1.0,12.0,,,0.0,12.0,Offenbach,20221205
3,1R,Low,5.0,5.0,0.0,0.0,Observer,7.1821229457855225,1.0,19.0,,,0.0,19.0,Offenbach,20221205
4,1R,Low,3.0,3.0,0.0,0.0,Actor,1.232741117477417,1.0,20.0,,,0.0,20.0,Offenbach,20221205
5,1R,Low,2.0,2.0,0.0,0.0,Observer,1.5997822284698486,1.0,21.0,,,0.0,21.0,Offenbach,20221205
6,1R,Low,6.0,6.0,0.0,0.0,Observer,1.6169483661651611,1.0,22.0,,,0.0,22.0,Offenbach,20221205
7,1R,Low,5.0,5.0,0.0,0.0,Observer,2.3329968452453613,1.0,24.0,,,0.0,24.0,Offenbach,20221205
8,1R,Low,5.0,5.0,0.0,0.0,Actor,2.2004809379577637,1.0,27.0,,,0.0,27.0,Offenbach,20221205
9,1R,Low,5.0,5.0,0.0,0.0,Observer,5.933726072311401,1.0,0.0,,,0.0,32.0,Offenbach,20221205
10,1R,Med,9.0,9.0,0.0,0.0,Actor,1.500364065170288,1.0,1.0,,,0.0,33.0,Offenbach,20221205
11,1R,Low,5.0,5.0,0.0,0.0,Actor-incongruent,1.816784143447876,1.0,2.0,,,0.0,34.0,Offenbach,20221205
12,1R,Low,4.0,4.0,0.0,0.0,Observer,1.18243408203125,1.0,3.0,,,0.0,35.0,Offenbach,20221205
13,1R,Low,3.0,3.0,0.0,0.0,Observer-incongruent,1.4158198833465576,1.0,0.0,,,0.0,40.0,Offenbach,20221205
14,1R,Low,5.0,5.0,0.0,0.0,Actor,1.6834490299224854,1.0,1.0,,,0.0,41.0,Offenbach,20221205
15,1R,Low,4.0,4.0,0.0,0.0,Observer,1.9329297542572021,1.0,2.0,,,0.0,42.0,Offenbach,20221205
16,1R,Med,9.0,9.0,0.0,0.0,Observer,2.4001901149749756,1.0,4.0,,,0.0,44.0,Offenbach,20221205
17,1R,Low,1.0,1.0,0.0,0.0,Observer,3.682732105255127,1.0,5.0,,,0.0,45.0,Offenbach,20221205
18,1R,Med,9.0,9.0,0.0,0.0,Observer,1.9170150756835938,1.0,9.0,,,0.0,49.0,Offenbach,20221205
19,1R,Low,4.0,4.0,0.0,1.0,Actor-incongruent,2.382812261581421,-1.0,10.0,,,0.0,50.0,Offenbach,20221205
0,1NR,Med,11.0,11.0,0.0,0.0,Observer,1.8492059707641602,1.0,23.0,,,0.0,23.0,Offenbach,20221205
1,1NR,Med,10.0,10.0,1.0,0.0,Observer,1.4664990901947021,-1.0,25.0,,,0.0,25.0,Offenbach,20221205
2,1NR,Low,8.0,8.0,0.0,1.0,Actor,0.9833567142486572,-1.0,28.0,,,0.0,28.0,Offenbach,20221205
3,1NR,Med,9.0,9.0,0.0,0.0,Actor,1.4827399253845215,1.0,4.0,,,0.0,36.0,Offenbach,20221205
4,1NR,Low,8.0,8.0,0.0,0.0,Actor,1.3833720684051514,1.0,3.0,,,0.0,43.0,Offenbach,20221205
5,1NR,Low,6.0,6.0,0.0,0.0,Actor,2.0828189849853516,1.0,6.0,,,0.0,46.0,Offenbach,20221205
6,1NR,Low,3.0,3.0,0.0,1.0,Actor,15.898784160614014,-1.0,11.0,,,0.0,51.0,Offenbach,20221205
0,2NR,Low,6.0,14.0,0.0,1.0,Actor-incongruent,1.7169616222381592,-1.0,29.0,,,0.0,29.0,Offenbach,20221205
1,2NR,Low,5.0,14.0,1.0,0.0,Actor,13.082267999649048,-1.0,5.0,,,0.0,37.0,Offenbach,20221205
2,2NR,Low,2.0,8.0,0.0,0.0,Actor,11.399095058441162,1.0,7.0,,,0.0,47.0,Offenbach,20221205
3,2NR,Low,4.0,7.0,0.0,1.0,Actor-incongruent,14.865445852279663,-1.0,12.0,,,0.0,52.0,Offenbach,20221205
0,3NR,Low,8.0,22.0,0.0,1.0,Actor-incongruent,3.066127061843872,-1.0,30.0,,,0.0,30.0,Offenbach,20221205
1,3NR,Low,3.0,11.0,0.0,0.0,Actor-incongruent,1.6660659313201904,1.0,8.0,,,0.0,48.0,Offenbach,20221205
2,3NR,High,12.0,19.0,0.0,1.0,Observer,9.599432229995728,-1.0,13.0,,,0.0,53.0,Offenbach,20221205
0,4NR,Low,6.0,28.0,1.0,1.0,Actor-incongruent,1.566236972808838,1.0,31.0,,,0.0,31.0,Offenbach,20221205
1,4NR,Med,10.0,29.0,0.0,1.0,Actor,15.2807137966156,-1.0,14.0,,,0.0,54.0,Offenbach,20221205
