,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
79,"[1.0, 1.0]",1.0,1.0,1.0,"[0.2326219081878662, 0.33216404914855957]","[1.0, 4.0]","[0.5822100639343262, 0.6821448802947998]","[1.0, 1.0]",1.0,1.0,5.582898139953613,1632508933.118472,1,1,0,1,0.6666666666666666,0.0,15,10,0,80,"[1, 0]","[0, 0]","[1, 0]","[1, 12]","[0, 0]","[1, 12]","[1, 0]","[0, 0]","[1, 0]","[1, 12]","[0, 0]","[1, 12]",1NRO,4NR,13.0,4
80,"[-1.0, 1.0]",-1.0,1.0,1.0,"[2.099886655807495, 0.3669729232788086]","[1.0, 2.0]","[3.533298969268799, 0.8498439788818359]","[0.0, 1.0]",0.0,1.0,5.0983076095581055,1632508943.035148,0,-1,1,1,0.5384615384615384,1.0,13,7,0,81,"[1, 0]","[1, 0]","[0, 0]","[1, 11]","[1, 0]","[0, 11]","[0, 0]","[0, 0]","[0, 0]","[10, 11]","[0, 0]","[10, 11]",1R,1R,0.0,5
81,"[1.0, 1.0]",1.0,1.0,1.0,"[0.16673016548156738, 0.4324371814727783]","[4.0, 4.0]","[0.5335822105407715, 0.7833051681518555]","[1.0, 1.0]",1.0,1.0,3.9328229427337646,1632508949.868263,0,1,1,1,1.0,1.0,7,7,0,82,"[0, 0]","[0, 0]","[0, 0]","[9, 10]","[0, 0]","[9, 10]","[0, 0]","[0, 0]","[0, 0]","[9, 10]","[0, 0]","[9, 10]",1R,1R,1.0,6
82,"[1.0, 1.0]",1.0,1.0,1.0,"[0.24921488761901855, 0.39941883087158203]","[4.0, 4.0]","[0.7491819858551025, 0.7158946990966797]","[1.0, 1.0]",1.0,1.0,3.899574041366577,1632508955.4181151,1,1,0,1,0.7142857142857143,1.0,7,5,0,83,"[0, 0]","[0, 0]","[0, 0]","[8, 9]","[0, 0]","[8, 9]","[0, 0]","[0, 0]","[0, 0]","[8, 9]","[0, 0]","[8, 9]",1R,1R,2.0,7
83,"[1.0, 1.0]",1.0,1.0,1.0,"[0.0, 0.3329300880432129]","[4.0, 4.0]","[0.8162469863891602, 0.6495440006256104]","[1.0, 1.0]",1.0,1.0,5.58295202255249,1632508961.084713,1,1,0,1,0.6,0.0,15,9,0,84,"[0, 0]","[0, 0]","[0, 0]","[7, 8]","[0, 0]","[7, 8]","[0, 0]","[0, 0]","[0, 0]","[7, 8]","[0, 0]","[7, 8]",1NR,1NR,3.0,8
84,"[1.0, 1.0]",1.0,1.0,1.0,"[0.13289189338684082, 0.39924097061157227]","[4.0, 4.0]","[0.749312162399292, 0.9485330581665039]","[1.0, 1.0]",1.0,1.0,5.583585739135742,1632508968.800527,1,1,0,1,0.6666666666666666,0.0,15,10,0,85,"[0, 0]","[0, 0]","[0, 0]","[6, 7]","[0, 0]","[6, 7]","[0, 0]","[0, 0]","[0, 0]","[6, 7]","[0, 0]","[6, 7]",2NR,2NR,4.0,9
85,"[1.0, 1.0]",1.0,1.0,1.0,"[0.4648439884185791, 0.348160982131958]","[3.0, 4.0]","[1.4638941287994385, 0.8317019939422607]","[1.0, 1.0]",1.0,1.0,2.9005188941955566,1632508976.9169002,1,1,0,1,1.0,1.0,2,2,0,86,"[0, 0]","[0, 0]","[0, 0]","[5, 6]","[0, 0]","[5, 6]","[0, 0]","[0, 0]","[0, 0]","[5, 6]","[0, 0]","[5, 6]",1R,1R,5.0,10
86,"[1.0, 1.0]",1.0,1.0,1.0,"[0.033930063247680664, 0.05053520202636719]","[3.0, 4.0]","[0.38187527656555176, 0.715935230255127]","[1.0, 1.0]",1.0,1.0,5.2994818687438965,1632508981.751013,1,1,0,1,0.7142857142857143,1.0,14,10,0,87,"[0, 0]","[0, 0]","[0, 0]","[4, 5]","[0, 0]","[4, 5]","[0, 0]","[0, 0]","[0, 0]","[4, 5]","[0, 0]","[4, 5]",1R,1R,6.0,11
87,"[1.0, 1.0]",1.0,1.0,1.0,"[0.6982688903808594, 0.2982010841369629]","[3.0, 3.0]","[1.1647670269012451, 0.7644679546356201]","[1.0, 1.0]",1.0,1.0,2.916193962097168,1632508989.300905,1,1,0,1,0.5,1.0,2,1,0,88,"[0, 0]","[0, 0]","[0, 0]","[3, 4]","[0, 0]","[3, 4]","[0, 0]","[0, 0]","[0, 0]","[3, 4]","[0, 0]","[3, 4]",1R,1R,7.0,12
88,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.28203487396240234, 0.28203487396240234]","[3.0, 2.0]","[0.6819419860839844, 0.8655691146850586]","[0.0, 0.0]",0.0,0.0,5.582636594772339,1632508994.0843232,1,1,0,1,0.5333333333333333,0.0,15,8,0,89,"[0, 0]","[0, 0]","[0, 0]","[2, 3]","[0, 0]","[2, 3]","[0, 0]","[0, 0]","[0, 0]","[2, 3]","[0, 0]","[2, 3]",1NR,1NR,8.0,1
89,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.48280978202819824, 0.399061918258667]","[2.0, 2.0]","[1.96492600440979, 0.8157708644866943]","[0.0, 0.0]",0.0,0.0,5.850642919540405,1632509002.766539,0,1,1,1,0.6666666666666666,0.0,15,10,0,90,"[1, 0]","[0, 0]","[1, 0]","[1, 2]","[0, 0]","[1, 2]","[1, 0]","[0, 0]","[1, 0]","[1, 2]","[0, 0]","[1, 2]",2NR,2NR,9.0,2
