,trial_after,accuracy,player,accuracy_actor,accuracy_observer,date
0,-11,0.3333333333333333,JY,0.3333333333333333,0.3333333333333333,2021_09_15
1,-10,0.5714285714285714,JY,0.7619047619047619,0.38095238095238093,2021_09_15
2,-9,0.7857142857142857,JY,0.85,0.7272727272727273,2021_09_15
3,-8,0.9047619047619048,JY,0.9047619047619048,0.9047619047619048,2021_09_15
4,-7,0.7857142857142857,JY,0.8333333333333334,0.75,2021_09_15
5,-6,0.9285714285714286,JY,0.9047619047619048,0.9523809523809523,2021_09_15
6,-5,0.9523809523809523,JY,1.0,0.8571428571428571,2021_09_15
7,-4,0.9523809523809523,JY,0.96,0.9411764705882353,2021_09_15
8,-3,0.9285714285714286,JY,0.9047619047619048,0.9523809523809523,2021_09_15
9,-2,0.9047619047619048,JY,0.8461538461538461,0.9310344827586207,2021_09_15
10,-1,0.9285714285714286,JY,0.9444444444444444,0.9166666666666666,2021_09_15
11,0,0.11904761904761904,JY,0.14285714285714285,0.09523809523809523,2021_09_15
12,1,0.09523809523809523,JY,0.1111111111111111,0.08333333333333333,2021_09_15
13,2,0.6190476190476191,JY,0.6818181818181818,0.55,2021_09_15
14,3,0.8095238095238095,JY,0.8095238095238095,0.8095238095238095,2021_09_15
15,4,0.8780487804878049,JY,0.8571428571428571,0.8888888888888888,2021_09_15
16,5,0.9024390243902439,JY,0.9130434782608695,0.8888888888888888,2021_09_15
17,6,0.926829268292683,JY,0.9565217391304348,0.8888888888888888,2021_09_15
18,7,0.926829268292683,JY,0.9642857142857143,0.8461538461538461,2021_09_15
19,8,0.926829268292683,JY,0.9545454545454546,0.8947368421052632,2021_09_15
20,9,0.9512195121951219,JY,0.9375,0.96,2021_09_15
21,10,0.9512195121951219,JY,0.9,1.0,2021_09_15
