,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
426,1R,Low,6.0,6.0,0.0,0.0,Actor-incongruent,1.4166231155395508,1.0,0.0,0.9999788194606068,0.0,0.0,662.0,Offenbach,20230210
427,1R,Low,5.0,5.0,0.0,0.0,Observer,0.9995021820068359,1.0,1.0,0.5627915222088391,0.0100073005642553,0.0,663.0,Offenbach,20230210
428,1R,Low,2.0,2.0,0.0,0.0,Actor,1.1499550342559814,1.0,2.0,1.0,0.0061782877316857,0.0,664.0,Offenbach,20230210
429,1R,Low,2.0,2.0,0.0,0.0,Actor,3.6163198947906494,1.0,3.0,0.9996758792475794,0.0,0.0,665.0,Offenbach,20230210
430,1R,Low,1.0,1.0,0.0,0.0,Actor,1.1504571437835693,1.0,4.0,0.9988947414609648,0.0,0.0,666.0,Offenbach,20230210
431,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,1.0672860145568848,1.0,5.0,1.0,0.0,0.0,667.0,Offenbach,20230210
432,1R,Low,1.0,1.0,1.0,0.0,Observer,1.0991311073303223,-1.0,8.0,0.9993878430133116,0.0,0.0,670.0,Offenbach,20230210
433,1R,Med,10.0,10.0,0.0,0.0,Actor,0.9835739135742188,1.0,0.0,0.9890453834115804,0.0130412102243088,0.0,676.0,Offenbach,20230210
434,1R,Low,5.0,5.0,0.0,0.0,Observer,1.0840818881988525,1.0,1.0,0.4687428545311732,0.4651701193594417,0.0,677.0,Offenbach,20230210
435,1R,Low,7.0,7.0,0.0,0.0,Actor,1.083467960357666,1.0,4.0,0.9694710218838796,0.0167817886611057,0.0,680.0,Offenbach,20230210
436,1R,Low,7.0,7.0,0.0,0.0,Observer,1.3829782009124756,1.0,5.0,0.4746578455592057,0.432270186495121,0.0,681.0,Offenbach,20230210
437,1R,Med,9.0,9.0,0.0,0.0,Observer,1.0667808055877686,1.0,6.0,0.8238315472474275,0.1301496496197163,0.0,682.0,Offenbach,20230210
438,1R,Low,3.0,3.0,0.0,0.0,Actor,1.266871690750122,1.0,7.0,1.0,0.0,0.0,683.0,Offenbach,20230210
439,1R,Low,5.0,5.0,0.0,0.0,Actor,0.9828910827636719,1.0,8.0,0.999912836539636,0.0,0.0,684.0,Offenbach,20230210
440,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0839259624481201,1.0,9.0,0.7111704372669689,0.2633646854535096,0.0,685.0,Offenbach,20230210
441,1R,Low,1.0,1.0,0.0,0.0,Actor,1.016732931137085,1.0,10.0,1.0,0.0,0.0,686.0,Offenbach,20230210
442,1R,Low,7.0,7.0,0.0,0.0,Actor,1.3830361366271973,1.0,11.0,1.0,0.0,0.0,687.0,Offenbach,20230210
443,1R,Med,9.0,9.0,0.0,1.0,Actor,1.1168489456176758,-1.0,12.0,1.0,0.0,0.0,688.0,Offenbach,20230210
444,1R,Low,4.0,4.0,0.0,0.0,Observer,1.5169599056243896,1.0,0.0,0.9999059190210602,0.0,0.0,691.0,Offenbach,20230210
445,1R,Med,9.0,9.0,0.0,0.0,Actor,1.4337489604949951,1.0,2.0,0.9998955434022472,0.0,0.0,693.0,Offenbach,20230210
446,1R,Low,5.0,5.0,0.0,0.0,Actor,1.1004228591918945,1.0,3.0,0.9995556647301675,0.0,0.0,694.0,Offenbach,20230210
447,1R,Low,8.0,8.0,0.0,0.0,Observer,1.2170331478118896,1.0,4.0,0.974107682655204,0.2903520672502334,0.0,695.0,Offenbach,20230210
448,1R,Low,5.0,5.0,0.0,0.0,Observer,1.416213035583496,1.0,5.0,0.7348951911220715,0.2996300863131936,0.0,696.0,Offenbach,20230210
449,1R,Low,5.0,5.0,0.0,0.0,Actor,0.9839019775390625,1.0,6.0,0.9998823387597736,0.0,0.0,697.0,Offenbach,20230210
450,1R,Low,5.0,5.0,0.0,0.0,Actor,1.0328559875488281,1.0,7.0,0.9998875676657808,0.0,0.0,698.0,Offenbach,20230210
451,1R,Low,7.0,7.0,0.0,0.0,Actor,1.0162041187286377,1.0,8.0,0.999881852019846,0.0,0.0,699.0,Offenbach,20230210
452,1R,Low,2.0,2.0,0.0,0.0,Actor,1.3825221061706543,1.0,9.0,0.999794942920232,0.0,0.0,700.0,Offenbach,20230210
453,1R,Low,1.0,1.0,0.0,0.0,Observer,0.9836528301239014,1.0,10.0,0.9827887969520932,0.0300187813146057,0.0,701.0,Offenbach,20230210
454,1R,Low,2.0,2.0,0.0,0.0,Observer,1.149510145187378,1.0,0.0,0.4024828487439555,0.5174779483850857,0.0,704.0,Offenbach,20230210
455,1R,Low,3.0,3.0,0.0,0.0,Actor,1.0006940364837646,1.0,1.0,0.999739943772514,0.0,0.0,705.0,Offenbach,20230210
456,1R,Low,7.0,7.0,0.0,0.0,Observer,1.5325231552124023,1.0,5.0,0.7435138790775819,0.256936379936094,0.0,709.0,Offenbach,20230210
457,1R,Low,1.0,1.0,0.0,0.0,Actor,1.115875005722046,1.0,9.0,0.9999399489891226,0.0,0.0,713.0,Offenbach,20230210
458,1R,Low,6.0,6.0,0.0,0.0,Observer,1.0830209255218506,1.0,10.0,0.760359254499027,0.2493061142438259,0.0,714.0,Offenbach,20230210
459,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0165088176727295,1.0,11.0,1.0,0.0,0.0,715.0,Offenbach,20230210
460,1R,High,12.0,12.0,0.0,1.0,Actor,1.1665327548980713,-1.0,12.0,1.0,0.0,0.0,716.0,Offenbach,20230210
461,1R,Low,6.0,6.0,0.0,0.0,Observer-incongruent,0.983112096786499,1.0,0.0,0.7852494577006508,0.2390937575319354,0.0,717.0,Offenbach,20230210
462,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0001978874206543,1.0,1.0,0.9996716054768932,0.0,0.0,718.0,Offenbach,20230210
463,1R,Low,4.0,4.0,0.0,0.0,Actor,1.2166399955749512,1.0,2.0,0.9999305653926528,0.0,0.0,719.0,Offenbach,20230210
464,1R,Low,1.0,1.0,0.0,0.0,Observer-incongruent,1.1823570728302002,1.0,7.0,0.6373403057445053,0.3761352624065933,0.0,724.0,Offenbach,20230210
465,1R,Low,3.0,3.0,0.0,0.0,Observer,1.1496610641479492,1.0,8.0,1.0,0.1507082152974504,0.0,725.0,Offenbach,20230210
466,1R,Low,3.0,3.0,0.0,0.0,Actor,1.3169889450073242,1.0,9.0,0.9997756059308842,0.0,0.0,726.0,Offenbach,20230210
467,1R,Low,2.0,2.0,0.0,0.0,Actor,1.1001191139221191,1.0,0.0,1.0,0.0,0.0,731.0,Offenbach,20230210
468,1R,Low,2.0,2.0,0.0,0.0,Actor,1.1668930053710938,1.0,2.0,1.0,0.0,0.0,733.0,Offenbach,20230210
469,1R,Low,5.0,5.0,0.0,0.0,Actor,1.3329060077667236,1.0,3.0,0.9999258439498871,0.0,0.0,734.0,Offenbach,20230210
470,1R,Low,5.0,5.0,0.0,0.0,Observer,1.3665881156921387,1.0,4.0,0.5704762697097789,0.4074155298175885,0.0,735.0,Offenbach,20230210
471,1R,Med,9.0,9.0,0.0,0.0,Actor,0.9842779636383057,1.0,5.0,0.9999928306317964,0.0,0.0,736.0,Offenbach,20230210
472,1R,Low,1.0,1.0,0.0,0.0,Observer,0.9832897186279297,1.0,6.0,0.533092222361445,0.3736871950866992,0.0,737.0,Offenbach,20230210
473,1R,Low,1.0,1.0,0.0,1.0,Observer,0.9993727207183838,-1.0,7.0,0.9994412922559336,0.0,0.0,738.0,Offenbach,20230210
474,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9834902286529541,1.0,0.0,0.99949979533206,0.0,0.0,743.0,Offenbach,20230210
475,1R,Low,1.0,1.0,0.0,0.0,Observer,1.1003270149230957,1.0,1.0,0.9989392706956716,0.0,0.0,744.0,Offenbach,20230210
476,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0501329898834229,1.0,3.0,0.99988920443367,0.0,0.0,746.0,Offenbach,20230210
477,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9834561347961426,1.0,4.0,0.8098109881642698,0.0194283988436357,0.0,747.0,Offenbach,20230210
478,1R,Low,6.0,6.0,0.0,0.0,Actor,1.1171460151672363,1.0,5.0,1.0,0.0,0.0,748.0,Offenbach,20230210
479,1R,Med,11.0,11.0,0.0,0.0,Actor-incongruent,1.033484935760498,1.0,6.0,1.0,0.0,0.0,749.0,Offenbach,20230210
480,1R,Low,1.0,1.0,0.0,1.0,Actor,1.1502010822296143,-1.0,8.0,0.9999740005944252,0.0,0.0,751.0,Offenbach,20230210
481,1R,Low,7.0,7.0,0.0,0.0,Observer,1.0006182193756104,1.0,0.0,0.7368519704186923,0.2011271544837016,0.0,754.0,Offenbach,20230210
482,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9995591640472412,1.0,2.0,1.0,0.0,0.0,756.0,Offenbach,20230210
483,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0003001689910889,1.0,3.0,0.9999699778028254,0.0,0.0,757.0,Offenbach,20230210
484,1R,Low,6.0,6.0,0.0,0.0,Actor,1.0162742137908936,1.0,4.0,1.0,0.0,0.0,758.0,Offenbach,20230210
485,1R,Low,3.0,3.0,0.0,0.0,Observer,1.1831121444702148,1.0,5.0,0.5089240223914387,0.4783205733834902,0.0,759.0,Offenbach,20230210
486,1R,Low,6.0,6.0,0.0,0.0,Actor,0.9831750392913818,1.0,6.0,0.9998349093054651,0.0,0.0,760.0,Offenbach,20230210
487,1R,Low,7.0,7.0,0.0,0.0,Observer,1.0161828994750977,1.0,7.0,0.4825387064196724,0.4978072525038737,0.0,761.0,Offenbach,20230210
488,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9829061031341553,1.0,8.0,0.9999860337093972,0.0,0.0,762.0,Offenbach,20230210
489,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0168979167938232,1.0,9.0,0.9995280006396362,0.0,0.0,763.0,Offenbach,20230210
490,1R,Low,6.0,6.0,0.0,0.0,Actor,1.2837891578674316,1.0,10.0,1.0,0.0,0.0,764.0,Offenbach,20230210
491,1R,Low,1.0,1.0,0.0,1.0,Observer,1.0495121479034424,-1.0,11.0,1.0,0.0,0.0,765.0,Offenbach,20230210
492,1R,Low,2.0,2.0,0.0,0.0,Actor-incongruent,1.233276128768921,1.0,0.0,1.0,0.0,0.0,768.0,Offenbach,20230210
493,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0005810260772705,1.0,2.0,0.9992972262933532,0.0,0.0,770.0,Offenbach,20230210
494,1R,Low,8.0,8.0,0.0,0.0,Observer,1.217081069946289,1.0,3.0,0.7826113732232433,0.201608960879164,0.0,771.0,Offenbach,20230210
495,1R,Med,9.0,9.0,0.0,0.0,Observer,0.99965500831604,1.0,4.0,0.8172623061362104,0.4070577657900652,0.0,772.0,Offenbach,20230210
